source_file,license_year,region_crc,system,stream,catch_record_code,species,month,year,harvest
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Grays Harbor,Hoquiam River,355,Coho,10,2023,63.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Grays Harbor,Humptulips River,358,Chinook,5,2023,31.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Grays Harbor,Humptulips River,358,Chinook,9,2023,220.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Grays Harbor,Humptulips River,358,Chinook,10,2023,298.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Grays Harbor,Humptulips River,358,Chum,10,2023,126.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Grays Harbor,Humptulips River,358,Chum,11,2023,31.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Grays Harbor,Humptulips River,358,Coho,9,2023,16.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Grays Harbor,Humptulips River,358,Coho,10,2023,1190.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Grays Harbor,Humptulips River,358,Coho,11,2023,254.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Grays Harbor,Humptulips River,358,Jackchin,10,2023,47.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Grays Harbor,Humptulips River,358,Jackcoho,10,2023,126.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Grays Harbor,Johns River,367,Coho,10,2023,16.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Grays Harbor,Wishkah River,335,Coho,10,2023,235.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Grays Harbor,Wishkah River,335,Jackcoho,10,2023,16.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Chinook,8,2023,49.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Chinook,9,2023,33.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Chinook,10,2023,98.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Chum,10,2023,49.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Coho,8,2023,65.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Coho,9,2023,2074.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Coho,10,2023,5031.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Coho,11,2023,1045.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Coho,12,2023,114.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Jackchin,9,2023,212.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Jackchin,10,2023,81.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Jackchin,11,2023,16.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Jackcoho,9,2023,1982.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Jackcoho,10,2023,1254.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Chehalis River,315,Jackcoho,11,2023,51.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Cloquallum Creek,321,Chinook,6,2023,33.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Cloquallum Creek,321,Chinook,9,2023,16.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Newaukum River,325,Coho,10,2023,16.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Satsop River,329,Chum,10,2023,195.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Satsop River,329,Chum,11,2023,228.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Satsop River,329,Pink,10,2023,33.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Satsop River,329,Coho,10,2023,2685.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Satsop River,329,Coho,11,2023,667.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Satsop River,329,Coho,12,2023,16.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Satsop River,329,Jackchin,10,2023,33.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Satsop River,329,Jackcoho,10,2023,895.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Satsop River,329,Jackcoho,11,2023,65.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Skookumchuck River,333,Coho,11,2023,16.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Wynoochee River,337,Chum,10,2023,49.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Wynoochee River,337,Chum,11,2023,49.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Wynoochee River,337,Coho,10,2023,146.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Wynoochee River,337,Coho,11,2023,98.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Chehalis R. System,Wynoochee River,337,Jackcoho,10,2023,65.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Copalis R. System,Copalis River,339,Coho,9,2023,161.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Copalis R. System,Copalis River,339,Coho,10,2023,161.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Copalis R. System,Copalis River,339,Jackcoho,9,2023,20.0
Salmon_Freshwater_Estimates_2023.xlsx,2023-24,Coastal,Hoh R. System,Hoh River above Oxbow Launch,348,Chinook,10,2023,34.0
