CatchRecordCode,NameOfCRC,HydrologicSystem,block,region,region_source
627,Okanogan River,Okanogan R. System,Upper Columbia / Snake,Columbia - Upper,CRC harvest file
531,Columbia R 07: John Day to McNary Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,CRC harvest file
655,Mill Creek (Walla Walla Co.),Walla Walla R. System,Upper Columbia / Snake,Columbia - Upper,block fallback
659,Walla Walla River,Walla Walla R. System,Upper Columbia / Snake,Columbia - Upper,block fallback
854,Sultan River,Snohomish R. System,Puget Sound,Puget Sound,CRC harvest file
860,Wallace River,Snohomish R. System,Puget Sound,Puget Sound,CRC harvest file
844,Skykomish River,Snohomish R. System,Puget Sound,Puget Sound,CRC harvest file
862,Woods Creek,Snohomish R. System,Puget Sound,Puget Sound,same hydrologic system
852,Snoqualmie River,Snohomish R. System,Puget Sound,Puget Sound,CRC harvest file
856,Tokul Creek,Snohomish R. System,Puget Sound,Puget Sound,same hydrologic system
842,Raging River,Snohomish R. System,Puget Sound,Puget Sound,same hydrologic system
858,Tolt River,Snohomish R. System,Puget Sound,Puget Sound,CRC harvest file
555,Cispus River,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,CRC harvest file
559,Cowlitz R. above Cowlitz Falls Dam,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,CRC harvest file
563,Cowlitz R. between Mayfield & Cowlitz Falls Dams,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,CRC harvest file
568,Delameter Creek,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,same hydrologic system
533,Columbia R 08: McNary Dam - Hwy 395 Bridge @ Pasco,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,CRC harvest file
830,Skagit River,Skagit R. System,Puget Sound,Puget Sound,CRC harvest file
866,Canyon Creek,Stillaguamish R. System,Puget Sound,Puget Sound,CRC harvest file
525,Columbia R 04: I-5 Br. to Bonneville Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,mainstem reach rule
828,Sauk River,Skagit R. System,Puget Sound,Puget Sound,CRC harvest file
832,Suiattle River,Skagit R. System,Puget Sound,Puget Sound,CRC harvest file
874,"Stillaguamish R, So. Fork",Stillaguamish R. System,Puget Sound,Puget Sound,same hydrologic system
870,Pilchuck Creek (Stillaguamish System),Stillaguamish R. System,Puget Sound,Puget Sound,same hydrologic system
876,Stillaguamish River,Stillaguamish R. System,Puget Sound,Puget Sound,same hydrologic system
848,"Skykomish River, So. Fork",Snohomish R. System,Puget Sound,Puget Sound,same hydrologic system
846,"Skykomish River, No. Fork",Snohomish R. System,Puget Sound,Puget Sound,same hydrologic system
547,Columbia R 15: Chief Joseph to Grand Coulee Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,CRC harvest file
545,Columbia R 14: Wells to Chief Joseph Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,CRC harvest file
668,Washougal River above County Line Access,Washougal R. System,Lower Columbia tribs,Columbia - Lower,CRC harvest file
665,"Washougal River, West Fork",Washougal R. System,Lower Columbia tribs,Columbia - Lower,CRC harvest file
663,Washougal Hatchery on Washougal River,Washougal R. System,Lower Columbia tribs,Columbia - Lower,same hydrologic system
667,Washougal River below County Line Access,Washougal R. System,Lower Columbia tribs,Columbia - Lower,CRC harvest file
872,"Stillaguamish R, No. Fork",Stillaguamish R. System,Puget Sound,Puget Sound,CRC harvest file
816,Samish River,Samish R. System,Puget Sound,Puget Sound,CRC harvest file
608,Klickitat River above Fishway 5,Klickitat R. System,Lower Columbia tribs,Columbia - Middle,CRC harvest file
790,"Nooksack River, No. Fork",Nooksack R. System,Puget Sound,Puget Sound,CRC harvest file
674,Wenatchee River,Wenatchee R. System,Upper Columbia / Snake,Columbia - Upper,CRC harvest file
672,Icicle Creek,Wenatchee R. System,Upper Columbia / Snake,Columbia - Upper,CRC harvest file
607,Klickitat River below Fishway 5,Klickitat R. System,Lower Columbia tribs,Columbia - Middle,CRC harvest file
81,Area 8-1: Skagit Bay-Saratoga Psg.,Marine Water,Marine (out of scope),Marine,block fallback
794,"Nooksack River, below North Fork",Nooksack R. System,Puget Sound,Puget Sound,CRC harvest file
6,Area 6: E Juan de Fuca,Marine Water,Marine (out of scope),Marine,block fallback
792,"Nooksack River, So. Fork",Nooksack R. System,Puget Sound,Puget Sound,CRC harvest file
884,Whatcom Creek,Whatcom Cr. System,Puget Sound,Puget Sound,CRC harvest file
825,Baker Lake,Skagit R. System,Puget Sound,Puget Sound,CRC harvest file
375,Naselle River,Naselle R. System,WA Coast,Coastal,CRC harvest file
788,"Nooksack River, Mid. Fork",Nooksack R. System,Puget Sound,Puget Sound,CRC harvest file
7,Area 7: San Juan Islands,Marine Water,Marine (out of scope),Marine,block fallback
826,Cascade River,Skagit R. System,Puget Sound,Puget Sound,CRC harvest file
677,Wind River above Shipherd Falls,Wind R. System,Lower Columbia tribs,Columbia - Middle,CRC harvest file
657,Touchet River,Walla Walla R. System,Upper Columbia / Snake,Columbia - Upper,block fallback
736,Duckabush River,Duckabush R. System,Puget Sound,Puget Sound,CRC harvest file
734,Dosewallips River,Dosewallips R. System,Puget Sound,Puget Sound,block fallback
508,Big White Salmon River,White Salmon R. System,Lower Columbia tribs,Columbia - Middle,CRC harvest file
618,Little White Salmon River & Drano Lake,Little White Salmon R. Sys.,Lower Columbia tribs,Columbia - Middle,CRC harvest file
670,Lake Wenatchee,Wenatchee R. System,Upper Columbia / Snake,Columbia - Upper,CRC harvest file
746,Green (Duwamish River) (King Co.),Green-Duwamish R. Sys,Puget Sound,Puget Sound,CRC harvest file
834,Skokomish River (Mason Co.),Skokomish R. System,Puget Sound,Puget Sound,CRC harvest file
880,Union River,Union R. System,Puget Sound,Puget Sound,block fallback
878,Tahuya River,Tahuya R. System,Puget Sound,Puget Sound,block fallback
732,Dewatto River,Dewatto R. System,Puget Sound,Puget Sound,CRC harvest file
812,Quilcene River,Quilcene R. System,Puget Sound,Puget Sound,CRC harvest file
766,Little Quilcene River,Little Quilcene R. System,Puget Sound,Puget Sound,CRC harvest file
12,Area 12: Hood Canal,Marine Water,Marine (out of scope),Marine,block fallback
11,Area 11: Mid-Puget Sound,Marine Water,Marine (out of scope),Marine,block fallback
763,Lake Sammamish,Lake Washington System,Puget Sound,Puget Sound,same hydrologic system
764,Sammamish River,Lake Washington System,Puget Sound,Puget Sound,CRC harvest file
762,Lake Washington,Lake Washington System,Puget Sound,Puget Sound,CRC harvest file
802,Carbon River,Puyallup R. System,Puget Sound,Puget Sound,CRC harvest file
808,White (Stuck) River,Puyallup R. System,Puget Sound,Puget Sound,same hydrologic system
770,McAllister Creek (Thurston Co.),Nisqually R. System,Puget Sound,Puget Sound,same hydrologic system
728,Deschutes River,Deschutes R. System,Puget Sound,Puget Sound,CRC harvest file
754,Kennedy Creek,Kennedy Cr. System,Puget Sound,Puget Sound,CRC harvest file
529,Columbia R 06: The Dalles to John Day Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,CRC harvest file
527,Columbia R 05: Bonneville to The Dalles Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,CRC harvest file
850,Snohomish River,Snohomish R. System,Puget Sound,Puget Sound,CRC harvest file
712,Cedar River (King Co.),Lake Washington System,Puget Sound,Puget Sound,same hydrologic system
748,Soos Creek,Green-Duwamish R. Sys,Puget Sound,Puget Sound,same hydrologic system
758,,,Puget Sound,Puget Sound,block fallback
804,Puyallup River,Puyallup R. System,Puget Sound,Puget Sound,CRC harvest file
784,Berry Creek,Nisqually R. System,Puget Sound,Puget Sound,same hydrologic system
632,Rock Creek (Skamania Co.),Rock Cr. System (Skamania),Lower Columbia tribs,Columbia - Lower,block fallback
840,Pilchuck River (Snohomish System),Snohomish R. System,Puget Sound,Puget Sound,CRC harvest file
567,Lacamas Creek (Lewis Co.),Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,same hydrologic system
566,Green River (Cowlitz Co.) above Toutle Hatchery,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,CRC harvest file
575,"Toutle River, No. Fork",Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,CRC harvest file
577,"Toutle River, So. Fork",Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,same hydrologic system
543,Columbia R 13: Rocky Reach to Wells Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,CRC harvest file
571,Tilton River,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,CRC harvest file
652,Palouse River,Palouse R. System,Upper Columbia / Snake,Columbia - Upper,block fallback
644,Snake R 3: Lower Monumental to Little Goose Dam,Snake R. Mainstem,Upper Columbia / Snake,Columbia - Snake,CRC harvest file
592,Grande Ronde River,Grande Ronde R. System,Upper Columbia / Snake,Columbia - Upper,block fallback
650,"Snake R 6: upstream of the Interstate Bridge, Clarkston",Snake R. Mainstem,Upper Columbia / Snake,Columbia - Snake,CRC harvest file
653,Tucannon River,Tucannon R. System,Upper Columbia / Snake,Columbia - Upper,block fallback
646,Snake R 4: Little Goose to Lower Granite Dam,Snake R. Mainstem,Upper Columbia / Snake,Columbia - Snake,CRC harvest file
738,Dungeness River,Dungeness R. System,Puget Sound,Puget Sound,CRC harvest file
552,Chelan River,Chelan River,Upper Columbia / Snake,Columbia - Upper,block fallback
642,Snake R 2: Ice Harbor to Lower Monumental Dam,Snake R. Mainstem,Upper Columbia / Snake,Columbia - Snake,CRC harvest file
621,Methow River,Methow R. System,Upper Columbia / Snake,Columbia - Upper,CRC harvest file
539,Columbia R 11: Wanapum to Rock Island Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,CRC harvest file
537,Columbia R 10: Priest Rapids to Wanapum Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,CRC harvest file
541,Columbia R 12: Rock Island to Rocky Reach Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,CRC harvest file
629,Similkameen River,Okanogan R. System,Upper Columbia / Snake,Columbia - Upper,same hydrologic system
586,Entiat River,Entiat R. System,Upper Columbia / Snake,Columbia - Upper,CRC harvest file
648,"Snake R 5: Lower Granite Dam to Interstate Bridge, Clarkston",Snake R. Mainstem,Upper Columbia / Snake,Columbia - Snake,CRC harvest file
690,Yakima River,Yakima R. System,Upper Columbia / Snake,Columbia - Upper,CRC harvest file
549,Columbia R 16: above Grand Coulee Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,CRC harvest file
535,Columbia R 09:  I-182 Bridge to old Hanford townsite,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,CRC harvest file
536,Columbia R 09:  Old Hanford townsite to Priest Rapids Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,CRC harvest file
573,Toutle River,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,CRC harvest file
