catch_record_code,crc_name,hydrologic_system,block,region,year,harvest_fish,harvest_species,harvest_license_year,status,source,note,creel_unit,crc_resolution,denominator_pathway,coverage
519,Columbia R 01: Buoy 10 to Tongue Pt.-Rocky Pt.,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2022,,,,Provider data received - harmonizing,ODFW (Buoy 10 by mode + catch),4 modes incl. Charter Boat; mode set differs from other blocks,Buoy 10 (ODFW),standalone,provider-supplied,No harvest file for this year
519,Columbia R 01: Buoy 10 to Tongue Pt.-Rocky Pt.,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2023,10224.0,6.0,2023-24,Provider data received - harmonizing,ODFW (Buoy 10 by mode + catch),4 modes incl. Charter Boat; mode set differs from other blocks,Buoy 10 (ODFW),standalone,provider-supplied,Creel + CRC harvest
519,Columbia R 01: Buoy 10 to Tongue Pt.-Rocky Pt.,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2024,22765.0,5.0,2024-25,Provider data received - harmonizing,ODFW (Buoy 10 by mode + catch),4 modes incl. Charter Boat; mode set differs from other blocks,Buoy 10 (ODFW),standalone,provider-supplied,Creel + CRC harvest
519,Columbia R 01: Buoy 10 to Tongue Pt.-Rocky Pt.,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2025,,,,Provider data received - harmonizing,ODFW (Buoy 10 by mode + catch),4 modes incl. Charter Boat; mode set differs from other blocks,Buoy 10 (ODFW),standalone,provider-supplied,No harvest file for this year
521,Columbia R 02: Tongue Pt. Rocky Pt. to Longview Br.,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2022,,,,Blocked - open question,ODFW (LCR angler trips by mode),Undocumented hardcoded scalar 0.86/0.91/0.85/0.85 across modes - resolve with Mark S.,Lower Columbia (ODFW),share of multi-CRC unit,provider-supplied,No harvest file for this year
521,Columbia R 02: Tongue Pt. Rocky Pt. to Longview Br.,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2023,37464.0,7.0,2023-24,Blocked - open question,ODFW (LCR angler trips by mode),Undocumented hardcoded scalar 0.86/0.91/0.85/0.85 across modes - resolve with Mark S.,Lower Columbia (ODFW),share of multi-CRC unit,provider-supplied,"CRC harvest, no creel"
521,Columbia R 02: Tongue Pt. Rocky Pt. to Longview Br.,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2024,48677.0,7.0,"2023-24,2024-25",Blocked - open question,ODFW (LCR angler trips by mode),Undocumented hardcoded scalar 0.86/0.91/0.85/0.85 across modes - resolve with Mark S.,Lower Columbia (ODFW),share of multi-CRC unit,provider-supplied,"CRC harvest, no creel"
521,Columbia R 02: Tongue Pt. Rocky Pt. to Longview Br.,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2025,146.0,2.0,2024-25,Blocked - open question,ODFW (LCR angler trips by mode),Undocumented hardcoded scalar 0.86/0.91/0.85/0.85 across modes - resolve with Mark S.,Lower Columbia (ODFW),share of multi-CRC unit,provider-supplied,No harvest file for this year
523,Columbia R 03: Longview Br. to I-5 Br.,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2022,,,,Blocked - open question,ODFW (LCR angler trips by mode),Undocumented hardcoded scalar 0.86/0.91/0.85/0.85 across modes - resolve with Mark S.,Lower Columbia (ODFW),share of multi-CRC unit,provider-supplied,No harvest file for this year
523,Columbia R 03: Longview Br. to I-5 Br.,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2023,,,,Blocked - open question,ODFW (LCR angler trips by mode),Undocumented hardcoded scalar 0.86/0.91/0.85/0.85 across modes - resolve with Mark S.,Lower Columbia (ODFW),share of multi-CRC unit,provider-supplied,Neither
523,Columbia R 03: Longview Br. to I-5 Br.,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2024,,,,Blocked - open question,ODFW (LCR angler trips by mode),Undocumented hardcoded scalar 0.86/0.91/0.85/0.85 across modes - resolve with Mark S.,Lower Columbia (ODFW),share of multi-CRC unit,provider-supplied,Neither
523,Columbia R 03: Longview Br. to I-5 Br.,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2025,,,,Blocked - open question,ODFW (LCR angler trips by mode),Undocumented hardcoded scalar 0.86/0.91/0.85/0.85 across modes - resolve with Mark S.,Lower Columbia (ODFW),share of multi-CRC unit,provider-supplied,No harvest file for this year
525,Columbia R 04: I-5 Br. to Bonneville Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2022,,,,Blocked - open question,ODFW (LCR angler trips by mode),Undocumented hardcoded scalar 0.86/0.91/0.85/0.85 across modes - resolve with Mark S.,Lower Columbia (ODFW),share of multi-CRC unit,provider-supplied,No harvest file for this year
525,Columbia R 04: I-5 Br. to Bonneville Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2023,,,,Blocked - open question,ODFW (LCR angler trips by mode),Undocumented hardcoded scalar 0.86/0.91/0.85/0.85 across modes - resolve with Mark S.,Lower Columbia (ODFW),share of multi-CRC unit,provider-supplied,Neither
525,Columbia R 04: I-5 Br. to Bonneville Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2024,,,,Blocked - open question,ODFW (LCR angler trips by mode),Undocumented hardcoded scalar 0.86/0.91/0.85/0.85 across modes - resolve with Mark S.,Lower Columbia (ODFW),share of multi-CRC unit,provider-supplied,Neither
525,Columbia R 04: I-5 Br. to Bonneville Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Lower,2025,,,,Blocked - open question,ODFW (LCR angler trips by mode),Undocumented hardcoded scalar 0.86/0.91/0.85/0.85 across modes - resolve with Mark S.,Lower Columbia (ODFW),share of multi-CRC unit,provider-supplied,No harvest file for this year
527,Columbia R 05: Bonneville to The Dalles Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,2022,,,,Blocked - open question,ODFW (Bonneville-McNary),"Totals only, no mode/location split - request from ODFW or donor proportions from LCR",Bonneville-McNary (ODFW),share of multi-CRC unit,provider-supplied,No harvest file for this year
527,Columbia R 05: Bonneville to The Dalles Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,2023,9474.0,4.0,2023-24,Blocked - open question,ODFW (Bonneville-McNary),"Totals only, no mode/location split - request from ODFW or donor proportions from LCR",Bonneville-McNary (ODFW),share of multi-CRC unit,provider-supplied,"CRC harvest, no creel"
527,Columbia R 05: Bonneville to The Dalles Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,2024,8388.0,6.0,2024-25,Blocked - open question,ODFW (Bonneville-McNary),"Totals only, no mode/location split - request from ODFW or donor proportions from LCR",Bonneville-McNary (ODFW),share of multi-CRC unit,provider-supplied,"CRC harvest, no creel"
527,Columbia R 05: Bonneville to The Dalles Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,2025,,,,Blocked - open question,ODFW (Bonneville-McNary),"Totals only, no mode/location split - request from ODFW or donor proportions from LCR",Bonneville-McNary (ODFW),share of multi-CRC unit,provider-supplied,No harvest file for this year
529,Columbia R 06: The Dalles to John Day Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,2022,,,,Blocked - open question,ODFW (Bonneville-McNary),"Totals only, no mode/location split - request from ODFW or donor proportions from LCR",Bonneville-McNary (ODFW),share of multi-CRC unit,provider-supplied,No harvest file for this year
529,Columbia R 06: The Dalles to John Day Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,2023,1890.0,3.0,2023-24,Blocked - open question,ODFW (Bonneville-McNary),"Totals only, no mode/location split - request from ODFW or donor proportions from LCR",Bonneville-McNary (ODFW),share of multi-CRC unit,provider-supplied,"CRC harvest, no creel"
529,Columbia R 06: The Dalles to John Day Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,2024,1601.0,3.0,2024-25,Blocked - open question,ODFW (Bonneville-McNary),"Totals only, no mode/location split - request from ODFW or donor proportions from LCR",Bonneville-McNary (ODFW),share of multi-CRC unit,provider-supplied,"CRC harvest, no creel"
529,Columbia R 06: The Dalles to John Day Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,2025,14.0,1.0,2024-25,Blocked - open question,ODFW (Bonneville-McNary),"Totals only, no mode/location split - request from ODFW or donor proportions from LCR",Bonneville-McNary (ODFW),share of multi-CRC unit,provider-supplied,No harvest file for this year
