fishery_name,year,month,catch_area_code,angler_final,total_effort_hrs,n_completed_angler_trips,mean_trip_length,mean_group_size,sd,total_trips_est,pe_period,study_design,source,run_id
Cascade fall salmon 2022,2022,9,826,bank,1110.2914533011274,4,6.5291675,1.25,3.3852980023662615,170.0509985846017,week,NA,batch,NA
Cascade fall salmon 2022,2022,10,826,bank,2515.309236111111,42,4.689285,1.761904761904762,1.9878585591992477,536.3950444707692,week,NA,batch,NA
Cascade fall salmon 2022,2022,11,826,bank,2224.899982487923,27,4.467901851851852,1.8888888888888888,2.1766776399190033,497.9742295739439,week,NA,batch,NA
Cascade fall salmon 2023,2023,9,826,bank,2627.3412567640694,18,5.853703888888889,2.0555555555555554,2.260180997375155,448.83398727276136,week,NA,batch,NA
Cascade fall salmon 2023,2023,10,826,bank,7408.045220959597,43,4.680232093023256,2.13953488372093,1.8409979048325655,1582.837148611208,week,NA,batch,NA
Cascade fall salmon 2023,2023,11,826,bank,1076.1753019781147,10,2.596666,1.5,1.6266280793865844,414.4450237258526,week,NA,batch,NA
Cascade fall salmon 2024,2024,9,826,bank,3033.046280968468,6,5.300001666666667,1.6666666666666667,2.3419370472616605,572.2727032416282,week,NA,batch,NA
Cascade fall salmon 2024,2024,10,826,bank,8225.931037912913,20,4.8275,2,1.66882483777941,1703.973285947781,week,NA,batch,NA
Cascade fall salmon 2024,2024,11,826,bank,1828.185005474224,7,5.033334285714286,2.142857142857143,1.8399126036024749,363.2154952757691,week,NA,batch,NA
Chehalis salmon 2022,2022,9,317,bank,4722.615008174003,24,2.1618045833333333,1.2916666666666667,1.4258019335065877,2184.570726042268,week,NA,batch,NA
Chehalis salmon 2022,2022,9,317,boat,23344.562895723106,220,4.759090681818182,2.109090909090909,1.835495766460152,4905.25700317281,week,NA,batch,NA
Chehalis salmon 2022,2022,10,317,bank,10117.713377086153,39,3.4435905128205127,1.6923076923076923,2.4105147356124985,2938.12906599023,week,NA,batch,NA
Chehalis salmon 2022,2022,10,317,boat,30364.75679232804,479,4.849721670146137,2.325678496868476,2.0036202297062187,6261.133907796621,week,NA,batch,NA
Chehalis salmon 2022,2022,11,317,bank,2169.855023477276,6,1.6055566666666667,1.1666666666666667,1.3576395174223042,1351.465861358953,week,NA,batch,NA
Chehalis salmon 2022,2022,11,317,boat,4367.570335097002,64,5.32994796875,2.078125,1.9379441836607931,819.4395819067068,week,NA,batch,NA
Chehalis salmon 2022,2022,12,317,bank,194.60188378119875,2,2.825,1,0.3181980515339462,68.88562257741549,week,NA,batch,NA
Chehalis salmon 2022,2022,12,317,boat,468.87016313932975,10,3.984998,1.7,1.9008848738697108,117.65882018995488,week,NA,batch,NA
Chehalis salmon 2024,2024,9,315,bank,72.7838698256099,NA,NA,NA,NA,NA,week,NA,batch,NA
Chehalis salmon 2024,2024,9,315,boat,0,NA,NA,NA,NA,NA,week,NA,batch,NA
Chehalis salmon 2024,2024,9,317,bank,2512.1705787288056,70,3.354999857142857,1.4428571428571428,2.291521997332646,748.7841090008835,week,NA,batch,NA
Chehalis salmon 2024,2024,9,317,boat,26486.29893252448,284,5.327405985915493,2.1795774647887325,1.9417209044150725,4971.7064932818175,week,NA,batch,NA
Chehalis salmon 2024,2024,10,315,bank,1064.4390007740712,26,1.9391026923076924,1.5,1.433038569991911,548.9337955110057,week,NA,batch,NA
Chehalis salmon 2024,2024,10,315,boat,291.64059280544916,NA,NA,NA,NA,NA,week,NA,batch,NA
Chehalis salmon 2024,2024,10,317,bank,12992.24358270635,136,2.6683819852941175,1.4485294117647058,2.037093556039828,4868.959412223848,week,NA,batch,NA
Chehalis salmon 2024,2024,10,317,boat,34202.214229814104,308,5.10335512987013,2.301948051948052,1.942304865353584,6701.907541105116,week,NA,batch,NA
Chehalis salmon 2024,2024,11,315,bank,415.939832339852,5,3.33,2,1.831795620272633,124.90685655851412,week,NA,batch,NA
Chehalis salmon 2024,2024,11,315,boat,738.7299148573861,24,3.52361,2.3333333333333335,1.8598019772358656,209.6514412370796,week,NA,batch,NA
Chehalis salmon 2024,2024,11,317,bank,3554.1133543592296,98,3.4719389795918367,1.336734693877551,2.4331883546234634,1023.668150635831,week,NA,batch,NA
Chehalis salmon 2024,2024,11,317,boat,10782.904337484037,119,4.650280336134454,2.495798319327731,1.989744127253268,2318.7643664612547,week,NA,batch,NA
Chehalis salmon 2024,2024,12,315,bank,558.8579983787201,NA,NA,NA,NA,NA,week,NA,batch,NA
Chehalis salmon 2024,2024,12,315,boat,792.2202532105861,8,4.5729175,2.625,1.093267751739187,173.24175500882885,week,NA,batch,NA
Chehalis salmon 2024,2024,12,317,bank,485.5113188939759,3,0.7000000000000001,1.6666666666666667,0.3464101615137755,693.5875984199656,week,NA,batch,NA
Chehalis salmon 2024,2024,12,317,boat,2251.6875217291044,33,5.5575754545454545,1.878787878787879,2.0204173875295717,405.1564463938109,week,NA,batch,NA
