table,fishery_name,pe_period,action,batch_rows_replaced,manual_rows_added
trip_summary,Drano Lake salmon and steelhead 2022,week,replaced,4,8
trip_summary,Drano Lake salmon and steelhead 2023,week,replaced,4,8
trip_summary,Drano Lake salmon and steelhead 2024,week,replaced,4,12
trip_summary,Drano Lake salmon and steelhead 2025,week,replaced,4,8
trip_summary,Drano Lake salmon and steelhead 2022,month,dropped_orphan_period,4,0
trip_summary,Drano Lake salmon and steelhead 2023,month,dropped_orphan_period,4,0
trip_summary,Drano Lake salmon and steelhead 2024,month,dropped_orphan_period,4,0
trip_summary,Drano Lake salmon and steelhead 2025,month,dropped_orphan_period,4,0
harvest_summary,Drano Lake salmon and steelhead 2022,week,replaced,21,7
harvest_summary,Drano Lake salmon and steelhead 2023,week,replaced,28,7
harvest_summary,Drano Lake salmon and steelhead 2024,week,replaced,36,9
harvest_summary,Drano Lake salmon and steelhead 2025,week,replaced,24,8
harvest_summary,Drano Lake salmon and steelhead 2022,month,dropped_orphan_period,21,0
harvest_summary,Drano Lake salmon and steelhead 2023,month,dropped_orphan_period,28,0
harvest_summary,Drano Lake salmon and steelhead 2024,month,dropped_orphan_period,36,0
harvest_summary,Drano Lake salmon and steelhead 2025,month,dropped_orphan_period,24,0
