fishery_name,est_cg,reported_harvest,n_interviews,n_interviews_fish,catch_group,is_total,expanded_harvest,study_design,expansion_factor,unsampled_effort_hrs,prop_effort_unsampled,pe_period
Cascade fall salmon 2022,Chinook_Adult|Jack_AD|UM_Kept,0,178,0,Chinook,FALSE,0,Standard,NA,8.421746376811594,0.0018737269079589249,week
Cascade fall salmon 2022,Chinook|Coho_Adult|Jack_AD|UM_Kept,175,178,61,TotalSalmon,TRUE,810.2025000000001,Standard,4.629728571428572,8.421746376811594,0.0018737269079589249,week
Cascade fall salmon 2022,Coho_Adult|Jack_AD|UM_Kept,175,178,61,Coho,FALSE,810.2025000000001,Standard,4.629728571428572,8.421746376811594,0.0018737269079589249,week
Cascade fall salmon 2023,Chinook_Adult|Jack_AD|UM_Kept,0,270,0,Chinook,FALSE,0,Standard,NA,0,0,week
Cascade fall salmon 2023,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM_Kept,358,270,127,TotalSalmon,TRUE,2458.0475,Standard,6.8660544692737435,0,0,week
Cascade fall salmon 2023,Chum_Adult|Jack_AD|UM_Kept,0,270,0,Chum,FALSE,0,Standard,NA,0,0,week
Cascade fall salmon 2023,Coho_Adult|Jack_AD|UM_Kept,357,270,127,Coho,FALSE,2453.7695000000003,Standard,6.8733039215686285,0,0,week
Cascade fall salmon 2023,Pink_Adult|Jack_AD|UM_Kept,1,270,1,Pink,FALSE,4.278,Standard,4.278,0,0,week
Cascade fall salmon 2024,Chinook_Adult_AD|UM|UNK_Kept,0,206,0,Chinook,FALSE,0,Standard,NA,172.74167605105106,0.02642876134674358,week
Cascade fall salmon 2024,Chinook|Chum|Coho_Adult_AD|UM|UNK_Kept,114,206,52,TotalSalmon,TRUE,1629.8375,Standard,14.296820175438597,172.74167605105106,0.02642876134674358,week
Cascade fall salmon 2024,Chum_Adult_AD|UM|UNK_Kept,0,206,0,Chum,FALSE,0,Standard,NA,172.74167605105106,0.02642876134674358,week
Cascade fall salmon 2024,Coho_Adult_AD|UM|UNK_Kept,114,206,52,Coho,FALSE,1629.8375,Standard,14.296820175438597,172.74167605105106,0.02642876134674358,week
Chehalis salmon 2022,Chinook_Adult|Jack|NA_AD|NA|UM|UNK_Kept,7,886,4,Chinook,FALSE,51.215999999999994,Standard,7.316571428571428,1839.0550505952713,0.038561459212807486,week
Chehalis salmon 2022,Chinook|Chum|Coho_Adult|Jack|NA_AD|NA|UM|UNK_Kept,1412,886,488,TotalSalmon,TRUE,10310.637833333334,Standard,7.302151440037772,1839.0550505952713,0.038561459212807486,week
