fishery_name,study_design,year,month,catch_area_code,angler_final,catch_group,species_scope,is_total,est_cg,harvest_est,harvest_var,n_strata,harvest_se,harvest_cv,harvest_l95,harvest_u95,life_stage_levels,fin_mark_levels,fate_levels,total_effort_hrs,harvest_per_hr,pe_period
Cascade fall salmon 2022,Standard,2022,9,826,bank,Chinook,Chinook,FALSE,Chinook_Adult|Jack_AD|UM_Kept,0,0,2,0,NA,0,0,Adult|Jack,AD|UM,Kept,1110.2914533011274,0,week
Cascade fall salmon 2022,Standard,2022,9,826,bank,TotalSalmon,Chinook+Coho,TRUE,Chinook|Coho_Adult|Jack_AD|UM_Kept,65.142,146.538363,2,12.105303094098884,0.1858294663058992,41.415605935566184,88.8683940644338,Adult|Jack,AD|UM,Kept,1110.2914533011274,0.05867108118892502,week
Cascade fall salmon 2022,Standard,2022,9,826,bank,Coho,Coho,FALSE,Coho_Adult|Jack_AD|UM_Kept,65.142,146.538363,2,12.105303094098884,0.1858294663058992,41.415605935566184,88.8683940644338,Adult|Jack,AD|UM,Kept,1110.2914533011274,0.05867108118892502,week
Cascade fall salmon 2022,Standard,2022,10,826,bank,Chinook,Chinook,FALSE,Chinook_Adult|Jack_AD|UM_Kept,0,0,9,0,NA,0,0,Adult|Jack,AD|UM,Kept,2515.309236111111,0,week
Cascade fall salmon 2022,Standard,2022,10,826,bank,TotalSalmon,Chinook+Coho,TRUE,Chinook|Coho_Adult|Jack_AD|UM_Kept,399.4415,6056.7916573500015,9,77.82539211176518,0.19483551937333798,246.90373146094026,551.9792685390598,Adult|Jack,AD|UM,Kept,2515.309236111111,0.15880413201900043,week
Cascade fall salmon 2022,Standard,2022,10,826,bank,Coho,Coho,FALSE,Coho_Adult|Jack_AD|UM_Kept,399.4415,6056.7916573500015,9,77.82539211176518,0.19483551937333798,246.90373146094026,551.9792685390598,Adult|Jack,AD|UM,Kept,2515.309236111111,0.15880413201900043,week
Cascade fall salmon 2022,Standard,2022,11,826,bank,Chinook,Chinook,FALSE,Chinook_Adult|Jack_AD|UM_Kept,0,0,7,0,NA,0,0,Adult|Jack,AD|UM,Kept,2224.899982487923,0,week
Cascade fall salmon 2022,Standard,2022,11,826,bank,TotalSalmon,Chinook+Coho,TRUE,Chinook|Coho_Adult|Jack_AD|UM_Kept,345.619,7397.896632600002,7,86.01102622687397,0.2488608156000508,177.03738859532706,514.200611404673,Adult|Jack,AD|UM,Kept,2224.899982487923,0.15534136487947772,week
Cascade fall salmon 2022,Standard,2022,11,826,bank,Coho,Coho,FALSE,Coho_Adult|Jack_AD|UM_Kept,345.619,7397.896632600002,7,86.01102622687397,0.2488608156000508,177.03738859532706,514.200611404673,Adult|Jack,AD|UM,Kept,2224.899982487923,0.15534136487947772,week
Cascade fall salmon 2023,Standard,2023,9,826,bank,Chinook,Chinook,FALSE,Chinook_Adult|Jack_AD|UM_Kept,0,0,4,0,NA,0,0,Adult|Jack,AD|UM,Kept,2627.3412567640694,0,week
Cascade fall salmon 2023,Standard,2023,9,826,bank,TotalSalmon,Chinook+Chum+Coho+Pink,TRUE,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM_Kept,408.305,1568.150307,4,39.59987761344724,0.09698602175689065,330.68923987764344,485.92076012235657,Adult|Jack,AD|UM,Kept,2627.3412567640694,0.15540615401551738,week
Cascade fall salmon 2023,Standard,2023,9,826,bank,Chum,Chum,FALSE,Chum_Adult|Jack_AD|UM_Kept,0,0,4,0,NA,0,0,Adult|Jack,AD|UM,Kept,2627.3412567640694,0,week
Cascade fall salmon 2023,Standard,2023,9,826,bank,Coho,Coho,FALSE,Coho_Adult|Jack_AD|UM_Kept,404.02700000000004,1568.150307,4,39.59987761344724,0.09801294867285414,326.4112398776434,481.64276012235666,Adult|Jack,AD|UM,Kept,2627.3412567640694,0.15377789198865421,week
Cascade fall salmon 2023,Standard,2023,9,826,bank,Pink,Pink,FALSE,Pink_Adult|Jack_AD|UM_Kept,4.278,0,4,0,0,4.278,4.278,Adult|Jack,AD|UM,Kept,2627.3412567640694,0.001628262026863211,week
Cascade fall salmon 2023,Standard,2023,10,826,bank,Chinook,Chinook,FALSE,Chinook_Adult|Jack_AD|UM_Kept,0,0,9,0,NA,0,0,Adult|Jack,AD|UM,Kept,7408.045220959597,0,week
Cascade fall salmon 2023,Standard,2023,10,826,bank,TotalSalmon,Chinook+Chum+Coho+Pink,TRUE,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM_Kept,1690.4225000000001,157405.43217415,9,396.7435345083143,0.2347008126715743,912.8051723637041,2468.039827636296,Adult|Jack,AD|UM,Kept,7408.045220959597,0.2281873894637258,week
Cascade fall salmon 2023,Standard,2023,10,826,bank,Chum,Chum,FALSE,Chum_Adult|Jack_AD|UM_Kept,0,0,9,0,NA,0,0,Adult|Jack,AD|UM,Kept,7408.045220959597,0,week
Cascade fall salmon 2023,Standard,2023,10,826,bank,Coho,Coho,FALSE,Coho_Adult|Jack_AD|UM_Kept,1690.4225000000001,157405.43217415,9,396.7435345083143,0.2347008126715743,912.8051723637041,2468.039827636296,Adult|Jack,AD|UM,Kept,7408.045220959597,0.2281873894637258,week
Cascade fall salmon 2023,Standard,2023,10,826,bank,Pink,Pink,FALSE,Pink_Adult|Jack_AD|UM_Kept,0,0,9,0,NA,0,0,Adult|Jack,AD|UM,Kept,7408.045220959597,0,week
Cascade fall salmon 2023,Standard,2023,11,826,bank,Chinook,Chinook,FALSE,Chinook_Adult|Jack_AD|UM_Kept,0,0,7,0,NA,0,0,Adult|Jack,AD|UM,Kept,1076.1753019781147,0,week
Cascade fall salmon 2023,Standard,2023,11,826,bank,TotalSalmon,Chinook+Chum+Coho+Pink,TRUE,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM_Kept,359.32,22100.953392899995,7,148.66389404593167,0.4137367640151722,67.93876766997391,650.7012323300261,Adult|Jack,AD|UM,Kept,1076.1753019781147,0.3338861237007901,week
Cascade fall salmon 2023,Standard,2023,11,826,bank,Chum,Chum,FALSE,Chum_Adult|Jack_AD|UM_Kept,0,0,7,0,NA,0,0,Adult|Jack,AD|UM,Kept,1076.1753019781147,0,week
Cascade fall salmon 2023,Standard,2023,11,826,bank,Coho,Coho,FALSE,Coho_Adult|Jack_AD|UM_Kept,359.32,22100.953392899995,7,148.66389404593167,0.4137367640151722,67.93876766997391,650.7012323300261,Adult|Jack,AD|UM,Kept,1076.1753019781147,0.3338861237007901,week
Cascade fall salmon 2023,Standard,2023,11,826,bank,Pink,Pink,FALSE,Pink_Adult|Jack_AD|UM_Kept,0,0,7,0,NA,0,0,Adult|Jack,AD|UM,Kept,1076.1753019781147,0,week
Cascade fall salmon 2024,Standard,2024,9,826,bank,Chinook,Chinook,FALSE,Chinook_Adult_AD|UM|UNK_Kept,0,0,5,0,NA,0,0,Adult,AD|UM|UNK,Kept,3033.046280968468,0,week
Cascade fall salmon 2024,Standard,2024,9,826,bank,TotalSalmon,Chinook+Chum+Coho,TRUE,Chinook|Chum|Coho_Adult_AD|UM|UNK_Kept,480.5555,13479.757593749999,5,116.10235826093283,0.24160031101700602,252.99487780857166,708.1161221914283,Adult,AD|UM|UNK,Kept,3033.046280968468,0.15843988369559464,week
Cascade fall salmon 2024,Standard,2024,9,826,bank,Chum,Chum,FALSE,Chum_Adult_AD|UM|UNK_Kept,0,0,5,0,NA,0,0,Adult,AD|UM|UNK,Kept,3033.046280968468,0,week
Cascade fall salmon 2024,Standard,2024,9,826,bank,Coho,Coho,FALSE,Coho_Adult_AD|UM|UNK_Kept,480.5555,13479.757593749999,5,116.10235826093283,0.24160031101700602,252.99487780857166,708.1161221914283,Adult,AD|UM|UNK,Kept,3033.046280968468,0.15843988369559464,week
Cascade fall salmon 2024,Standard,2024,10,826,bank,Chinook,Chinook,FALSE,Chinook_Adult_AD|UM|UNK_Kept,0,0,9,0,NA,0,0,Adult,AD|UM|UNK,Kept,8225.931037912913,0,week
Cascade fall salmon 2024,Standard,2024,10,826,bank,TotalSalmon,Chinook+Chum+Coho,TRUE,Chinook|Chum|Coho_Adult_AD|UM|UNK_Kept,1075.299,6563.557184,9,81.01578354863946,0.07534256383446787,916.5080642446667,1234.0899357553333,Adult,AD|UM|UNK,Kept,8225.931037912913,0.13072064366258354,week
