river_name_crc,river_norm,matched_description,crc_area_id,catch_area_code,catch_area_region,similarity,region_mismatch,review_needed
DESCHUTES /CAPITOL LK,deschutes capitol lake,Capitol Lake,5751EB03-3328-4254-BA86-1D44075F1E24,727,Puget Sound,0.545,FALSE,TRUE
BIG BEEF CR.,big beef creek,Minter Creek (Pierce/Kitsap Co.),002FC0EC-71D8-4ECB-8033-0469F5A2BB70,778,Puget Sound,0.571,FALSE,TRUE
PURDY CR.- HC,purdy creek hc,Burley Creek (Kitsap Co.),54EA4B95-1210-4F24-9BEC-F7F611696E56,708,Puget Sound,0.571,FALSE,TRUE
TWIN R'S,twin rivers,Tolt River,2E59294A-8FE7-497C-9BA2-D82E77822891,858,Puget Sound,0.636,FALSE,TRUE
HAMMA HAMMA R.,hamma hamma river,Walla Walla River,2FA63B31-DAE2-43ED-8A28-AFBF5D651A1C,659,Columbia River,0.647,TRUE,TRUE
WHITE/STUCK R.,white stuck river,White (Stuck) River,418F5784-A1B7-45F6-A423-522E72C5E838,808,Puget Sound,0.647,FALSE,TRUE
MCLANE CR.,mclane creek,Morse Creek (Clallam Co.),E445DEBF-52FA-4CC1-B602-F7FC60ED624E,782,Puget Sound,0.667,FALSE,TRUE
STILLAGUAMISH,stillaguamish,Stillaguamish River (below forks),64A442DE-89D8-4160-9779-0DFB712A3861,876,Puget Sound,0.684,FALSE,TRUE
DEWATTO CR.,dewatto creek,Dewatto River,BB7517A8-16C3-4DB8-A433-1E310D069CD9,732,Puget Sound,0.692,FALSE,TRUE
CEDAR R.,cedar river,Cedar River (Pacific Co.),1181BCB5-1C51-4E46-AD3E-9DEB6A311088,312,Coastal Region,1,TRUE,TRUE
GREEN-DUWAMISH,green duwamish,Green/Duwamish River (King Co.),47075A07-D2ED-44B7-975C-4EDC37157460,746,Puget Sound,0.7,FALSE,FALSE
PURDY CR.,purdy creek,Burley Creek (Kitsap Co.),54EA4B95-1210-4F24-9BEC-F7F611696E56,708,Puget Sound,0.75,FALSE,FALSE
SAIL R.,sail river,Sauk River,5B154851-299C-4C99-AD5B-E062A3E8AAD5,828,Puget Sound,0.8,FALSE,FALSE
CALIFORNIA CR.,california creek,California Creek,CB08B432-6072-4939-B1C8-5262826AFF84,710,Puget Sound,1,FALSE,FALSE
CARBON R.,carbon river,Carbon River,60E50438-01BB-4AC8-9485-B682B85886A4,802,Puget Sound,1,FALSE,FALSE
CASCADE R.,cascade river,Cascade River,D405917F-DA11-469E-B714-14FDAAD188C8,826,Puget Sound,1,FALSE,FALSE
