fishery_name,year,location,mode,n_interviews,n_location,prop,prop_hrs,prop_delta
Baker summer sockeye 2022,2022,bank,guided,0,4,0,NA,NA
Baker summer sockeye 2022,2022,bank,unguided,4,4,1,1,0
Baker summer sockeye 2022,2022,boat,guided,9,562,0.01601423487544484,0.03413581796710092,-0.01812158309165608
Baker summer sockeye 2022,2022,boat,unguided,553,562,0.9839857651245552,0.965864182032899,0.018121583091656124
Baker summer sockeye 2023,2023,bank,guided,0,9,0,NA,NA
Baker summer sockeye 2023,2023,bank,unguided,9,9,1,1,0
Baker summer sockeye 2023,2023,boat,guided,9,475,0.018947368421052633,0.03564407018027249,-0.01669670175921986
Baker summer sockeye 2023,2023,boat,unguided,466,475,0.9810526315789474,0.9643559298197275,0.01669670175921989
Cascade fall salmon 2021,2021,bank,guided,0,106,0,NA,NA
Cascade fall salmon 2021,2021,bank,unguided,106,106,1,1,0
Cascade fall salmon 2022,2022,bank,guided,0,182,0,NA,NA
Cascade fall salmon 2022,2022,bank,unguided,182,182,1,1,0
Cascade fall salmon 2023,2023,bank,guided,1,273,0.003663003663003663,0.0032223009685802034,4.4070269442345955e-4
Cascade fall salmon 2023,2023,bank,unguided,272,273,0.99633699633699635,0.9967776990314198,-4.407026944234227e-4
Cascade fall salmon 2024,2024,bank,guided,0,200,0,NA,NA
Cascade fall salmon 2024,2024,bank,unguided,200,200,1,1,0
Cascade spring Chinook 2022,2022,bank,guided,0,409,0,NA,NA
Cascade spring Chinook 2022,2022,bank,unguided,409,409,1,1,0
Cascade spring Chinook 2023,2023,bank,guided,0,158,0,NA,NA
Cascade spring Chinook 2023,2023,bank,unguided,158,158,1,1,0
Cascade spring Chinook 2024,2024,bank,guided,0,154,0,NA,NA
Cascade spring Chinook 2024,2024,bank,unguided,154,154,1,1,0
Cascade winter gamefish 2021-22,2021,bank,guided,0,10,0,NA,NA
Cascade winter gamefish 2021-22,2021,bank,unguided,10,10,1,1,0
Cascade winter gamefish 2021-22,2022,bank,guided,0,5,0,NA,NA
Cascade winter gamefish 2021-22,2022,bank,unguided,5,5,1,1,0
Cascade winter gamefish 2023,2023,bank,guided,0,7,0,NA,NA
Cascade winter gamefish 2023,2023,bank,unguided,7,7,1,1,0
Chehalis salmon 2022,2022,bank,guided,0,94,0,NA,NA
Chehalis salmon 2022,2022,bank,unguided,94,94,1,1,0
Chehalis salmon 2022,2022,boat,guided,90,789,0.11406844106463879,0.2082673609889401,-0.09419891992430132
Chehalis salmon 2022,2022,boat,unguided,699,789,0.8859315589353612,0.79173263901106,0.0941989199243013
Chehalis salmon 2024,2024,bank,guided,0,448,0,NA,NA
Chehalis salmon 2024,2024,bank,unguided,448,448,1,1,0
Chehalis salmon 2024,2024,boat,guided,54,893,0.060470324748040316,0.11656323736231025,-0.056092912614269935
Chehalis salmon 2024,2024,boat,unguided,839,893,0.9395296752519597,0.8834367626376898,0.05609291261426996
Chehalis salmon 2025,2025,bank,guided,1,339,0.0029498525073746312,0.01104533003446143,-0.008095477527086798
Chehalis salmon 2025,2025,bank,unguided,338,339,0.9970501474926253,0.9889546699655386,0.008095477527086725
Chehalis salmon 2025,2025,boat,guided,77,1016,0.07578740157480315,0.15435533221179962,-0.07856793063699646
Chehalis salmon 2025,2025,boat,unguided,939,1016,0.9242125984251969,0.8456446677882004,0.07856793063699652
Chehalis winter steelhead 2024-25,2024,bank,guided,0,149,0,NA,NA
Chehalis winter steelhead 2024-25,2024,bank,unguided,149,149,1,1,0
Chehalis winter steelhead 2024-25,2024,boat,guided,14,181,0.07734806629834254,0.13076903516727553,-0.053420968868932994
Chehalis winter steelhead 2024-25,2024,boat,unguided,167,181,0.9226519337016574,0.8692309648327246,0.05342096886893288
Chehalis winter steelhead 2024-25,2025,bank,guided,0,10,0,NA,NA
Chehalis winter steelhead 2024-25,2025,bank,unguided,10,10,1,1,0
