fishery_name,crc_area,angler_final,n_months,mean_of_months,sd_of_months,min_month,max_month,cv_across_months,pe_period
Cascade fall salmon 2022,826,bank,3,4.567673533950617,0.1122958445057228,4.467901851851852,4.689285,0.024584910386228332,week
Cascade fall salmon 2023,826,bank,3,4.34824396969697,1.6128267763041508,2.596666,5.77193,0.3709145088325274,week
Cascade fall salmon 2024,826,bank,3,5.053611984126984,0.2369026066559458,4.8275,5.300001666666667,0.0468778781196576,week
Chehalis salmon 2022,317,bank,4,2.801277032142857,0.5013521228234838,2.2159992,3.4379175,0.17897270318886344,week
Chehalis salmon 2022,317,boat,4,4.733178949986444,0.5574733815984321,3.984998,5.32994796875,0.11777990806792309,week
Chehalis salmon 2024,315,bank,2,2.634551346153846,0.9835129182033426,1.9391026923076924,3.33,0.3733132472969877,week
Chehalis salmon 2024,315,boat,2,4.04826375,0.7419724487999031,3.52361,4.5729175,0.18328164729877175,week
Chehalis salmon 2024,317,bank,4,2.5654275674127582,1.2910034231946985,0.7000000000000001,3.4719389795918367,0.5032312896273581,week
Chehalis salmon 2024,317,boat,4,5.159354428413372,0.3867436920939149,4.650280336134454,5.5575754545454545,0.07495970619193303,week
Chehalis salmon 2024,NA,boat,3,4.332858009615384,0.6339410853963443,3.859616153846154,5.0531243749999994,0.14631014540276097,week
Chehalis salmon 2025,315,bank,3,2.4690388666666667,0.705196843981773,2.0616666,3.28333,0.2856159348086027,week
Chehalis salmon 2025,315,boat,3,4.0770163461538464,0.18085183436431151,3.9015625,4.262821538461538,0.04435886908692984,week
Chehalis salmon 2025,317,bank,4,4.060836543822348,2.3432653180693697,2.732963333333333,7.56667,0.5770400489608778,week
Chehalis salmon 2025,317,boat,4,5.007342897275933,0.31632000438432645,4.786781724137931,5.476923076923077,0.06317122890793221,week
Chehalis salmon 2025,NA,bank,2,4.6527775,0.16106124708476544,4.53889,4.766665,0.03461615069380933,week
Chehalis salmon 2025,NA,boat,3,4.415129397306397,0.17782400043849028,4.250758636363637,4.603889,0.04027605635906798,week
