fishery_name,year,month,crc_area,angler_final,total_effort_hrs,n_completed_angler_trips,mean_trip_length,mean_group_size,sd,total_trips_est,pe_period
Cascade fall salmon 2022,2022,9,826,bank,1110.2914533011274,4,6.5291675,1.25,3.3852980023662615,170.0509985846017,week
Cascade fall salmon 2022,2022,10,826,bank,2515.309236111111,42,4.689285,1.7619047619047619,1.9878585591992475,536.3950444707692,week
Cascade fall salmon 2022,2022,11,826,bank,2224.899982487923,27,4.467901851851852,1.8888888888888888,2.1766776399190033,497.9742295739439,week
Cascade fall salmon 2023,2023,9,826,bank,2627.3412567640694,18,5.853703888888889,2.0555555555555554,2.2601809973751554,448.83398727276136,week
Cascade fall salmon 2023,2023,10,826,bank,7408.045220959597,43,4.680232093023256,2.13953488372093,1.8409979048325655,1582.837148611208,week
Cascade fall salmon 2023,2023,11,826,bank,1076.1753019781147,10,2.596666,1.5,1.6266280793865844,414.4450237258526,week
Cascade fall salmon 2024,2024,9,826,bank,3033.046280968468,6,5.300001666666667,1.6666666666666667,2.3419370472616605,572.2727032416282,week
Cascade fall salmon 2024,2024,10,826,bank,8225.931037912913,20,4.8275,2,1.66882483777941,1703.973285947781,week
Cascade fall salmon 2024,2024,11,826,bank,1828.185005474224,7,5.033334285714286,2.142857142857143,1.8399126036024749,363.2154952757691,week
Chehalis salmon 2022,2022,9,317,bank,4722.615008174003,24,2.1618045833333333,1.2916666666666667,1.4258019335065875,2184.5707260422682,week
Chehalis salmon 2022,2022,9,317,boat,23344.562895723102,220,4.759090681818182,2.109090909090909,1.835495766460152,4905.25700317281,week
Chehalis salmon 2022,2022,10,317,bank,10117.713377086151,39,3.4435905128205127,1.6923076923076923,2.4105147356124985,2938.12906599023,week
Chehalis salmon 2022,2022,10,317,boat,30364.75679232804,479,4.849721670146137,2.325678496868476,2.0036202297062187,6261.133907796621,week
Chehalis salmon 2022,2022,11,317,bank,2169.855023477276,6,1.6055566666666667,1.1666666666666667,1.3576395174223042,1351.465861358953,week
Chehalis salmon 2022,2022,11,317,boat,4367.570335097002,64,5.32994796875,2.078125,1.9379441836607931,819.4395819067068,week
Chehalis salmon 2022,2022,12,317,bank,194.60188378119875,2,2.825,1,0.3181980515339462,68.88562257741549,week
Chehalis salmon 2022,2022,12,317,boat,468.87016313932975,10,3.984998,1.7,1.9008848738697108,117.65882018995487,week
Chehalis salmon 2024,2024,9,315,bank,72.7838698256099,NA,NA,NA,NA,NA,week
Chehalis salmon 2024,2024,9,315,boat,0,NA,NA,NA,NA,NA,week
Chehalis salmon 2024,2024,9,317,bank,2512.1705787288056,70,3.354999857142857,1.4428571428571428,2.291521997332646,748.7841090008835,week
Chehalis salmon 2024,2024,9,317,boat,26486.298932524478,284,5.327405985915493,2.1795774647887325,1.9417209044150725,4971.7064932818175,week
Chehalis salmon 2024,2024,10,315,bank,1064.4390007740712,26,1.9391026923076924,1.5,1.433038569991911,548.9337955110057,week
Chehalis salmon 2024,2024,10,315,boat,291.64059280544916,NA,NA,NA,NA,NA,week
Chehalis salmon 2024,2024,10,317,bank,12992.24358270635,136,2.6683819852941175,1.4485294117647058,2.037093556039828,4868.959412223848,week
Chehalis salmon 2024,2024,10,317,boat,34202.214229814104,308,5.10335512987013,2.301948051948052,1.9423048653535842,6701.907541105116,week
Chehalis salmon 2024,2024,11,315,bank,415.939832339852,5,3.33,2,1.831795620272633,124.90685655851411,week
Chehalis salmon 2024,2024,11,315,boat,738.7299148573861,24,3.52361,2.3333333333333335,1.8598019772358656,209.6514412370796,week
Chehalis salmon 2024,2024,11,317,bank,3554.1133543592296,98,3.4719389795918367,1.336734693877551,2.4331883546234634,1023.668150635831,week
Chehalis salmon 2024,2024,11,317,boat,10782.904337484037,119,4.650280336134454,2.495798319327731,1.989744127253268,2318.7643664612547,week
Chehalis salmon 2024,2024,12,315,bank,558.8579983787201,NA,NA,NA,NA,NA,week
Chehalis salmon 2024,2024,12,315,boat,792.2202532105861,8,4.5729175,2.625,1.093267751739187,173.24175500882885,week
Chehalis salmon 2024,2024,12,317,bank,485.51131889397595,3,0.7000000000000001,1.6666666666666667,0.3464101615137755,693.5875984199656,week
Chehalis salmon 2024,2024,12,317,boat,2251.6875217291044,33,5.5575754545454545,1.878787878787879,2.0204173875295717,405.1564463938109,week
Chehalis salmon 2025,2025,9,317,bank,5114.201652126809,51,3.1248370588235295,1.392156862745098,2.20942752380004,1636.6298644871601,week
Chehalis salmon 2025,2025,9,317,boat,42784.58277625571,315,4.886349333333333,2.092063492063492,2.076473405307402,8755.940244466567,week
Chehalis salmon 2025,2025,10,315,bank,2057.5158482650504,49,2.007482857142857,1.6122448979591837,1.2614480426891022,1024.9232470126308,week
Chehalis salmon 2025,2025,10,315,boat,876.8760020928462,11,3.9121227272727275,1.7272727272727273,1.9805322879069198,224.1432754601096,week
Chehalis salmon 2025,2025,10,317,bank,11280.620373012827,81,2.81893024691358,1.4814814814814814,2.0631679961214835,4001.738030007614,week
Chehalis salmon 2025,2025,10,317,boat,31540.973674657533,352,4.873626789772727,2.397727272727273,2.33678879348106,6471.766311865745,week
Chehalis salmon 2025,2025,11,315,bank,1024.7719124580417,10,2.078332,1.8,2.534223254511462,493.07421165532827,week
Chehalis salmon 2025,2025,11,315,boat,1554.0036906392695,61,3.930327868852459,2.098360655737705,1.797597784898979,395.3878003294909,week
Chehalis salmon 2025,2025,11,317,bank,1690.5108867433723,45,2.732963333333333,1.2222222222222223,1.7994616244234627,618.563325063529,week
Chehalis salmon 2025,2025,11,317,boat,6399.012897260274,113,4.799557610619469,2.353982300884956,2.181934819266441,1333.250565239984,week
Chehalis salmon 2025,2025,12,315,bank,91.21587043153143,1,3.28333,1,NA,27.781511584742148,week
Chehalis salmon 2025,2025,12,315,boat,205.0296404109589,2,4.066665,2,1.2492243371188378,50.417145353983884,week
