catch_area_code,year,creel_trips,creel_harvest,fisheries,crc_harvest,crc_minus_creel,crc_over_creel,trips_per_salmon_creel,trips_per_salmon_crc,comparable,note
804,2025,75739.40992981145,91382.65180909091,Puyallup Carbon salmon 2025,0,-91382.65180909091,0,0.8288160655267476,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
804,2023,82766.21632659859,94986.06901082251,Puyallup_Carbon salmon 2023,56064,-38922.06901082251,0.5902339214986588,0.8713511064150721,1.476280970437332,TRUE,NA
850,2025,34130.546819332776,22395.583649092518,Snohomish fall salmon 2025,0,-22395.583649092518,0,1.5239855926110577,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
830,2025,53744.28234827006,19828.08097361823,Skagit fall salmon 2025,0,-19828.08097361823,0,2.710513560025209,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
315,2024,1507.8234947045628,263.2786,Chehalis salmon 2024,14447,14183.7214,54.873430654827246,5.727102372561093,0.1043693150622664,TRUE,NA
850,2023,48087.491307891316,38262.78964574314,Snohomish fall salmon 2023,25214,-13048.789645743142,0.6589692030676373,1.2567690895805137,1.9071742408142824,TRUE,NA
618,2025,20236.63792829759,11831.285852380952,Drano Lake salmon and steelhead 2025,27,-11804.285852380952,0.002282085002161153,1.7104343670493878,749.5051084554663,TRUE,NA
315,2023,1846.62445144156,526.9031666666667,Upper Chehalis salmon 2023,12154,11627.096833333333,23.06685700313688,3.504675181824794,0.1519355316308672,TRUE,NA
830,2023,83351.25723846734,32951.44349460141,Skagit fall salmon 2023,26645,-6306.443494601408,0.8086140446128066,2.5295176295424864,3.1282138201714145,TRUE,NA
802,2025,14102.987767029652,5354.197371428571,Puyallup Carbon salmon 2025,0,-5354.197371428571,0,2.634005956203065,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
358,2025,14844.543727507375,4981.287502855082,Humptulips salmon 2025,0,-4981.287502855082,0,2.9800616244292377,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
