block,river_label,year,mode,location,angler_trips,total_salmon_harvest,catch_area_codes,tier,source_id,method,trips_per_salmon
ColumbiaTrib,Drano Lake,2022,unknown,bank,2487.182995122373,340.93743452380954,618,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated; design-based PE (pe_period=month); trip_length_source=month; zero_effort,7.295130259298879
ColumbiaTrib,Drano Lake,2022,unknown,boat,11643.703400276816,4775.606703571429,618,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,2.4381621274568306
ColumbiaTrib,Drano Lake,2023,unguided,bank,2178.2193192009877,431.1322916666667,618,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=area_season; estimated_donor; design-based PE (pe_period=month); trip_length_source=month; estimated,5.052322364396437
ColumbiaTrib,Drano Lake,2023,guided,boat,1912.9692934325574,1110.0355373413602,618,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,1.7233405860269115
ColumbiaTrib,Drano Lake,2023,unguided,boat,12320.819178040201,7149.381426944354,618,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,1.7233405860269118
ColumbiaTrib,Drano Lake,2024,unguided,bank,1775.1670104807702,271.1251223290598,618,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,6.547408794992745
ColumbiaTrib,Drano Lake,2024,guided,boat,1666.609419542229,843.4122073770491,618,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,1.9760318916005066
ColumbiaTrib,Drano Lake,2024,unguided,boat,10293.764061878475,5209.31069262295,618,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,1.9760318916005069
ColumbiaTrib,Drano Lake,2024,unknown,unknown,331.95158667552386,0,618,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=fishery_season; estimated_donor; design-based PE (pe_period=month); trip_length_source=fishery_season; zero_effort,NA
ColumbiaTrib,Drano Lake,2025,unguided,bank,3684.9186605922378,613.14965,618,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,6.009819398237018
ColumbiaTrib,Drano Lake,2025,guided,boat,2816.331590878735,1908.8042073786278,618,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,1.4754428872233156
ColumbiaTrib,Drano Lake,2025,unguided,boat,13735.387676826618,9309.331995002325,618,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,1.4754428872233154
ColumbiaTrib,Hanford Reach,2022,unknown,boat,28268.918845931716,11462.474383419303,,P1,R3_external,"R3-reported weekly creel summary, expanded (spreadsheet calculation, not independently vetted by WDFW HQ)",2.46621435305655
ColumbiaTrib,Hanford Reach,2022,unknown,unknown,60439.1521205148,22726,534|535|536,P2,p2_block_ratio,"P2 block ratio 2.659 creel-trips per CRC-salmon (block_year, 2 donor area(s) [618|690]) x CRC harvest 10862. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.; P2 block ratio 2.659 creel-trips per CRC-salmon (block_year, 2 donor area(s) [618|690]) x CRC harvest 2447. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.; P2 block ratio 2.659 creel-trips per CRC-salmon (block_year, 2 donor area(s) [618|690]) x CRC harvest 9417. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",2.6594716237135794
ColumbiaTrib,Hanford Reach,2023,unknown,boat,27650.140219436187,11105.097007998453,,P1,R3_external,"R3-reported weekly creel summary, expanded (spreadsheet calculation, not independently vetted by WDFW HQ)",2.4898603046439987
ColumbiaTrib,Hanford Reach,2023,unknown,unknown,23912.160466202262,15931,534|535|536,P2,p2_block_ratio,"P2 block ratio 1.501 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 5931. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.; P2 block ratio 1.501 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 9079. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.; P2 block ratio 1.501 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 921. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",1.5009830184045108
ColumbiaTrib,Hanford Reach,2024,unknown,boat,23070.355439536208,11266.035013728306,,P1,R3_external,"R3-reported weekly creel summary, expanded (spreadsheet calculation, not independently vetted by WDFW HQ)",2.0477794904261937
ColumbiaTrib,Hanford Reach,2024,unknown,unknown,31710.305080352417,20379,534|535|536,P2,p2_block_ratio,"P2 block ratio 1.556 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 12676. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.; P2 block ratio 1.556 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 630. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.; P2 block ratio 1.556 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 7073. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",1.5560285136833218
ColumbiaTrib,Hanford Reach,2025,unknown,boat,18502.854001943706,7935.650270241007,,P1,R3_external,"R3-reported weekly creel summary, expanded (spreadsheet calculation, not independently vetted by WDFW HQ)",2.3316115720636175
ColumbiaTrib,Lower Cowlitz,2022,unknown,unknown,18267.910583288576,6869,561,P2,p2_block_ratio,"P2 block ratio 2.659 creel-trips per CRC-salmon (block_year, 2 donor area(s) [618|690]) x CRC harvest 6869. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",2.6594716237135794
ColumbiaTrib,Lower Cowlitz,2023,unknown,unknown,9929.002666745839,6615,561,P2,p2_block_ratio,"P2 block ratio 1.501 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 6615. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",1.5009830184045108
ColumbiaTrib,Lower Cowlitz,2024,unknown,unknown,5956.4771503797565,3828,507|561,P2,p2_block_ratio,"P2 block ratio 1.556 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 13. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.; P2 block ratio 1.556 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 3815. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",1.556028513683322
ColumbiaTrib,McNary Reservoir,2022,unknown,unknown,1023.896575129728,385,533,P2,p2_block_ratio,"P2 block ratio 2.659 creel-trips per CRC-salmon (block_year, 2 donor area(s) [618|690]) x CRC harvest 385. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",2.6594716237135794
ColumbiaTrib,McNary Reservoir,2023,unknown,combined,1562.26385472027,62.6927679409378,533,P1,R3_external,"R3-reported weekly creel summary, expanded (spreadsheet calculation, not independently vetted by WDFW HQ)",24.919363206168573
ColumbiaTrib,McNary Reservoir,2024,unknown,combined,2767.180410962862,135.85087958914121,533,P1,R3_external,"R3-reported weekly creel summary, expanded (spreadsheet calculation, not independently vetted by WDFW HQ)",20.369249130603695
ColumbiaTrib,McNary Reservoir,2025,unknown,combined,1975.7572160449931,42.61647282963507,533,P1,R3_external,"R3-reported weekly creel summary, expanded (spreadsheet calculation, not independently vetted by WDFW HQ)",46.36135008036308
ColumbiaTrib,Yakima,2022,unknown,bank,7902.836007067821,2907.310291902091,690,P1,R3_external,"R3-reported weekly creel summary, expanded (spreadsheet calculation, not independently vetted by WDFW HQ)",2.718263691729112
ColumbiaTrib,Yakima,2023,unknown,unknown,618.4050035826584,412,690,P2,p2_block_ratio,"P2 block ratio 1.501 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 412. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",1.5009830184045108
ColumbiaTrib,Yakima,2024,unknown,unknown,1121.896558365675,721,690,P2,p2_block_ratio,"P2 block ratio 1.556 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 721. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",1.5560285136833218
PugetSound,Cascade,2022,unguided,bank,1658.0873264483816,954.6986333333333,826,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,1.7367651618596798
PugetSound,Cascade,2023,unguided,bank,2897.708266862889,2749.89550563722,826,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,1.0537521374621894
PugetSound,Cascade,2024,unguided,bank,2619.075307144715,1357.3284345238096,826,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,1.9295811098686393
PugetSound,Nisqually,2022,unknown,bank,16548.43112359742,2203.033931818182,786,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,7.511655124594411
PugetSound,Nisqually,2022,unknown,boat,330.7186287615859,232.38055,786,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=area_season; estimated_donor; design-based PE (pe_period=month); trip_length_source=month; estimated,1.4231768913602532
PugetSound,Nisqually,2023,unknown,bank,17970.336016669018,3280.156403846154,786,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,5.478499743365245
PugetSound,Nisqually,2023,unknown,boat,566.1481710463848,445.55056666666667,786,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=area_season; estimated_donor; design-based PE (pe_period=month); trip_length_source=month; estimated,1.270670970709239
PugetSound,Nisqually,2024,unknown,unknown,10891.169781269538,3230,786,P2,p2_block_ratio,"P2 block ratio 3.372 creel-trips per CRC-salmon (block_year, 10 donor area(s) [794|802|804|826|830|844|850|852|860|872]) x CRC harvest 3230. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",3.3718791892475353
PugetSound,Nooksack,2022,unknown,unknown,13396.899480403976,2507,794,P2,p2_block_ratio,"P2 block ratio 5.344 creel-trips per CRC-salmon (block_year, 9 donor area(s) [786|802|804|826|830|850|852|860|872]) x CRC harvest 2507. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",5.343797160113273
