fishery_name,combined_type,n,total,prop
Baker summer sockeye 2022,Guided-Bank,0,566,0
Baker summer sockeye 2022,Guided-Boat,9,566,0.015901060070671377
Baker summer sockeye 2022,Unguided-Bank,4,566,0.007067137809187279
Baker summer sockeye 2022,Unguided-Boat,553,566,0.9770318021201413
Baker summer sockeye 2023,Guided-Bank,0,484,0
Baker summer sockeye 2023,Guided-Boat,9,484,0.01859504132231405
Baker summer sockeye 2023,Unguided-Bank,9,484,0.01859504132231405
Baker summer sockeye 2023,Unguided-Boat,466,484,0.9628099173553719
Cascade fall salmon 2021,Guided-Bank,0,106,0
Cascade fall salmon 2021,Guided-Boat,0,106,0
Cascade fall salmon 2021,Unguided-Bank,106,106,1
Cascade fall salmon 2021,Unguided-Boat,0,106,0
Cascade fall salmon 2022,Guided-Bank,0,182,0
Cascade fall salmon 2022,Guided-Boat,0,182,0
Cascade fall salmon 2022,Unguided-Bank,182,182,1
Cascade fall salmon 2022,Unguided-Boat,0,182,0
Cascade fall salmon 2023,Guided-Bank,1,273,0.003663003663003663
Cascade fall salmon 2023,Guided-Boat,0,273,0
Cascade fall salmon 2023,Unguided-Bank,272,273,0.99633699633699635
Cascade fall salmon 2023,Unguided-Boat,0,273,0
Cascade fall salmon 2024,Guided-Bank,0,200,0
Cascade fall salmon 2024,Guided-Boat,0,200,0
Cascade fall salmon 2024,Unguided-Bank,200,200,1
Cascade fall salmon 2024,Unguided-Boat,0,200,0
Cascade spring Chinook 2022,Guided-Bank,0,409,0
Cascade spring Chinook 2022,Guided-Boat,0,409,0
Cascade spring Chinook 2022,Unguided-Bank,409,409,1
Cascade spring Chinook 2022,Unguided-Boat,0,409,0
Cascade spring Chinook 2023,Guided-Bank,0,158,0
Cascade spring Chinook 2023,Guided-Boat,0,158,0
Cascade spring Chinook 2023,Unguided-Bank,158,158,1
Cascade spring Chinook 2023,Unguided-Boat,0,158,0
Cascade spring Chinook 2024,Guided-Bank,0,154,0
Cascade spring Chinook 2024,Guided-Boat,0,154,0
Cascade spring Chinook 2024,Unguided-Bank,154,154,1
Cascade spring Chinook 2024,Unguided-Boat,0,154,0
Cascade winter gamefish 2021-22,Guided-Bank,0,15,0
Cascade winter gamefish 2021-22,Guided-Boat,0,15,0
Cascade winter gamefish 2021-22,Unguided-Bank,15,15,1
Cascade winter gamefish 2021-22,Unguided-Boat,0,15,0
Cascade winter gamefish 2023,Guided-Bank,0,7,0
Cascade winter gamefish 2023,Guided-Boat,0,7,0
Cascade winter gamefish 2023,Unguided-Bank,7,7,1
Cascade winter gamefish 2023,Unguided-Boat,0,7,0
Chehalis salmon 2022,Guided-Bank,0,883,0
Chehalis salmon 2022,Guided-Boat,90,883,0.10192525481313704
Chehalis salmon 2022,Unguided-Bank,94,883,0.10645526613816535
Chehalis salmon 2022,Unguided-Boat,699,883,0.7916194790486977
Chehalis salmon 2024,Guided-Bank,0,1341,0
Chehalis salmon 2024,Guided-Boat,54,1341,0.040268456375838924
Chehalis salmon 2024,Unguided-Bank,448,1341,0.3340790454884415
Chehalis salmon 2024,Unguided-Boat,839,1341,0.6256524981357197
Chehalis salmon 2025,Guided-Bank,1,1355,7.380073800738007e-4
Chehalis salmon 2025,Guided-Boat,77,1355,0.05682656826568266
Chehalis salmon 2025,Unguided-Bank,338,1355,0.24944649446494466
Chehalis salmon 2025,Unguided-Boat,939,1355,0.6929889298892989
Chehalis winter steelhead 2024-25,Guided-Bank,0,377,0
Chehalis winter steelhead 2024-25,Guided-Boat,14,377,0.03713527851458886
Chehalis winter steelhead 2024-25,Unguided-Bank,159,377,0.4217506631299735
Chehalis winter steelhead 2024-25,Unguided-Boat,204,377,0.5411140583554377
Chehalis winter steelhead 2025-26,Guided-Bank,0,57,0
Chehalis winter steelhead 2025-26,Guided-Boat,3,57,0.05263157894736842
Chehalis winter steelhead 2025-26,Unguided-Bank,11,57,0.19298245614035087
Chehalis winter steelhead 2025-26,Unguided-Boat,43,57,0.7543859649122807
Drano Lake salmon and steelhead 2023,Guided-Bank,0,979,0
Drano Lake salmon and steelhead 2023,Guided-Boat,118,979,0.1205311542390194
Drano Lake salmon and steelhead 2023,Unguided-Bank,101,979,0.10316649642492338
Drano Lake salmon and steelhead 2023,Unguided-Boat,760,979,0.7763023493360572
Drano Lake salmon and steelhead 2024,Guided-Bank,1,1010,9.900990099009901e-4
Drano Lake salmon and steelhead 2024,Guided-Boat,119,1010,0.11782178217821782
Drano Lake salmon and steelhead 2024,Unguided-Bank,155,1010,0.15346534653465346
Drano Lake salmon and steelhead 2024,Unguided-Boat,735,1010,0.7277227722772277
Drano Lake salmon and steelhead 2025,Guided-Bank,0,966,0
Drano Lake salmon and steelhead 2025,Guided-Boat,122,966,0.12629399585921325
Drano Lake salmon and steelhead 2025,Unguided-Bank,249,966,0.2577639751552795
Drano Lake salmon and steelhead 2025,Unguided-Boat,595,966,0.6159420289855072
Drano Lake salmon and steelhead 2026,Guided-Bank,0,70,0
Drano Lake salmon and steelhead 2026,Guided-Boat,0,70,0
Drano Lake salmon and steelhead 2026,Unguided-Bank,16,70,0.22857142857142856
Drano Lake salmon and steelhead 2026,Unguided-Boat,54,70,0.7714285714285715
Drano Lake spring Chinook 2026,Guided-Bank,0,833,0
Drano Lake spring Chinook 2026,Guided-Boat,145,833,0.17406962785114047
Drano Lake spring Chinook 2026,Unguided-Bank,174,833,0.20888355342136855
Drano Lake spring Chinook 2026,Unguided-Boat,514,833,0.617046818727491
Hoh fall salmon 2023,Guided-Bank,2,62,0.03225806451612903
Hoh fall salmon 2023,Guided-Boat,10,62,0.16129032258064516
Hoh fall salmon 2023,Unguided-Bank,40,62,0.6451612903225806
Hoh fall salmon 2023,Unguided-Boat,10,62,0.16129032258064516
Hoh fall salmon 2025,Guided-Bank,0,214,0
Hoh fall salmon 2025,Guided-Boat,50,214,0.2336448598130841
Hoh fall salmon 2025,Unguided-Bank,113,214,0.5280373831775701
Hoh fall salmon 2025,Unguided-Boat,51,214,0.2383177570093458
Hoh winter steelhead 2022-23,Guided-Bank,175,666,0.2627627627627628
Hoh winter steelhead 2022-23,Guided-Boat,6,666,0.009009009009009009
Hoh winter steelhead 2022-23,Unguided-Bank,480,666,0.7207207207207207
Hoh winter steelhead 2022-23,Unguided-Boat,5,666,0.0075075075075075074
Hoh winter steelhead 2023-24,Guided-Bank,105,756,0.1388888888888889
Hoh winter steelhead 2023-24,Guided-Boat,115,756,0.15211640211640212
Hoh winter steelhead 2023-24,Unguided-Bank,436,756,0.5767195767195767
Hoh winter steelhead 2023-24,Unguided-Boat,100,756,0.13227513227513227
Hoh winter steelhead 2024-25,Guided-Bank,73,553,0.13200723327305605
Hoh winter steelhead 2024-25,Guided-Boat,115,553,0.20795660036166366
Hoh winter steelhead 2024-25,Unguided-Bank,265,553,0.47920433996383366
Hoh winter steelhead 2024-25,Unguided-Boat,100,553,0.18083182640144665
Hoh winter steelhead 2025-26,Guided-Bank,66,771,0.08560311284046693
Hoh winter steelhead 2025-26,Guided-Boat,183,771,0.23735408560311283
Hoh winter steelhead 2025-26,Unguided-Bank,395,771,0.5123216601815823
Hoh winter steelhead 2025-26,Unguided-Boat,127,771,0.16472114137483787
Humptulips salmon 2020,Guided-Bank,0,845,0
Humptulips salmon 2020,Guided-Boat,153,845,0.18106508875739644
Humptulips salmon 2020,Unguided-Bank,442,845,0.5230769230769231
Humptulips salmon 2020,Unguided-Boat,250,845,0.2958579881656805
Humptulips salmon 2021,Guided-Bank,1,723,0.0013831258644536654
Humptulips salmon 2021,Guided-Boat,94,723,0.13001383125864455
Humptulips salmon 2021,Unguided-Bank,384,723,0.5311203319502075
Humptulips salmon 2021,Unguided-Boat,244,723,0.33748271092669435
Humptulips salmon 2022,Guided-Bank,1,669,0.0014947683109118087
Humptulips salmon 2022,Guided-Boat,50,669,0.07473841554559044
Humptulips salmon 2022,Unguided-Bank,450,669,0.672645739910314
Humptulips salmon 2022,Unguided-Boat,168,669,0.25112107623318386
Humptulips salmon 2023,Guided-Bank,4,868,0.004608294930875576
Humptulips salmon 2023,Guided-Boat,69,868,0.07949308755760369
Humptulips salmon 2023,Unguided-Bank,563,868,0.6486175115207373
Humptulips salmon 2023,Unguided-Boat,232,868,0.2672811059907834
Humptulips salmon 2024,Guided-Bank,3,901,0.003329633740288568
Humptulips salmon 2024,Guided-Boat,64,901,0.07103218645948946
Humptulips salmon 2024,Unguided-Bank,644,901,0.7147613762486127
Humptulips salmon 2024,Unguided-Boat,190,901,0.21087680355160932
Humptulips salmon 2025,Guided-Bank,2,910,0.002197802197802198
Humptulips salmon 2025,Guided-Boat,40,910,0.04395604395604396
Humptulips salmon 2025,Unguided-Bank,691,910,0.7593406593406593
Humptulips salmon 2025,Unguided-Boat,177,910,0.1945054945054945
Humptulips winter steelhead 2024-25,Guided-Bank,1,365,0.0027397260273972603
Humptulips winter steelhead 2024-25,Guided-Boat,13,365,0.03561643835616438
Humptulips winter steelhead 2024-25,Unguided-Bank,307,365,0.8410958904109589
Humptulips winter steelhead 2024-25,Unguided-Boat,44,365,0.12054794520547946
Humptulips winter steelhead 2025-26,Guided-Bank,1,535,0.001869158878504673
Humptulips winter steelhead 2025-26,Guided-Boat,16,535,0.029906542056074768
Humptulips winter steelhead 2025-26,Unguided-Bank,454,535,0.8485981308411215
Humptulips winter steelhead 2025-26,Unguided-Boat,64,535,0.11962616822429907
Lower Chehalis salmon 2023,Guided-Bank,0,743,0
Lower Chehalis salmon 2023,Guided-Boat,9,743,0.012113055181695828
Lower Chehalis salmon 2023,Unguided-Bank,227,743,0.30551816958277256
Lower Chehalis salmon 2023,Unguided-Boat,507,743,0.6823687752355316
Lower Cowlitz salmon and steelhead 2022-23,Guided-Bank,0,309,0
Lower Cowlitz salmon and steelhead 2022-23,Guided-Boat,119,309,0.3851132686084142
Lower Cowlitz salmon and steelhead 2022-23,Unguided-Bank,26,309,0.08414239482200647
Lower Cowlitz salmon and steelhead 2022-23,Unguided-Boat,164,309,0.5307443365695793
Lower Cowlitz salmon and steelhead 2023-24,Guided-Bank,4,1816,0.0022026431718061676
Lower Cowlitz salmon and steelhead 2023-24,Guided-Boat,259,1816,0.14262114537444934
Lower Cowlitz salmon and steelhead 2023-24,Unguided-Bank,1341,1816,0.7384361233480177
Lower Cowlitz salmon and steelhead 2023-24,Unguided-Boat,212,1816,0.11674008810572688
Naselle winter steelhead 2022,Guided-Bank,0,166,0
Naselle winter steelhead 2022,Guided-Boat,2,166,0.012048192771084338
Naselle winter steelhead 2022,Unguided-Bank,162,166,0.9759036144578314
