fishery_name,week,combined_type,hours,total_hours,prop
Baker summer sockeye 2022,2022-07-10,Guided-Bank,0,1403.7,0
Baker summer sockeye 2022,2022-07-10,Guided-Boat,70.55,1403.7,0.05026002707131153
Baker summer sockeye 2022,2022-07-10,Unguided-Bank,11.166666666666668,1403.7,0.007955166108617701
Baker summer sockeye 2022,2022-07-10,Unguided-Boat,1321.9833333333333,1403.7,0.9417848068200707
Baker summer sockeye 2022,2022-07-17,Guided-Bank,0,2054.883333333333,0
Baker summer sockeye 2022,2022-07-17,Guided-Boat,77.33333333333334,2054.883333333333,0.0376339289335161
Baker summer sockeye 2022,2022-07-17,Unguided-Bank,0,2054.883333333333,0
Baker summer sockeye 2022,2022-07-17,Unguided-Boat,1977.55,2054.883333333333,0.962366071066484
Baker summer sockeye 2022,2022-07-24,Guided-Bank,0,907.4499999999999,0
Baker summer sockeye 2022,2022-07-24,Guided-Boat,14.166666666666666,907.4499999999999,0.015611512112696752
Baker summer sockeye 2022,2022-07-24,Unguided-Bank,0,907.4499999999999,0
Baker summer sockeye 2022,2022-07-24,Unguided-Boat,893.2833333333333,907.4499999999999,0.9843884878873033
Baker summer sockeye 2022,2022-07-31,Guided-Bank,0,1162.3666666666668,0
Baker summer sockeye 2022,2022-07-31,Guided-Boat,19.900000000000002,1162.3666666666668,0.017120243182013706
Baker summer sockeye 2022,2022-07-31,Unguided-Bank,0,1162.3666666666668,0
Baker summer sockeye 2022,2022-07-31,Unguided-Boat,1142.4666666666667,1162.3666666666668,0.9828797568179862
Baker summer sockeye 2022,2022-08-07,Guided-Bank,0,818.1166666666667,0
Baker summer sockeye 2022,2022-08-07,Guided-Boat,0,818.1166666666667,0
Baker summer sockeye 2022,2022-08-07,Unguided-Bank,0,818.1166666666667,0
Baker summer sockeye 2022,2022-08-07,Unguided-Boat,818.1166666666667,818.1166666666667,1
Baker summer sockeye 2022,2022-08-14,Guided-Bank,0,575.6666666666666,0
Baker summer sockeye 2022,2022-08-14,Guided-Boat,62.78333333333333,575.6666666666666,0.10906195715112912
Baker summer sockeye 2022,2022-08-14,Unguided-Bank,0,575.6666666666666,0
Baker summer sockeye 2022,2022-08-14,Unguided-Boat,512.8833333333333,575.6666666666666,0.8909380428488709
Baker summer sockeye 2022,2022-08-21,Guided-Bank,0,224.05,0
Baker summer sockeye 2022,2022-08-21,Guided-Boat,0,224.05,0
Baker summer sockeye 2022,2022-08-21,Unguided-Bank,14.8,224.05,0.06605668377594287
Baker summer sockeye 2022,2022-08-21,Unguided-Boat,209.25,224.05,0.9339433162240571
Baker summer sockeye 2022,2022-08-28,Guided-Bank,0,52.9,0
Baker summer sockeye 2022,2022-08-28,Guided-Boat,0,52.9,0
Baker summer sockeye 2022,2022-08-28,Unguided-Bank,3.7666666666666666,52.9,0.07120352867044738
Baker summer sockeye 2022,2022-08-28,Unguided-Boat,49.13333333333333,52.9,0.9287964713295527
Baker summer sockeye 2023,2023-07-16,Guided-Bank,0,2643.083333333333,0
Baker summer sockeye 2023,2023-07-16,Guided-Boat,64.25,2643.083333333333,0.024308730333890347
Baker summer sockeye 2023,2023-07-16,Unguided-Bank,71.95,2643.083333333333,0.027221994513983043
Baker summer sockeye 2023,2023-07-16,Unguided-Boat,2506.883333333333,2643.083333333333,0.9484692751521266
Baker summer sockeye 2023,2023-07-23,Guided-Bank,0,1319.1499999999999,0
Baker summer sockeye 2023,2023-07-23,Guided-Boat,36,1319.1499999999999,0.02729030057233825
Baker summer sockeye 2023,2023-07-23,Unguided-Bank,15.566666666666666,1319.1499999999999,0.011800528117853669
Baker summer sockeye 2023,2023-07-23,Unguided-Boat,1267.5833333333333,1319.1499999999999,0.9609091713098081
Baker summer sockeye 2023,2023-07-30,Guided-Bank,0,1011.6166666666667,0
Baker summer sockeye 2023,2023-07-30,Guided-Boat,27.366666666666667,1011.6166666666667,0.027052407862003063
Baker summer sockeye 2023,2023-07-30,Unguided-Bank,0,1011.6166666666667,0
Baker summer sockeye 2023,2023-07-30,Unguided-Boat,984.25,1011.6166666666667,0.972947592137997
Baker summer sockeye 2023,2023-08-06,Guided-Bank,0,806.0166666666667,0
Baker summer sockeye 2023,2023-08-06,Guided-Boat,79.36666666666667,806.0166666666667,0.09846777361923865
Baker summer sockeye 2023,2023-08-06,Unguided-Bank,0,806.0166666666667,0
Baker summer sockeye 2023,2023-08-06,Unguided-Boat,726.65,806.0166666666667,0.9015322263807614
Baker summer sockeye 2023,2023-08-13,Guided-Bank,0,131.76666666666665,0
Baker summer sockeye 2023,2023-08-13,Guided-Boat,0,131.76666666666665,0
Baker summer sockeye 2023,2023-08-13,Unguided-Bank,17.166666666666668,131.76666666666665,0.13028079939286621
Baker summer sockeye 2023,2023-08-13,Unguided-Boat,114.6,131.76666666666665,0.8697192006071339
Cascade fall salmon 2021,2021-09-19,Guided-Bank,0,26.55,0
Cascade fall salmon 2021,2021-09-19,Guided-Boat,0,26.55,0
Cascade fall salmon 2021,2021-09-19,Unguided-Bank,26.55,26.55,1
Cascade fall salmon 2021,2021-09-19,Unguided-Boat,0,26.55,0
Cascade fall salmon 2021,2021-09-26,Guided-Bank,0,69.58333333333333,0
Cascade fall salmon 2021,2021-09-26,Guided-Boat,0,69.58333333333333,0
Cascade fall salmon 2021,2021-09-26,Unguided-Bank,69.58333333333333,69.58333333333333,1
Cascade fall salmon 2021,2021-09-26,Unguided-Boat,0,69.58333333333333,0
Cascade fall salmon 2021,2021-10-03,Guided-Bank,0,67.78333333333333,0
Cascade fall salmon 2021,2021-10-03,Guided-Boat,0,67.78333333333333,0
Cascade fall salmon 2021,2021-10-03,Unguided-Bank,67.78333333333333,67.78333333333333,1
Cascade fall salmon 2021,2021-10-03,Unguided-Boat,0,67.78333333333333,0
Cascade fall salmon 2021,2021-10-10,Guided-Bank,0,87.06666666666666,0
Cascade fall salmon 2021,2021-10-10,Guided-Boat,0,87.06666666666666,0
Cascade fall salmon 2021,2021-10-10,Unguided-Bank,87.06666666666666,87.06666666666666,1
Cascade fall salmon 2021,2021-10-10,Unguided-Boat,0,87.06666666666666,0
Cascade fall salmon 2021,2021-10-17,Guided-Bank,0,81.23333333333333,0
Cascade fall salmon 2021,2021-10-17,Guided-Boat,0,81.23333333333333,0
Cascade fall salmon 2021,2021-10-17,Unguided-Bank,81.23333333333333,81.23333333333333,1
Cascade fall salmon 2021,2021-10-17,Unguided-Boat,0,81.23333333333333,0
Cascade fall salmon 2021,2021-10-24,Guided-Bank,0,26.366666666666667,0
Cascade fall salmon 2021,2021-10-24,Guided-Boat,0,26.366666666666667,0
Cascade fall salmon 2021,2021-10-24,Unguided-Bank,26.366666666666667,26.366666666666667,1
Cascade fall salmon 2021,2021-10-24,Unguided-Boat,0,26.366666666666667,0
Cascade fall salmon 2021,2021-10-31,Guided-Bank,0,70.6,0
Cascade fall salmon 2021,2021-10-31,Guided-Boat,0,70.6,0
Cascade fall salmon 2021,2021-10-31,Unguided-Bank,70.6,70.6,1
Cascade fall salmon 2021,2021-10-31,Unguided-Boat,0,70.6,0
Cascade fall salmon 2021,2021-11-07,Guided-Bank,0,24.583333333333336,0
Cascade fall salmon 2021,2021-11-07,Guided-Boat,0,24.583333333333336,0
Cascade fall salmon 2021,2021-11-07,Unguided-Bank,24.583333333333336,24.583333333333336,1
Cascade fall salmon 2021,2021-11-07,Unguided-Boat,0,24.583333333333336,0
Cascade fall salmon 2021,2021-11-14,Guided-Bank,0,18.233333333333334,0
Cascade fall salmon 2021,2021-11-14,Guided-Boat,0,18.233333333333334,0
Cascade fall salmon 2021,2021-11-14,Unguided-Bank,18.233333333333334,18.233333333333334,1
Cascade fall salmon 2021,2021-11-14,Unguided-Boat,0,18.233333333333334,0
Cascade fall salmon 2021,2021-11-21,Guided-Bank,0,21.900000000000002,0
Cascade fall salmon 2021,2021-11-21,Guided-Boat,0,21.900000000000002,0
Cascade fall salmon 2021,2021-11-21,Unguided-Bank,21.900000000000002,21.900000000000002,1
Cascade fall salmon 2021,2021-11-21,Unguided-Boat,0,21.900000000000002,0
Cascade fall salmon 2021,2021-11-28,Guided-Bank,0,1.8833333333333333,0
Cascade fall salmon 2021,2021-11-28,Guided-Boat,0,1.8833333333333333,0
Cascade fall salmon 2021,2021-11-28,Unguided-Bank,1.8833333333333333,1.8833333333333333,1
Cascade fall salmon 2021,2021-11-28,Unguided-Boat,0,1.8833333333333333,0
Cascade fall salmon 2022,2022-09-18,Guided-Bank,0,47,0
Cascade fall salmon 2022,2022-09-18,Guided-Boat,0,47,0
Cascade fall salmon 2022,2022-09-18,Unguided-Bank,47,47,1
Cascade fall salmon 2022,2022-09-18,Unguided-Boat,0,47,0
Cascade fall salmon 2022,2022-09-25,Guided-Bank,0,152.56666666666666,0
Cascade fall salmon 2022,2022-09-25,Guided-Boat,0,152.56666666666666,0
Cascade fall salmon 2022,2022-09-25,Unguided-Bank,152.56666666666666,152.56666666666666,1
Cascade fall salmon 2022,2022-09-25,Unguided-Boat,0,152.56666666666666,0
Cascade fall salmon 2022,2022-10-02,Guided-Bank,0,232.31666666666666,0
Cascade fall salmon 2022,2022-10-02,Guided-Boat,0,232.31666666666666,0
Cascade fall salmon 2022,2022-10-02,Unguided-Bank,232.31666666666666,232.31666666666666,1
Cascade fall salmon 2022,2022-10-02,Unguided-Boat,0,232.31666666666666,0
Cascade fall salmon 2022,2022-10-09,Guided-Bank,0,202.75,0
Cascade fall salmon 2022,2022-10-09,Guided-Boat,0,202.75,0
Cascade fall salmon 2022,2022-10-09,Unguided-Bank,202.75,202.75,1
Cascade fall salmon 2022,2022-10-09,Unguided-Boat,0,202.75,0
Cascade fall salmon 2022,2022-10-16,Guided-Bank,0,157.35,0
Cascade fall salmon 2022,2022-10-16,Guided-Boat,0,157.35,0
Cascade fall salmon 2022,2022-10-16,Unguided-Bank,157.35,157.35,1
Cascade fall salmon 2022,2022-10-16,Unguided-Boat,0,157.35,0
Cascade fall salmon 2022,2022-10-23,Guided-Bank,0,58.766666666666666,0
Cascade fall salmon 2022,2022-10-23,Guided-Boat,0,58.766666666666666,0
Cascade fall salmon 2022,2022-10-23,Unguided-Bank,58.766666666666666,58.766666666666666,1
Cascade fall salmon 2022,2022-10-23,Unguided-Boat,0,58.766666666666666,0
Cascade fall salmon 2022,2022-10-30,Guided-Bank,0,131.06666666666666,0
Cascade fall salmon 2022,2022-10-30,Guided-Boat,0,131.06666666666666,0
Cascade fall salmon 2022,2022-10-30,Unguided-Bank,131.06666666666666,131.06666666666666,1
Cascade fall salmon 2022,2022-10-30,Unguided-Boat,0,131.06666666666666,0
Cascade fall salmon 2022,2022-11-06,Guided-Bank,0,88.63333333333333,0
Cascade fall salmon 2022,2022-11-06,Guided-Boat,0,88.63333333333333,0
Cascade fall salmon 2022,2022-11-06,Unguided-Bank,88.63333333333333,88.63333333333333,1
Cascade fall salmon 2022,2022-11-06,Unguided-Boat,0,88.63333333333333,0
Cascade fall salmon 2022,2022-11-13,Guided-Bank,0,75.78333333333333,0
Cascade fall salmon 2022,2022-11-13,Guided-Boat,0,75.78333333333333,0
Cascade fall salmon 2022,2022-11-13,Unguided-Bank,75.78333333333333,75.78333333333333,1
Cascade fall salmon 2022,2022-11-13,Unguided-Boat,0,75.78333333333333,0
Cascade fall salmon 2022,2022-11-20,Guided-Bank,0,6.766666666666667,0
Cascade fall salmon 2022,2022-11-20,Guided-Boat,0,6.766666666666667,0
Cascade fall salmon 2022,2022-11-20,Unguided-Bank,6.766666666666667,6.766666666666667,1
Cascade fall salmon 2022,2022-11-20,Unguided-Boat,0,6.766666666666667,0
Cascade fall salmon 2022,2022-11-27,Guided-Bank,0,16.733333333333334,0
Cascade fall salmon 2022,2022-11-27,Guided-Boat,0,16.733333333333334,0
Cascade fall salmon 2022,2022-11-27,Unguided-Bank,16.733333333333334,16.733333333333334,1
Cascade fall salmon 2022,2022-11-27,Unguided-Boat,0,16.733333333333334,0
Cascade fall salmon 2023,2023-09-10,Guided-Bank,0,27.96666666666667,0
Cascade fall salmon 2023,2023-09-10,Guided-Boat,0,27.96666666666667,0
Cascade fall salmon 2023,2023-09-10,Unguided-Bank,27.96666666666667,27.96666666666667,1
Cascade fall salmon 2023,2023-09-10,Unguided-Boat,0,27.96666666666667,0
Cascade fall salmon 2023,2023-09-17,Guided-Bank,0,34.86666666666667,0
Cascade fall salmon 2023,2023-09-17,Guided-Boat,0,34.86666666666667,0
Cascade fall salmon 2023,2023-09-17,Unguided-Bank,34.86666666666667,34.86666666666667,1
Cascade fall salmon 2023,2023-09-17,Unguided-Boat,0,34.86666666666667,0
Cascade fall salmon 2023,2023-09-24,Guided-Bank,0,316.53333333333336,0
Cascade fall salmon 2023,2023-09-24,Guided-Boat,0,316.53333333333336,0
