category,scale,mean_prop,sd_prop,cv,min_prop,max_prop,n_units
Guided-Bank,Fishery (overall),0.021403907200565984,0.09709936847634831,4.536525390737104,0,1,123
Guided-Bank,Monthly,0.015852198723812584,0.06648112816901323,4.193811175805395,0,1,354
Guided-Bank,Weekly,0.01543400305670494,0.058138615209954364,3.7669174352468078,0,1,1320
Guided-Boat,Fishery (overall),0.08251097937980106,0.15410473803439176,1.8676876603905281,0,1,123
Guided-Boat,Monthly,0.08577218967723889,0.16150138488287658,1.8829108303123305,0,1,354
Guided-Boat,Weekly,0.08276664250441867,0.1618462262072744,1.9554523574957616,0,1,1320
Unguided-Bank,Fishery (overall),0.6310879104311774,0.28352200069744354,0.44925912224135806,0,1,123
Unguided-Bank,Monthly,0.6301629866909872,0.3034310182795137,0.4815119654564971,0,1,354
Unguided-Bank,Weekly,0.637055210348404,0.31131172413187264,0.4886730680086848,0,1,1320
Unguided-Boat,Fishery (overall),0.2649972029884555,0.23272983719640902,0.8782350703020355,0,1,123
Unguided-Boat,Monthly,0.2682126249079613,0.2548494068015085,0.9501767744488597,0,1,354
Unguided-Boat,Weekly,0.2647441440904725,0.26592503495676434,1.0044604985328336,0,1,1320
