category,scale,mean_prop,sd_prop,cv,min_prop,max_prop,n_units
Guided-Bank,Fishery (overall),0.025644803938247928,0.10254361437263369,3.9986117507295535,0,1,123
Guided-Bank,Monthly,0.020318596427195617,0.07522590733757202,3.7023181009139585,0,1,354
Guided-Bank,Weekly,0.02039522331765012,0.07546416825955729,3.7000903144929165,0,1,1319
Guided-Boat,Fishery (overall),0.13321637855270285,0.18399091178765276,1.3811433232653338,0,1,123
Guided-Boat,Monthly,0.13873903360638956,0.19736617490937558,1.4225713541389837,0,1,354
Guided-Boat,Weekly,0.1313282604073315,0.20638741480972086,1.5715384805188444,0,1,1319
Unguided-Bank,Fishery (overall),0.4797401457014095,0.3072371243255088,0.6404240443048795,0,1,123
Unguided-Bank,Monthly,0.4918353028358649,0.33008541108486145,0.6711299680637554,0,1,354
Unguided-Bank,Weekly,0.5056248160333918,0.34604034804788625,0.6843816542917338,0,1,1319
Unguided-Boat,Fishery (overall),0.36139867180763974,0.2535931850352257,0.7016992723487505,0,1,123
Unguided-Boat,Monthly,0.3491070671305499,0.27577839720314834,0.7899536364871697,0,1,354
Unguided-Boat,Weekly,0.34265170024162656,0.2955121567207828,0.8624272300776488,0,1,1319
