license_year,region,system,stream,stream_code,species,calendar_year,calendar_month,harvest_count
2010,Coastal,Grays Harbor,Elk River,342,Coho,2010,4,0
2010,Coastal,Grays Harbor,Elk River,342,Coho,2010,5,0
2010,Coastal,Grays Harbor,Elk River,342,Coho,2010,6,0
2010,Coastal,Grays Harbor,Elk River,342,Coho,2010,7,0
2010,Coastal,Grays Harbor,Elk River,342,Coho,2010,8,0
2010,Coastal,Grays Harbor,Elk River,342,Coho,2010,9,0
2010,Coastal,Grays Harbor,Elk River,342,Coho,2010,10,24
2010,Coastal,Grays Harbor,Elk River,342,Coho,2010,11,6
2010,Coastal,Grays Harbor,Elk River,342,Coho,2010,12,0
2010,Coastal,Grays Harbor,Elk River,342,Coho,2011,1,0
2010,Coastal,Grays Harbor,Elk River,342,Coho,2011,2,0
2010,Coastal,Grays Harbor,Elk River,342,Coho,2011,3,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Chinook,2010,4,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Chinook,2010,5,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Chinook,2010,6,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Chinook,2010,7,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Chinook,2010,8,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Chinook,2010,9,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Chinook,2010,10,6
2010,Coastal,Grays Harbor,Hoquiam River,355,Chinook,2010,11,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Chinook,2010,12,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Chinook,2011,1,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Chinook,2011,2,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Chinook,2011,3,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Coho,2010,4,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Coho,2010,5,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Coho,2010,6,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Coho,2010,7,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Coho,2010,8,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Coho,2010,9,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Coho,2010,10,6
2010,Coastal,Grays Harbor,Hoquiam River,355,Coho,2010,11,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Coho,2010,12,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Coho,2011,1,0
2010,Coastal,Grays Harbor,Hoquiam River,355,Coho,2011,2,0
