"fishery_name","year","month","crc_area","angler_final","total_effort_hrs","n_completed_angler_trips","mean_trip_length","mean_group_size","sd","total_trips_est","pe_period","total_salmon_harvest","harvest_expansion","data_provider","district"
"Hanford Reach fall Chinook 2022",2022,8,NA,"boat",8255.90038707992,649.714285714286,3.91800137374798,2.20494077231074,NA,2107.17138651288,"week",580.718492202775,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2022",2022,9,NA,"boat",95975.4734115489,5260.28571428571,5.80202346860263,2.80087724071329,NA,16541.7244399157,"week",6261.23678936223,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2022",2022,10,NA,"boat",53467.6992187772,3083.14285714286,5.77983331577361,2.91117166702832,NA,9250.7337664669,"week",4489.24332261707,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2022",2022,11,NA,"boat",1044.80001604178,140.857142857143,2.82921857988447,11.2201168638889,NA,369.289253036238,"week",131.275779237229,"expanded","Todd Miller / R-district weekly summary","R3"
"Yakima fall salmon 2022",2022,9,690,"bank",7493.39345238095,437.142857142857,2.17416864851142,NA,NA,3446.55574787697,"week",897.244699976621,"expanded","Todd Miller / R-district weekly summary","R3"
"Yakima fall salmon 2022",2022,10,690,"bank",9558.69654761905,571.857142857143,2.14499447782817,NA,NA,4456.28025919085,"week",2010.06559192547,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2023",2023,8,NA,"boat",3558.37558072898,222.571428571429,4.32574126450975,2.54577036081497,NA,822.604812248812,"week",108.723175523712,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2023",2023,9,NA,"boat",79132.6596463042,5124.71428571429,5.08674480511073,2.89972692298417,NA,15556.6403816441,"week",5179.64249459698,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2023",2023,10,NA,"boat",44114.8277971131,3629,4.28968870161924,3.42847267781216,NA,10283.9228824369,"week",5697.65432462859,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2023",2023,11,NA,"boat",2188.15029846739,334.571428571429,3.06602288927205,14.2341471089347,NA,713.677091623707,"week",102.924261789761,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2023",2023,12,NA,"boat",639.920226946468,200.142857142857,2.34149950200268,15.45566634846,NA,273.29505148267,"week",16.15275145941,"expanded","Todd Miller / R-district weekly summary","R3"
"Yakima fall salmon 2023",2023,9,690,"bank",1826.74571428571,854.571428571429,NA,NA,NA,NA,"week",112,"sampled","Todd Miller / R-district weekly summary","R3"
"Yakima fall salmon 2023",2023,10,690,"bank",2566.39428571429,1271.42857142857,NA,NA,NA,NA,"week",314,"sampled","Todd Miller / R-district weekly summary","R3"
