fishery_name,n_total,n_guided,n_unguided,n_guide_unknown,n_bank,n_boat,n_type_unknown,n_guided_bank,n_guided_boat,n_unguided_bank,n_unguided_boat,n_combined_unknown,pct_classifiable,mean_hours,median_hours,total_hours,year_min,year_max,n_years,years_span,guide_ratio,type_ratio
Nisqually salmon 2021,3497,0,0,3497,3449,48,0,0,0,0,0,3497,0,4.35,3.33,14264.7,2021,2021,1,2021-2021 (1 yrs),0:0,3449:48
Puyallup_Carbon salmon 2023,2853,0,0,2853,2800,0,53,0,0,0,0,2853,0,5.29,3.87,15047.6,2023,2023,1,2023-2023 (1 yrs),0:0,2800:0
Skagit fall salmon 2023,2730,48,2629,53,1740,990,0,5,43,1687,942,53,98.1,6.43,4.12,17545,2023,2023,1,2023-2023 (1 yrs),48:2629,1740:990
Skagit fall salmon 2025,2673,71,2562,40,1908,765,0,10,61,1863,699,40,98.5,6.63,4.13,17648.9,2025,2025,1,2025-2025 (1 yrs),71:2562,1908:765
Snohomish fall salmon 2023,2549,13,0,2536,1374,1175,0,0,13,0,0,2536,0.5,7.13,5.27,18168.3,2023,2023,1,2023-2023 (1 yrs),13:0,1374:1175
Puyallup Carbon salmon 2025,2413,0,0,2413,2413,0,0,0,0,0,0,2413,0,4.79,3.48,11557.3,2025,2025,1,2025-2025 (1 yrs),0:0,2413:0
Nisqually salmon 2022,2370,0,0,2370,2304,66,0,0,0,0,0,2370,0,4.52,3.35,10686.5,2022,2022,1,2022-2022 (1 yrs),0:0,2304:66
Puyallup Carbon salmon 2024,2151,0,1,2150,2150,1,0,0,0,0,1,2150,0,4.78,3.57,10276.4,2024,2024,1,2024-2024 (1 yrs),0:1,2150:1
Nisqually salmon 2023,2139,0,0,2139,2082,57,0,0,0,0,0,2139,0,4.49,3.28,9584.7,2023,2023,1,2023-2023 (1 yrs),0:0,2082:57
Puyallup_Carbon salmon 2022,2068,0,0,2068,2068,0,0,0,0,0,0,2068,0,4.97,3.5,10288.1,2022,2022,1,2022-2022 (1 yrs),0:0,2068:0
Lower Cowlitz salmon and steelhead 2023-24,1882,263,1553,66,1409,473,0,4,259,1341,212,66,96.5,9.52,5.35,17742.8,2023,2024,2,2023-2024 (2 yrs),263:1553,1409:473
Skagit winter steelhead 2021,1860,133,1727,0,909,951,0,5,128,904,823,0,100,9.24,7.2,17158,2021,2021,1,2021-2021 (1 yrs),133:1727,909:951
Skagit fall salmon 2024,1811,33,1746,32,1091,720,0,4,29,1065,681,32,98.2,6.17,4.07,11148.7,2024,2024,1,2024-2024 (1 yrs),33:1746,1091:720
Skagit fall salmon 2022,1694,51,1622,21,707,987,0,2,49,700,922,21,98.8,8.34,6.12,14102.3,2022,2022,1,2022-2022 (1 yrs),51:1622,707:987
Snohomish fall salmon 2024,1513,5,0,1508,835,678,0,0,5,0,0,1508,0.3,6.16,4.02,9327.3,2024,2024,1,2024-2024 (1 yrs),5:0,835:678
Chehalis salmon 2024,1361,54,1287,20,453,908,0,0,54,448,839,20,98.5,8.59,6.77,11684.9,2024,2024,1,2024-2024 (1 yrs),54:1287,453:908
