fishery_name,month,guided_status,n,total,prop
Baker summer sockeye 2022,2022-07-01,Guided,5,345,0.014492753623188406
Baker summer sockeye 2022,2022-07-01,Unguided,340,345,0.9855072463768116
Baker summer sockeye 2022,2022-08-01,Guided,4,221,0.01809954751131222
Baker summer sockeye 2022,2022-08-01,Unguided,217,221,0.9819004524886877
Baker summer sockeye 2023,2023-07-01,Guided,3,337,0.008902077151335312
Baker summer sockeye 2023,2023-07-01,Unguided,334,337,0.9910979228486647
Baker summer sockeye 2023,2023-08-01,Guided,6,148,0.04054054054054054
Baker summer sockeye 2023,2023-08-01,Unguided,142,148,0.9594594594594594
Cascade fall salmon 2021,2021-09-01,Unguided,13,13,1
Cascade fall salmon 2021,2021-10-01,Unguided,59,59,1
Cascade fall salmon 2021,2021-11-01,Unguided,34,34,1
Cascade fall salmon 2022,2022-09-01,Unguided,19,19,1
Cascade fall salmon 2022,2022-10-01,Unguided,121,121,1
Cascade fall salmon 2022,2022-11-01,Unguided,42,42,1
Cascade fall salmon 2023,2023-09-01,Unguided,42,42,1
Cascade fall salmon 2023,2023-10-01,Guided,1,158,0.006329113924050633
Cascade fall salmon 2023,2023-10-01,Unguided,157,158,0.9936708860759493
Cascade fall salmon 2023,2023-11-01,Unguided,73,73,1
Cascade fall salmon 2024,2024-09-01,Unguided,30,30,1
Cascade fall salmon 2024,2024-10-01,Unguided,135,135,1
Cascade fall salmon 2024,2024-11-01,Unguided,35,35,1
Cascade spring Chinook 2022,2022-06-01,Unguided,305,305,1
Cascade spring Chinook 2022,2022-07-01,Unguided,106,106,1
Cascade spring Chinook 2023,2023-06-01,Unguided,120,120,1
Cascade spring Chinook 2023,2023-07-01,Unguided,38,38,1
Cascade spring Chinook 2024,2024-05-01,Unguided,12,12,1
Cascade spring Chinook 2024,2024-06-01,Unguided,134,134,1
Cascade spring Chinook 2024,2024-07-01,Unguided,8,8,1
Cascade winter gamefish 2021-22,2021-12-01,Unguided,10,10,1
Cascade winter gamefish 2021-22,2022-01-01,Unguided,5,5,1
Cascade winter gamefish 2023,2023-01-01,Unguided,7,7,1
Chehalis salmon 2022,2022-09-01,Guided,12,268,0.04477611940298507
Chehalis salmon 2022,2022-09-01,Unguided,256,268,0.9552238805970149
Chehalis salmon 2022,2022-10-01,Guided,68,531,0.128060263653484
Chehalis salmon 2022,2022-10-01,Unguided,463,531,0.871939736346516
Chehalis salmon 2022,2022-11-01,Guided,10,72,0.1388888888888889
Chehalis salmon 2022,2022-11-01,Unguided,62,72,0.8611111111111112
Chehalis salmon 2022,2022-12-01,Unguided,12,12,1
Chehalis salmon 2024,2024-09-01,Guided,8,419,0.01909307875894988
Chehalis salmon 2024,2024-09-01,Unguided,411,419,0.9809069212410502
Chehalis salmon 2024,2024-10-01,Guided,32,570,0.056140350877192984
Chehalis salmon 2024,2024-10-01,Unguided,538,570,0.9438596491228071
Chehalis salmon 2024,2024-11-01,Guided,12,299,0.04013377926421405
Chehalis salmon 2024,2024-11-01,Unguided,287,299,0.959866220735786
Chehalis salmon 2024,2024-12-01,Guided,2,53,0.03773584905660377
Chehalis salmon 2024,2024-12-01,Unguided,51,53,0.9622641509433962
Chehalis salmon 2025,2025-09-01,Guided,8,443,0.01805869074492099
Chehalis salmon 2025,2025-09-01,Unguided,435,443,0.981941309255079
Chehalis salmon 2025,2025-10-01,Guided,49,600,0.08166666666666667
Chehalis salmon 2025,2025-10-01,Unguided,551,600,0.9183333333333333
Chehalis salmon 2025,2025-11-01,Guided,20,294,0.06802721088435375
Chehalis salmon 2025,2025-11-01,Unguided,274,294,0.9319727891156463
