fishery_name,month,guided_status,hours,total_hours,prop
Baker summer sockeye 2022,2022-07-01,Guided,162.05,4812.75,0.03367097813100618
Baker summer sockeye 2022,2022-07-01,Unguided,4650.7,4812.75,0.9663290218689938
Baker summer sockeye 2022,2022-08-01,Guided,82.68333333333334,2386.383333333333,0.03464796798502616
Baker summer sockeye 2022,2022-08-01,Unguided,2303.7,2386.383333333333,0.9653520320149738
Baker summer sockeye 2023,2023-07-01,Guided,100.25,4278.166666666667,0.02343293466827691
Baker summer sockeye 2023,2023-07-01,Unguided,4177.916666666667,4278.166666666667,0.9765670653317231
Baker summer sockeye 2023,2023-08-01,Guided,106.73333333333333,1661.4666666666667,0.06424043014204317
Baker summer sockeye 2023,2023-08-01,Unguided,1554.7333333333333,1661.4666666666667,0.9357595698579568
Cascade fall salmon 2021,2021-09-01,Unguided,47.583333333333336,47.583333333333336,1
Cascade fall salmon 2021,2021-10-01,Unguided,334.46666666666664,334.46666666666664,1
Cascade fall salmon 2021,2021-11-01,Unguided,113.73333333333333,113.73333333333333,1
Cascade fall salmon 2022,2022-09-01,Unguided,131.46666666666667,131.46666666666667,1
Cascade fall salmon 2022,2022-10-01,Unguided,751.1166666666667,751.1166666666667,1
Cascade fall salmon 2022,2022-11-01,Unguided,287.15,287.15,1
Cascade fall salmon 2023,2023-09-01,Unguided,379.3666666666667,379.3666666666667,1
Cascade fall salmon 2023,2023-10-01,Guided,5.683333333333334,1158.3666666666668,0.004906333630686886
Cascade fall salmon 2023,2023-10-01,Unguided,1152.6833333333334,1158.3666666666668,0.9950936663693131
Cascade fall salmon 2023,2023-11-01,Unguided,226.01666666666668,226.01666666666668,1
Cascade fall salmon 2024,2024-09-01,Unguided,181.8,181.8,1
Cascade fall salmon 2024,2024-10-01,Unguided,953.3666666666667,953.3666666666667,1
Cascade fall salmon 2024,2024-11-01,Unguided,231.18333333333334,231.18333333333334,1
Cascade spring Chinook 2022,2022-06-01,Unguided,2300.983333333333,2300.983333333333,1
Cascade spring Chinook 2022,2022-07-01,Unguided,597.2166666666667,597.2166666666667,1
Cascade spring Chinook 2023,2023-06-01,Unguided,628.0833333333334,628.0833333333334,1
Cascade spring Chinook 2023,2023-07-01,Unguided,174.41666666666666,174.41666666666666,1
Cascade spring Chinook 2024,2024-05-01,Unguided,70.61666666666667,70.61666666666667,1
Cascade spring Chinook 2024,2024-06-01,Unguided,977.35,977.35,1
Cascade spring Chinook 2024,2024-07-01,Unguided,53.68333333333333,53.68333333333333,1
Cascade winter gamefish 2021-22,2021-12-01,Unguided,46.55,46.55,1
Cascade winter gamefish 2021-22,2022-01-01,Unguided,17.05,17.05,1
Cascade winter gamefish 2023,2023-01-01,Unguided,25.566666666666666,25.566666666666666,1
Chehalis salmon 2022,2022-09-01,Guided,224.73333333333332,2429.2833333333333,0.09251013673442784
Chehalis salmon 2022,2022-09-01,Unguided,2204.55,2429.2833333333333,0.9074898632655722
Chehalis salmon 2022,2022-10-01,Guided,1372.8666666666668,5768.283333333334,0.23800264087813533
Chehalis salmon 2022,2022-10-01,Unguided,4395.416666666667,5768.283333333334,0.7619973591218647
Chehalis salmon 2022,2022-11-01,Guided,178.15,717.3666666666667,0.2483388318386692
Chehalis salmon 2022,2022-11-01,Unguided,539.2166666666667,717.3666666666667,0.7516611681613308
Chehalis salmon 2022,2022-12-01,Unguided,75.48333333333333,75.48333333333333,1
Chehalis salmon 2024,2024-09-01,Guided,194.05,4137.15,0.046904269847600405
Chehalis salmon 2024,2024-09-01,Unguided,3943.1,4137.15,0.9530957301523997
Chehalis salmon 2024,2024-10-01,Guided,710.55,4713.45,0.15074945103904783
Chehalis salmon 2024,2024-10-01,Unguided,4002.9,4713.45,0.8492505489609522
Chehalis salmon 2024,2024-11-01,Guided,209.95,2202.15,0.0953386463229117
Chehalis salmon 2024,2024-11-01,Unguided,1992.2,2202.15,0.9046613536770883
Chehalis salmon 2024,2024-12-01,Guided,47.18333333333334,455.73333333333335,0.1035327677004096
Chehalis salmon 2024,2024-12-01,Unguided,408.55,455.73333333333335,0.8964672322995904
Chehalis salmon 2025,2025-09-01,Guided,118.68333333333332,4071.5666666666666,0.02914930370782745
Chehalis salmon 2025,2025-09-01,Unguided,3952.883333333333,4071.5666666666666,0.9708506962921726
Chehalis salmon 2025,2025-10-01,Guided,1079.15,5273.933333333334,0.2046195755223805
Chehalis salmon 2025,2025-10-01,Unguided,4194.783333333334,5273.933333333334,0.7953804244776195
Chehalis salmon 2025,2025-11-01,Guided,462.96666666666664,2384.2,0.19418113692922853
Chehalis salmon 2025,2025-11-01,Unguided,1921.2333333333333,2384.2,0.8058188630707716
