fishery_name,week,guided_status,n,total,prop
Baker summer sockeye 2022,2022-07-10,Guided,2,104,0.019230769230769232
Baker summer sockeye 2022,2022-07-10,Unguided,102,104,0.9807692307692307
Baker summer sockeye 2022,2022-07-17,Guided,2,138,0.014492753623188406
Baker summer sockeye 2022,2022-07-17,Unguided,136,138,0.9855072463768116
Baker summer sockeye 2022,2022-07-24,Guided,1,71,0.014084507042253521
Baker summer sockeye 2022,2022-07-24,Unguided,70,71,0.9859154929577465
Baker summer sockeye 2022,2022-07-31,Guided,1,96,0.010416666666666666
Baker summer sockeye 2022,2022-07-31,Unguided,95,96,0.9895833333333334
Baker summer sockeye 2022,2022-08-07,Unguided,73,73,1
Baker summer sockeye 2022,2022-08-14,Guided,3,46,0.06521739130434782
Baker summer sockeye 2022,2022-08-14,Unguided,43,46,0.9347826086956522
Baker summer sockeye 2022,2022-08-21,Unguided,30,30,1
Baker summer sockeye 2022,2022-08-28,Unguided,8,8,1
Baker summer sockeye 2023,2023-07-16,Guided,2,202,0.009900990099009901
Baker summer sockeye 2023,2023-07-16,Unguided,200,202,0.9900990099009901
Baker summer sockeye 2023,2023-07-23,Guided,1,104,0.009615384615384616
Baker summer sockeye 2023,2023-07-23,Unguided,103,104,0.9903846153846154
Baker summer sockeye 2023,2023-07-30,Guided,2,89,0.02247191011235955
Baker summer sockeye 2023,2023-07-30,Unguided,87,89,0.9775280898876404
Baker summer sockeye 2023,2023-08-06,Guided,4,73,0.0547945205479452
Baker summer sockeye 2023,2023-08-06,Unguided,69,73,0.9452054794520548
Baker summer sockeye 2023,2023-08-13,Unguided,17,17,1
Cascade fall salmon 2021,2021-09-19,Unguided,7,7,1
Cascade fall salmon 2021,2021-09-26,Unguided,14,14,1
Cascade fall salmon 2021,2021-10-03,Unguided,10,10,1
Cascade fall salmon 2021,2021-10-10,Unguided,13,13,1
Cascade fall salmon 2021,2021-10-17,Unguided,17,17,1
Cascade fall salmon 2021,2021-10-24,Unguided,6,6,1
Cascade fall salmon 2021,2021-10-31,Unguided,16,16,1
Cascade fall salmon 2021,2021-11-07,Unguided,5,5,1
Cascade fall salmon 2021,2021-11-14,Unguided,10,10,1
Cascade fall salmon 2021,2021-11-21,Unguided,7,7,1
Cascade fall salmon 2021,2021-11-28,Unguided,1,1,1
Cascade fall salmon 2022,2022-09-18,Unguided,8,8,1
Cascade fall salmon 2022,2022-09-25,Unguided,21,21,1
Cascade fall salmon 2022,2022-10-02,Unguided,30,30,1
Cascade fall salmon 2022,2022-10-09,Unguided,38,38,1
Cascade fall salmon 2022,2022-10-16,Unguided,25,25,1
Cascade fall salmon 2022,2022-10-23,Unguided,14,14,1
Cascade fall salmon 2022,2022-10-30,Unguided,13,13,1
Cascade fall salmon 2022,2022-11-06,Unguided,12,12,1
Cascade fall salmon 2022,2022-11-13,Unguided,15,15,1
Cascade fall salmon 2022,2022-11-20,Unguided,3,3,1
Cascade fall salmon 2022,2022-11-27,Unguided,3,3,1
Cascade fall salmon 2023,2023-09-10,Unguided,5,5,1
Cascade fall salmon 2023,2023-09-17,Unguided,6,6,1
Cascade fall salmon 2023,2023-09-24,Unguided,31,31,1
Cascade fall salmon 2023,2023-10-01,Unguided,29,29,1
Cascade fall salmon 2023,2023-10-08,Unguided,56,56,1
Cascade fall salmon 2023,2023-10-15,Guided,1,32,0.03125
Cascade fall salmon 2023,2023-10-15,Unguided,31,32,0.96875
Cascade fall salmon 2023,2023-10-22,Unguided,35,35,1
Cascade fall salmon 2023,2023-10-29,Unguided,29,29,1
Cascade fall salmon 2023,2023-11-05,Unguided,23,23,1
Cascade fall salmon 2023,2023-11-12,Unguided,19,19,1
Cascade fall salmon 2023,2023-11-19,Unguided,5,5,1
Cascade fall salmon 2023,2023-11-26,Unguided,3,3,1
Cascade fall salmon 2024,2024-09-15,Unguided,19,19,1
Cascade fall salmon 2024,2024-09-22,Unguided,11,11,1
Cascade fall salmon 2024,2024-09-29,Unguided,18,18,1
Cascade fall salmon 2024,2024-10-06,Unguided,22,22,1
Cascade fall salmon 2024,2024-10-13,Unguided,36,36,1
Cascade fall salmon 2024,2024-10-20,Unguided,31,31,1
Cascade fall salmon 2024,2024-10-27,Unguided,34,34,1
