fishery_name,study_design,year,month,catch_area_code,angler_final,total_effort_hrs,n_strata,n_strata_estimated,prop_strata_estimated,n_completed_angler_trips,mean_trip_length,trip_length_source,n_donor_obs,n_trip_length_obs,mean_group_size,sd,total_trips_est,trip_expansion,prev_int_status,pe_period
Cascade fall salmon 2022,Standard,2022,9,826,bank,1110.2914533011274,5,2,0.4,8,4.54583375,month,8,8,1.5,3.144164858077522,244.24374369193052,estimated,partial,week
Cascade fall salmon 2022,Standard,2022,10,826,bank,2515.309236111111,9,9,1,42,4.689285,month,42,42,1.7619047619047619,1.9878585591992475,536.3950444707692,estimated,partial,week
Cascade fall salmon 2022,Standard,2022,11,826,bank,2224.899982487923,9,8,0.8888888888888888,27,4.467901851851852,month,27,27,1.8888888888888888,2.1766776399190033,497.9742295739439,estimated,partial,week
Cascade fall salmon 2023,Standard,2023,9,826,bank,2627.3412567640694,5,4,0.8,19,5.77193,month,19,19,2,2.2252347162140995,455.19284827849077,estimated,partial,week
Cascade fall salmon 2023,Standard,2023,10,826,bank,7408.045220959597,9,9,1,44,4.676135909090909,month,44,44,2.1363636363636362,1.8196678928953047,1584.2236763387402,estimated,partial,week
Cascade fall salmon 2023,Standard,2023,11,826,bank,1076.1753019781147,9,7,0.7777777777777778,10,2.596666,month,10,10,1.5,1.6266280793865844,414.4450237258526,estimated,partial,week
Cascade fall salmon 2024,Standard,2024,9,826,bank,3033.046280968468,5,5,1,6,5.300001666666667,month,6,6,1.6666666666666667,2.3419370472616605,572.2727032416282,estimated,partial,week
Cascade fall salmon 2024,Standard,2024,10,826,bank,8225.931037912913,9,9,1,20,4.8275,month,20,20,2,1.66882483777941,1703.973285947781,estimated,partial,week
Cascade fall salmon 2024,Standard,2024,11,826,bank,1828.185005474224,10,9,0.9,7,5.033334285714286,month,7,7,2.142857142857143,1.8399126036024749,363.2154952757691,estimated,partial,week
Chehalis salmon 2022,Standard,2022,9,317,bank,4722.615008174003,10,5,0.5,25,2.2159992,month,25,25,1.28,1.421841388510922,2131.1447261235485,estimated,partial,week
Chehalis salmon 2022,Standard,2022,9,317,boat,23344.562895723102,10,5,0.5,220,4.759090681818182,month,220,220,2.109090909090909,1.835495766460152,4905.25700317281,estimated,partial,week
Chehalis salmon 2022,Standard,2022,10,317,bank,10117.713377086151,20,10,0.5,40,3.4379175,month,40,40,1.675,2.3796805142123163,2942.977362629019,estimated,partial,week
Chehalis salmon 2022,Standard,2022,10,317,boat,30364.75679232804,20,10,0.5,482,4.858679149377593,month,482,482,2.3257261410788383,2.0070581417982725,6249.590857675347,estimated,partial,week
Chehalis salmon 2022,Standard,2022,11,317,bank,2169.855023477276,18,8,0.4444444444444444,7,2.7261914285714286,month,7,7,1.4285714285714286,3.2135250794904784,795.9290755360923,estimated,partial,week
Chehalis salmon 2022,Standard,2022,11,317,boat,4367.570335097002,18,8,0.4444444444444444,64,5.32994796875,month,64,64,2.078125,1.9379441836607931,819.4395819067068,estimated,partial,week
Chehalis salmon 2022,Standard,2022,12,317,bank,194.60188378119875,10,10,1,2,2.825,month,2,2,1,0.3181980515339462,68.88562257741549,estimated,partial,week
Chehalis salmon 2022,Standard,2022,12,317,boat,468.87016313932975,10,10,1,10,3.984998,month,10,10,1.7,1.9008848738697108,117.65882018995487,estimated,partial,week
Chehalis salmon 2024,Standard,2024,9,315,bank,72.7838698256099,5,1,0.2,NA,2.1634409677419355,area_season,31,NA,1.5806451612903225,1.5585752943107043,33.642641935165514,estimated_donor,partial,week
Chehalis salmon 2024,Standard,2024,9,315,boat,0,5,1,0.2,NA,3.785936875,area_season,32,NA,2.40625,1.7462104230672286,0,zero_effort,partial,week
Chehalis salmon 2024,Standard,2024,9,317,bank,2512.1705787288056,10,6,0.6,71,3.3903754929577463,month,71,71,1.4366197183098592,2.294539095990919,740.9711944729759,estimated,partial,week
Chehalis salmon 2024,Standard,2024,9,317,boat,26486.298932524478,10,6,0.6,290,5.326206793103449,month,290,290,2.189655172413793,1.934666042216127,4972.825870527563,estimated,partial,week
Chehalis salmon 2024,Standard,2024,10,315,bank,1064.4390007740712,9,9,1,26,1.9391026923076924,month,26,26,1.5,1.433038569991911,548.9337955110057,estimated,partial,week
