region,stream_code,n_years,years_present,mean_harvest,usable,fail_reason
Coastal,305,4,2019|2020|2023|2024,7,TRUE,NA
Coastal,311,4,2020|2021|2022|2023,19.75,TRUE,NA
Coastal,315,6,2019|2020|2021|2022|2023|2024,9192.833333333334,TRUE,NA
Coastal,321,5,2019|2021|2022|2023|2024,23.4,TRUE,NA
Coastal,323,5,2020|2021|2022|2023|2024,50.8,TRUE,NA
Coastal,325,5,2020|2021|2022|2023|2024,36.2,TRUE,NA
Coastal,329,6,2019|2020|2021|2022|2023|2024,2501.1666666666665,TRUE,NA
Coastal,333,6,2019|2020|2021|2022|2023|2024,53,TRUE,NA
Coastal,335,6,2019|2020|2021|2022|2023|2024,136.83333333333334,TRUE,NA
Coastal,337,6,2019|2020|2021|2022|2023|2024,394.6666666666667,TRUE,NA
Coastal,339,6,2019|2020|2021|2022|2023|2024,296.1666666666667,TRUE,NA
Coastal,342,6,2019|2020|2021|2022|2023|2024,48.833333333333336,TRUE,NA
Coastal,345,4,2020|2021|2022|2024,30.75,TRUE,NA
Coastal,348,6,2019|2020|2021|2022|2023|2024,235.33333333333334,TRUE,NA
Coastal,350,6,2019|2020|2021|2022|2023|2024,769.8333333333334,TRUE,NA
Coastal,352,3,2022|2023|2024,9.333333333333334,TRUE,NA
Coastal,355,6,2019|2020|2021|2022|2023|2024,77,TRUE,NA
Coastal,358,6,2019|2020|2021|2022|2023|2024,2336.5,TRUE,NA
Coastal,367,6,2019|2020|2021|2022|2023|2024,106,TRUE,NA
Coastal,369,2,2021|2022,22.5,FALSE,only 2 of 6 history year(s) present (2021|2022); need 3
Coastal,370,3,2019|2022|2023,31.666666666666668,TRUE,NA
Coastal,371,4,2020|2021|2022|2023,38.25,TRUE,NA
Coastal,373,2,2020|2021,4,FALSE,only 2 of 6 history year(s) present (2020|2021); need 3
Coastal,375,6,2019|2020|2021|2022|2023|2024,3357,TRUE,NA
Coastal,377,2,2021|2022,7,FALSE,only 2 of 6 history year(s) present (2021|2022); need 3
Coastal,379,6,2019|2020|2021|2022|2023|2024,1923.3333333333333,TRUE,NA
Coastal,382,6,2019|2020|2021|2022|2023|2024,354,TRUE,NA
Coastal,384,6,2019|2020|2021|2022|2023|2024,57.5,TRUE,NA
Coastal,388,1,2019,0,FALSE,only 1 of 6 history year(s) present (2019); need 3
Coastal,389,2,2020|2021,6,FALSE,only 2 of 6 history year(s) present (2020|2021); need 3
Coastal,390,2,2021|2022,21,FALSE,only 2 of 6 history year(s) present (2021|2022); need 3
Coastal,392,5,2019|2020|2021|2023|2024,109.4,TRUE,NA
Coastal,394,6,2019|2020|2021|2022|2023|2024,136.66666666666666,TRUE,NA
Coastal,396,6,2019|2020|2021|2022|2023|2024,157.33333333333334,TRUE,NA
Coastal,398,6,2019|2020|2021|2022|2023|2024,296.5,TRUE,NA
