block,river_label,fishery_name,catch_area_code,year,month,location,mode,angler_trips,total_salmon_harvest,tier,source_id,method,location_basis,mode_basis
PugetSound,Cascade,Cascade fall salmon 2022,826,2022,9,bank,unguided,534.68092532271,137.273,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,design_stratum,fishery_year_interviews
PugetSound,Cascade,Cascade fall salmon 2022,826,2022,10,bank,unguided,516.4022179752769,403.5083333333333,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,design_stratum,fishery_year_interviews
PugetSound,Cascade,Cascade fall salmon 2022,826,2022,11,bank,unguided,607.0041831503946,413.9173,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,design_stratum,fishery_year_interviews
PugetSound,Cascade,Cascade fall salmon 2023,826,2023,9,bank,unguided,560.4454128286586,540.4216556776557,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,design_stratum,fishery_year_interviews
PugetSound,Cascade,Cascade fall salmon 2023,826,2023,10,bank,unguided,1739.1897989348374,1871.2774463631606,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,design_stratum,fishery_year_interviews
PugetSound,Cascade,Cascade fall salmon 2023,826,2023,11,bank,unguided,598.0730550993933,338.1964035964036,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,design_stratum,fishery_year_interviews
PugetSound,Cascade,Cascade fall salmon 2024,826,2024,9,bank,unguided,562.710907598417,482.57266666666663,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,design_stratum,fishery_year_interviews
PugetSound,Cascade,Cascade fall salmon 2024,826,2024,10,bank,unguided,1649.2249173810378,778.6720535714287,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,design_stratum,fishery_year_interviews
PugetSound,Cascade,Cascade fall salmon 2024,826,2024,11,bank,unguided,407.13948216526023,96.08371428571428,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,design_stratum,fishery_year_interviews
WACoast,Chehalis,Chehalis salmon 2022,317,2022,9,bank,unguided,2173.254116421556,674.9531428571429,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,design_stratum,fishery_year_interviews
WACoast,Chehalis,Chehalis salmon 2022,317,2022,9,boat,guided,560.933691764284,457.59915399239554,P1,creel_pe,design-based PE (pe_period=month); trip_length_source=month; estimated,design_stratum,fishery_year_interviews
