stream,creel_covered,nepa_even5yr,our_even5yr,n_even,even_usable,diff_even,pct_diff_even,flag_even,nepa_odd5yr,our_odd5yr,n_odd,odd_usable,diff_odd,pct_diff_odd,flag_odd
CASCADE R.,TRUE,2092.4,2087,5,TRUE,-5.400000000000091,-0.0025807684955075944,FALSE,1807.8,1707,5,TRUE,-100.79999999999995,-0.05575838035180881,FALSE
NISQUALLY R.,TRUE,2490.2,3819.2,5,TRUE,1329,0.5336920729258694,TRUE,7751.8,9249.2,5,TRUE,1497.4000000000005,0.19316803839108343,TRUE
NOOKSACK R.,TRUE,3620.2,1852.6666666666667,3,TRUE,-1767.533333333333,-0.48824190192070416,TRUE,4519,4694,3,TRUE,175,0.03872538172161983,FALSE
SKAGIT R.,TRUE,7102,5476.2,5,TRUE,-1625.8000000000002,-0.2289214305829344,TRUE,26091,24449.6,5,TRUE,-1641.4000000000015,-0.06291058219309346,FALSE
SNOHOMISH R.,TRUE,536.4,508.6,5,TRUE,-27.799999999999955,-0.05182699478001483,FALSE,24359.2,22044.8,5,TRUE,-2314.4000000000015,-0.09501133042136037,FALSE
STILLAGUAMISH,TRUE,353.4,417.4,5,TRUE,64,0.18109790605546125,TRUE,1403.8,1177.2,5,TRUE,-226.5999999999999,-0.161419005556347,TRUE
Baker Lake,FALSE,7411.6,7085,5,TRUE,-326.60000000000036,-0.04406605861082632,FALSE,7338.2,7179.4,5,TRUE,-158.80000000000018,-0.021640184241367117,FALSE
Baker River,FALSE,40.6,7085,5,TRUE,7044.4,173.50738916256157,TRUE,0,7179.4,5,TRUE,7179.4,NA,FALSE
CALIFORNIA CR.,FALSE,6.2,12,4,TRUE,5.8,0.9354838709677419,TRUE,18.6,22.8,5,TRUE,4.199999999999999,0.22580645161290316,TRUE
CARBON R.,FALSE,1319.2,1397.4,5,TRUE,78.20000000000005,0.05927835051546395,FALSE,0,3886.2,5,TRUE,3886.2,NA,FALSE
CHAMBERS CR.,FALSE,23,35.2,5,TRUE,12.200000000000003,0.5304347826086958,TRUE,10.4,36,4,TRUE,25.6,2.4615384615384617,TRUE
CLALLAM R.,FALSE,5.8,9.666666666666666,3,TRUE,3.8666666666666663,0.6666666666666666,TRUE,4.2,31.666666666666668,3,TRUE,27.46666666666667,6.5396825396825395,TRUE
DEWATTO CR.,FALSE,13,17.5,4,TRUE,4.5,0.34615384615384615,TRUE,89,109.8,5,TRUE,20.799999999999997,0.23370786516853928,TRUE
DOSEWALLIPS R.,FALSE,0,0,2,FALSE,0,NA,FALSE,3.6,25.5,2,FALSE,21.9,6.083333333333333,FALSE
DUCKABUSH R.,FALSE,7.4,9.2,5,TRUE,1.799999999999999,0.2432432432432431,TRUE,2.2,23.2,5,TRUE,21,9.545454545454545,TRUE
DUNGENESS R.,FALSE,778.6,804.4,5,TRUE,25.799999999999955,0.033136398664269144,FALSE,999.6,998.2,5,TRUE,-1.3999999999999773,-0.001400560224089613,FALSE
ELWHA R.,FALSE,0,8,1,FALSE,8,NA,FALSE,0,9.5,2,FALSE,9.5,NA,FALSE
HOKO R.,FALSE,0,NA,0,FALSE,NA,NA,FALSE,0,0,1,FALSE,0,NA,FALSE
KENNEDY CR.,FALSE,363.4,377.6,5,TRUE,14.200000000000045,0.03907539900935621,FALSE,55.4,54,5,TRUE,-1.3999999999999986,-0.025270758122743656,FALSE
LAKE SAMMAMISH,FALSE,24.2,57,5,TRUE,32.8,1.3553719008264462,TRUE,46.8,301.6,5,TRUE,254.8,5.444444444444445,TRUE
LYRE R.,FALSE,8.6,10.75,4,TRUE,2.1500000000000004,0.25000000000000006,TRUE,0,33.333333333333336,3,TRUE,33.333333333333336,NA,FALSE
MCALLISTER CR.,FALSE,21.4,68.33333333333333,3,TRUE,46.93333333333333,2.1931464174454827,TRUE,0,0,2,FALSE,0,NA,FALSE
MCLANE CR.,FALSE,0,0,1,FALSE,0,NA,FALSE,5,17,2,FALSE,12,2.4,FALSE
MINTER CR.,FALSE,4902.8,5054.6,5,TRUE,151.80000000000018,0.030961899322835967,FALSE,4980,4979.6,5,TRUE,-0.3999999999996362,-8.03212851404892e-5,FALSE
MORSE CR.,FALSE,0,3,1,FALSE,3,NA,FALSE,0,0,1,FALSE,0,NA,FALSE
PUYALLUP R.,FALSE,4573.6,4300.4,5,TRUE,-273.2000000000007,-0.0597341262900124,FALSE,62441,50038.8,5,TRUE,-12402.199999999997,-0.1986226998286382,TRUE
PYSHT R.,FALSE,2.8,12.75,4,TRUE,9.95,3.5535714285714284,TRUE,0,31.75,4,TRUE,31.75,NA,FALSE
QUILCENE R.,FALSE,3050.8,3078.8,5,TRUE,28,0.009177920545430707,FALSE,2785,2857.4,5,TRUE,72.40000000000009,0.025996409335727142,FALSE
