block,year,n_donor_areas,n_donor_years,donor_trips,donor_crc,donor_creel,donor_areas,donor_ratio_cv,max_donor_area_harvest,ratio,ratio_creel_denom,crc_over_creel,ratio_basis,fail_reason,usable
ColumbiaMiddle,2022,1,1,14130.886395399188,4541,5116.544138095238,618,NA,4541,3.1118446147102374,2.7618028915626174,0.8875131099114296,block_year,only 1 donor area(s); need 2,FALSE
ColumbiaMiddle,2023,1,1,16412.007790673746,7794,8690.549255952381,618,NA,7794,2.1057233500992747,1.8884891285131074,0.8968362954345709,block_year,only 1 donor area(s); need 2,FALSE
ColumbiaMiddle,2024,1,1,14067.492078576997,5874,6323.848022329059,618,NA,5874,2.3948743749705477,2.2245145722834705,0.9288648271209748,block_year,only 1 donor area(s); need 2,FALSE
ColumbiaUpper,2022,1,1,7902.836007067821,748,2907.310291902091,690,NA,748,10.565288779502435,2.718263691729112,0.2572824793017278,block_year,only 1 donor area(s); need 2,FALSE
ColumbiaUpper,2023,1,1,1562.26385472027,213,62.6927679409378,533,NA,213,7.334572087888592,24.919363206168573,3.397521069745478,block_year,only 1 donor area(s); need 2,FALSE
ColumbiaUpper,2024,1,1,2767.180410962862,157,135.85087958914121,533,NA,157,17.625352936069184,20.369249130603695,1.1556789361601547,block_year,only 1 donor area(s); need 2,FALSE
PugetSound,2022,9,1,92998.1019774513,15553,23443.96796867176,786|802|804|826|830|850|852|860|872,1.192380025081446,5572,5.979431748051907,3.966824306436731,0.6634115871845379,block_year,NA,TRUE
PugetSound,2023,10,1,257358.59959511957,118539,178468.30146065043,786|794|802|804|826|830|844|850|860|872,1.2694624859372206,56064,2.1710879929400413,1.4420409534287144,0.6642019844971521,block_year,NA,TRUE
PugetSound,2024,10,1,98216.0970244022,23171,32949.64157918541,794|802|804|826|830|844|850|852|860|872,2.115767783999851,8316,4.2387508965690825,2.9807940941744935,0.7032246449271646,block_year,donor ratios incoherent within block (CV 2.12),FALSE
WACoast,2022,6,1,20688.605985808194,5778,9309.000179912091,329|358|398|400|404|406,0.6281327425735971,1844,3.5805825520609544,2.2224305066028656,0.6206896431765418,block_year,NA,TRUE
WACoast,2023,10,1,30964.51184406495,18503,11865.094246149325,315|329|348|350|358|398|400|402|404|406,0.9642749295054246,7739,1.6734860208649922,2.609714782005555,1.55944821137893,block_year,NA,TRUE
WACoast,2024,6,1,30473.433407413704,20749,13583.776823901022,315|329|358|398|404|406,0.6397144318331501,14309,1.468669979633414,2.2433697050878276,1.5274838705750506,block_year,NA,TRUE
ColumbiaMiddle,NA,1,3,44610.38626464993,18209,20130.941416376678,618,0.20413888378448228,7794,2.449908631152174,2.2160109327206645,0.9045279911841001,block_pooled,only 1 donor area(s); need 2,FALSE
ColumbiaUpper,NA,2,3,12232.280272750953,1118,3105.85393943217,533|690,0.444427772080458,748,10.94121670192393,3.938459602832234,0.3599654142797195,block_pooled,NA,TRUE
PugetSound,NA,11,3,448572.79859697307,157263,234861.9110085076,786|794|802|804|826|830|844|850|852|860|872,1.9331249546034521,56064,2.8523734037693105,1.9099427262206174,0.6695977194629202,block_pooled,donor ratios incoherent within block (CV 1.93),FALSE
WACoast,NA,10,3,82126.55123728685,45030,34757.87124996244,315|329|348|350|358|398|400|402|404|406,0.7771459450231065,14309,1.8238185928777892,2.362818788488826,1.2955338857251986,block_pooled,NA,TRUE
