block,year,trips,harvest,n_fisheries,trips_per_salmon
ColumbiaMiddle,2022,14130.886395399188,5116.544138095238,1,2.7618028915626174
ColumbiaMiddle,2023,16412.007790673746,8690.549255952381,1,1.8884891285131074
ColumbiaMiddle,2024,14078.944768967196,6325.597216666666,1,2.2257099664632505
ColumbiaMiddle,2025,20236.63792829759,11831.285852380952,1,1.7104343670493878
ColumbiaUpper,2022,36171.75485299954,14369.784675321394,2,2.5172092463654487
ColumbiaUpper,2023,29212.40407415646,11167.78977593939,2,2.6157730992656716
ColumbiaUpper,2024,25837.53585049907,11401.885893317447,2,2.266075638034778
ColumbiaUpper,2025,20478.6112179887,7978.266743070642,2,2.5667995164206525
PugetSound,2022,100792.54527187526,23777.088074647574,7,4.239061778946168
PugetSound,2023,263320.0877699479,181669.64484558496,9,1.4494446113645674
PugetSound,2024,107875.00456002036,34226.73399880953,7,3.1517761689962143
PugetSound,2025,195327.89412114263,144578.46323959375,4,1.351016532783638
WACoast,2022,39706.7313553379,20040.99848214286,4,1.9812751041679788
WACoast,2023,51612.827816496996,20509.371988888888,6,2.516548426956157
WACoast,2024,54015.29603762243,27968.528722438674,4,1.9312884339992786
WACoast,2025,60127.48695941113,27408.582554040404,5,2.1937466791965683
