block,river_label,year,mode,location,angler_trips,total_salmon_harvest,catch_area_codes,tier,source_id,method,trips_per_salmon
ColumbiaTrib,Abernathy Creek,2022,unknown,unknown,199.96571664178794,48,501,P2,p2_block_ratio,"P2 block ratio 4.166 creel-trips per CRC-salmon (block_year, 2 donor area(s) [618|690]) x CRC harvest 48. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",4.165952430037248
ColumbiaTrib,Abernathy Creek,2023,unknown,unknown,38.16193555285354,17,501,P2,p2_block_ratio,"P2 block ratio 2.245 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 17. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",2.2448197384031494
ColumbiaTrib,Abernathy Creek,2025,unknown,unknown,43.54516511968526,15.6,501,P3,crc_harvest_projection,"P3 projected: 6-yr mean CRC harvest 16 (5 of 6 years: 2019|2021|2022|2023|2024) x block_year ratio 2.791 (2 donor area(s) [533|618]) from 2024. Excludes PugetSound, which use a separate NEPA-derived 2014+ even/odd-year projection.",2.7913567384413627
ColumbiaTrib,Big White Salmon River,2022,unknown,unknown,658.2204839458852,158,508,P2,p2_block_ratio,"P2 block ratio 4.166 creel-trips per CRC-salmon (block_year, 2 donor area(s) [618|690]) x CRC harvest 158. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",4.165952430037248
ColumbiaTrib,Big White Salmon River,2023,unknown,unknown,408.5571923893732,182,508,P2,p2_block_ratio,"P2 block ratio 2.245 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 182. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",2.2448197384031494
ColumbiaTrib,Big White Salmon River,2024,unknown,unknown,396.3726568586735,142,508,P2,p2_block_ratio,"P2 block ratio 2.791 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 142. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",2.7913567384413627
ColumbiaTrib,Big White Salmon River,2025,unknown,unknown,302.86220612088783,108.5,508,P3,crc_harvest_projection,"P3 projected: 6-yr mean CRC harvest 108 (6 of 6 years: 2019|2020|2021|2022|2023|2024) x block_year ratio 2.791 (2 donor area(s) [533|618]) from 2024. Excludes PugetSound, which use a separate NEPA-derived 2014+ even/odd-year projection.",2.7913567384413627
ColumbiaTrib,Cedar Creek (Clark Co),2022,unknown,unknown,95.81690589085672,23,609,P2,p2_block_ratio,"P2 block ratio 4.166 creel-trips per CRC-salmon (block_year, 2 donor area(s) [618|690]) x CRC harvest 23. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",4.165952430037248
ColumbiaTrib,Cedar Creek (Clark Co),2024,unknown,unknown,108.86291279921315,39,609,P2,p2_block_ratio,"P2 block ratio 2.791 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 39. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",2.7913567384413627
ColumbiaTrib,Cedar Creek (Clark Co),2025,unknown,unknown,135.10166614056195,48.4,609,P3,crc_harvest_projection,"P3 projected: 6-yr mean CRC harvest 48 (5 of 6 years: 2020|2021|2022|2023|2024) x block_year ratio 2.791 (2 donor area(s) [533|618]) from 2024. Excludes PugetSound, which use a separate NEPA-derived 2014+ even/odd-year projection.",2.7913567384413627
ColumbiaTrib,Chinook River,2022,unknown,unknown,49.991429160446984,12,515,P2,p2_block_ratio,"P2 block ratio 4.166 creel-trips per CRC-salmon (block_year, 2 donor area(s) [618|690]) x CRC harvest 12. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",4.165952430037248
ColumbiaTrib,Chinook River,2023,unknown,unknown,190.8096777642677,85,515,P2,p2_block_ratio,"P2 block ratio 2.245 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 85. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",2.2448197384031494
ColumbiaTrib,Chinook River,2024,unknown,unknown,36.287637599737714,13,515,P2,p2_block_ratio,"P2 block ratio 2.791 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 13. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",2.7913567384413627
ColumbiaTrib,Chinook River,2025,unknown,unknown,68.10910441796925,24.4,515,P3,crc_harvest_projection,"P3 projected: 6-yr mean CRC harvest 24 (5 of 6 years: 2020|2021|2022|2023|2024) x block_year ratio 2.791 (2 donor area(s) [533|618]) from 2024. Excludes PugetSound, which use a separate NEPA-derived 2014+ even/odd-year projection.",2.7913567384413627
ColumbiaTrib,Cispus River,2022,unknown,unknown,712.3778655363694,171,555,P2,p2_block_ratio,"P2 block ratio 4.166 creel-trips per CRC-salmon (block_year, 2 donor area(s) [618|690]) x CRC harvest 171. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",4.165952430037248
ColumbiaTrib,Cispus River,2023,unknown,unknown,35.91711581445039,16,555,P2,p2_block_ratio,"P2 block ratio 2.245 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 16. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",2.2448197384031494
ColumbiaTrib,Cispus River,2024,unknown,unknown,1898.1225821401267,680,555,P2,p2_block_ratio,"P2 block ratio 2.791 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 680. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",2.7913567384413627
ColumbiaTrib,Cispus River,2025,unknown,unknown,832.2895341785996,298.1666666666667,555,P3,crc_harvest_projection,"P3 projected: 6-yr mean CRC harvest 298 (6 of 6 years: 2019|2020|2021|2022|2023|2024) x block_year ratio 2.791 (2 donor area(s) [533|618]) from 2024. Excludes PugetSound, which use a separate NEPA-derived 2014+ even/odd-year projection.",2.7913567384413627
ColumbiaTrib,Coal Creek (Cowlitz Co),2022,unknown,unknown,399.93143328357587,96,517,P2,p2_block_ratio,"P2 block ratio 4.166 creel-trips per CRC-salmon (block_year, 2 donor area(s) [618|690]) x CRC harvest 96. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",4.165952430037248
ColumbiaTrib,Coal Creek (Cowlitz Co),2023,unknown,unknown,114.48580665856062,51,517,P2,p2_block_ratio,"P2 block ratio 2.245 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 51. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",2.2448197384031494
ColumbiaTrib,Coal Creek (Cowlitz Co),2024,unknown,unknown,667.1342604874857,239,517,P2,p2_block_ratio,"P2 block ratio 2.791 creel-trips per CRC-salmon (block_year, 2 donor area(s) [533|618]) x CRC harvest 239. CRC-denominated: the CRC reporting bias is inside the ratio, not applied on top of it.",2.7913567384413627
