fishery_name,angler_final,n,total,prop
Baker summer sockeye 2022,Bank,4,568,0.007042253521126761
Baker summer sockeye 2022,Boat,564,568,0.9929577464788732
Baker summer sockeye 2023,Bank,9,487,0.018480492813141684
Baker summer sockeye 2023,Boat,478,487,0.9815195071868583
Cascade fall salmon 2021,Bank,109,109,1
Cascade fall salmon 2022,Bank,183,183,1
Cascade fall salmon 2023,Bank,274,274,1
Cascade fall salmon 2024,Bank,207,207,1
Cascade spring Chinook 2021,Bank,202,202,1
Cascade spring Chinook 2022,Bank,412,412,1
Cascade spring Chinook 2023,Bank,160,160,1
Cascade spring Chinook 2024,Bank,156,156,1
Cascade winter gamefish 2021-22,Bank,15,15,1
Cascade winter gamefish 2023,Bank,7,7,1
Chehalis salmon 2022,Bank,94,892,0.10538116591928251
Chehalis salmon 2022,Boat,798,892,0.8946188340807175
Chehalis salmon 2024,Bank,453,1361,0.3328434974283615
Chehalis salmon 2024,Boat,908,1361,0.6671565025716385
Chehalis salmon 2025,Bank,339,1361,0.2490815576781778
Chehalis salmon 2025,Boat,1022,1361,0.7509184423218221
Chehalis winter steelhead 2024-25,Bank,163,392,0.41581632653061223
Chehalis winter steelhead 2024-25,Boat,229,392,0.5841836734693877
Chehalis winter steelhead 2025-26,Bank,11,57,0.19298245614035087
Chehalis winter steelhead 2025-26,Boat,46,57,0.8070175438596491
Drano Lake salmon and steelhead 2022,Bank,277,931,0.2975295381310419
Drano Lake salmon and steelhead 2022,Boat,654,931,0.7024704618689581
Drano Lake salmon and steelhead 2023,Bank,103,997,0.10330992978936811
Drano Lake salmon and steelhead 2023,Boat,894,997,0.8966900702106319
Drano Lake salmon and steelhead 2024,Bank,160,1024,0.15625
Drano Lake salmon and steelhead 2024,Boat,864,1024,0.84375
Drano Lake salmon and steelhead 2025,Bank,265,983,0.2695829094608342
Drano Lake salmon and steelhead 2025,Boat,718,983,0.7304170905391658
Drano Lake salmon and steelhead 2026,Bank,16,70,0.22857142857142856
Drano Lake salmon and steelhead 2026,Boat,54,70,0.7714285714285715
Drano Lake spring Chinook 2026,Bank,174,833,0.20888355342136855
Drano Lake spring Chinook 2026,Boat,659,833,0.7911164465786314
Hoh fall salmon 2023,Bank,42,62,0.6774193548387096
Hoh fall salmon 2023,Boat,20,62,0.3225806451612903
Hoh fall salmon 2025,Bank,113,214,0.5280373831775701
Hoh fall salmon 2025,Boat,101,214,0.4719626168224299
Hoh winter steelhead 2022-23,Bank,655,666,0.9834834834834835
Hoh winter steelhead 2022-23,Boat,11,666,0.016516516516516516
Hoh winter steelhead 2023-24,Bank,544,759,0.7167325428194994
Hoh winter steelhead 2023-24,Boat,215,759,0.28326745718050067
Hoh winter steelhead 2024-25,Bank,338,553,0.6112115732368897
Hoh winter steelhead 2024-25,Boat,215,553,0.3887884267631103
Hoh winter steelhead 2025-26,Bank,461,771,0.5979247730220493
Hoh winter steelhead 2025-26,Boat,310,771,0.40207522697795073
Humptulips salmon 2020,Bank,442,845,0.5230769230769231
Humptulips salmon 2020,Boat,403,845,0.47692307692307695
Humptulips salmon 2021,Bank,385,723,0.5325034578146611
Humptulips salmon 2021,Boat,338,723,0.46749654218533887
