fishery_name,week,angler_final,hours,total_hours,prop
Baker summer sockeye 2022,2022-07-10,Bank,11.166666666666668,1433.0500000000002,0.0077922380005349895
Baker summer sockeye 2022,2022-07-10,Boat,1421.8833333333334,1433.0500000000002,0.9922077619994649
Baker summer sockeye 2022,2022-07-17,Boat,2054.883333333333,2054.883333333333,1
Baker summer sockeye 2022,2022-07-24,Boat,907.45,907.45,1
Baker summer sockeye 2022,2022-07-31,Boat,1162.3666666666666,1162.3666666666666,1
Baker summer sockeye 2022,2022-08-07,Boat,818.1166666666667,818.1166666666667,1
Baker summer sockeye 2022,2022-08-14,Boat,575.6666666666666,575.6666666666666,1
Baker summer sockeye 2022,2022-08-21,Bank,14.8,224.05,0.06605668377594287
Baker summer sockeye 2022,2022-08-21,Boat,209.25,224.05,0.9339433162240571
Baker summer sockeye 2022,2022-08-28,Bank,3.7666666666666666,52.9,0.07120352867044738
Baker summer sockeye 2022,2022-08-28,Boat,49.13333333333333,52.9,0.9287964713295527
Baker summer sockeye 2023,2023-07-16,Bank,71.95,2650.583333333333,0.02714496808878549
Baker summer sockeye 2023,2023-07-16,Boat,2578.633333333333,2650.583333333333,0.9728550319112146
Baker summer sockeye 2023,2023-07-23,Bank,15.566666666666666,1319.1499999999999,0.011800528117853669
Baker summer sockeye 2023,2023-07-23,Boat,1303.5833333333333,1319.1499999999999,0.9881994718821464
Baker summer sockeye 2023,2023-07-30,Boat,1064.7166666666667,1064.7166666666667,1
Baker summer sockeye 2023,2023-08-06,Boat,806.0166666666667,806.0166666666667,1
Baker summer sockeye 2023,2023-08-13,Bank,17.166666666666668,131.76666666666665,0.13028079939286621
Baker summer sockeye 2023,2023-08-13,Boat,114.6,131.76666666666665,0.8697192006071339
Cascade fall salmon 2021,2021-09-19,Bank,26.55,26.55,1
Cascade fall salmon 2021,2021-09-26,Bank,86.45,86.45,1
Cascade fall salmon 2021,2021-10-03,Bank,67.78333333333333,67.78333333333333,1
Cascade fall salmon 2021,2021-10-10,Bank,102.4,102.4,1
Cascade fall salmon 2021,2021-10-17,Bank,81.23333333333333,81.23333333333333,1
Cascade fall salmon 2021,2021-10-24,Bank,26.366666666666667,26.366666666666667,1
Cascade fall salmon 2021,2021-10-31,Bank,75.46666666666667,75.46666666666667,1
Cascade fall salmon 2021,2021-11-07,Bank,24.583333333333336,24.583333333333336,1
Cascade fall salmon 2021,2021-11-14,Bank,18.233333333333334,18.233333333333334,1
Cascade fall salmon 2021,2021-11-21,Bank,21.900000000000002,21.900000000000002,1
Cascade fall salmon 2021,2021-11-28,Bank,1.8833333333333333,1.8833333333333333,1
