analysis_id,project_name,fishery_name,section_num,min_event_date,max_event_date,period,day_type,angler_final,est_cg,model_type,estimate_category,estimate_type,estimate_value,estimate_time_period
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-07-25,2022-07-31,30,weekend,Boat,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,1,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-07-25,2022-07-31,30,weekend,Boat,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,32.491,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-07-25,2022-07-31,30,weekend,Boat,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_variance,0,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-07-25,2022-07-31,30,weekend,Boat,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,days_open,2,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-07-25,2022-07-31,30,weekend,Boat,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,degrees_freedom,19,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-07-25,2022-07-31,30,weekend,Boat,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,total_catch,64.982,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-08-01,2022-08-07,31,weekday,Boat,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,2,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-08-01,2022-08-07,31,weekday,Boat,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,17.6375,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-08-01,2022-08-07,31,weekday,Boat,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_variance,3.7291805000000045,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-08-01,2022-08-07,31,weekday,Boat,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,days_open,5,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-08-01,2022-08-07,31,weekday,Boat,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,degrees_freedom,19,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-08-01,2022-08-07,31,weekday,Boat,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,total_catch,88.1875,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-08-01,2022-08-07,31,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,1,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-08-01,2022-08-07,31,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,0,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-08-01,2022-08-07,31,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_variance,0,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-08-01,2022-08-07,31,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,days_open,2,week
81F6F893-1C3B-40E3-A188-84F65DBCD2D0,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2022,1,2022-08-01,2022-08-07,31,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,degrees_freedom,19,week
