analysis_id,project_name,fishery_name,section_num,min_event_date,max_event_date,period,day_type,angler_final,est_cg,model_type,estimate_category,estimate_type,estimate_value,estimate_time_period
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-10,2023-07-16,28,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,1,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-10,2023-07-16,28,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,0,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-10,2023-07-16,28,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_variance,0,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-10,2023-07-16,28,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,days_open,5,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-10,2023-07-16,28,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,degrees_freedom,27.5,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-10,2023-07-16,28,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,total_catch,0,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-17,2023-07-23,29,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,2,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-17,2023-07-23,29,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,0,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-17,2023-07-23,29,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_variance,0,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-17,2023-07-23,29,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,days_open,5,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-17,2023-07-23,29,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,degrees_freedom,27.5,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-17,2023-07-23,29,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,total_catch,0,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-17,2023-07-23,29,weekend,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,1,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-17,2023-07-23,29,weekend,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,15.615,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-17,2023-07-23,29,weekend,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_variance,0,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-17,2023-07-23,29,weekend,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,days_open,2,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-17,2023-07-23,29,weekend,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,degrees_freedom,27.5,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-17,2023-07-23,29,weekend,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,total_catch,31.23,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-24,2023-07-30,30,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,2,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-24,2023-07-30,30,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,3.0835,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-24,2023-07-30,30,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_variance,19.0159445,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-24,2023-07-30,30,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,days_open,5,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-24,2023-07-30,30,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,degrees_freedom,27.5,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-24,2023-07-30,30,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,total_catch,15.4175,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-24,2023-07-30,30,weekend,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,1,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-24,2023-07-30,30,weekend,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,14.798,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-24,2023-07-30,30,weekend,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_variance,0,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-24,2023-07-30,30,weekend,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,days_open,2,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-24,2023-07-30,30,weekend,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,degrees_freedom,27.5,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-24,2023-07-30,30,weekend,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,total_catch,29.596,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-31,2023-08-06,31,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,1,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-31,2023-08-06,31,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,21.543,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-31,2023-08-06,31,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_variance,0,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-31,2023-08-06,31,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,days_open,5,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-31,2023-08-06,31,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,degrees_freedom,27.5,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-31,2023-08-06,31,weekday,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,total_catch,107.715,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-31,2023-08-06,31,weekend,Bank,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,2,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-31,2023-08-06,31,weekend,Bank,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,0,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-31,2023-08-06,31,weekend,Bank,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_variance,0,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-31,2023-08-06,31,weekend,Bank,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,days_open,2,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-31,2023-08-06,31,weekend,Bank,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,degrees_freedom,27.5,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-31,2023-08-06,31,weekend,Bank,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,total_catch,0,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-31,2023-08-06,31,weekend,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,2,week
84552D34-1848-49B7-80A4-C6FDA73D1AF8,CRM - Roving Creel Project,Drano Lake salmon and steelhead 2023,1,2023-07-31,2023-08-06,31,weekend,Boat,Chinook|Coho|Sockeye_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,13.299,week
