analysis_id,project_name,fishery_name,section_num,min_event_date,max_event_date,period,day_type,angler_final,est_cg,model_type,estimate_category,estimate_type,estimate_value,estimate_time_period
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-01,2023-07-02,26,weekend,Bank,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,number_observations,1,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-01,2023-07-02,26,weekend,Bank,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,daily_mean,0,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-01,2023-07-02,26,weekend,Bank,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,daily_variance,0,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-01,2023-07-02,26,weekend,Bank,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,days_open,2,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-01,2023-07-02,26,weekend,Bank,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,degrees_freedom,37.5,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-01,2023-07-02,26,weekend,Bank,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,total_catch,0,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-01,2023-07-02,26,weekend,Boat,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,number_observations,1,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-01,2023-07-02,26,weekend,Boat,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,daily_mean,0,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-01,2023-07-02,26,weekend,Boat,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,daily_variance,0,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-01,2023-07-02,26,weekend,Boat,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,days_open,2,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-01,2023-07-02,26,weekend,Boat,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,degrees_freedom,37.5,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-01,2023-07-02,26,weekend,Boat,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,total_catch,0,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-03,2023-07-09,27,weekday,Bank,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,number_observations,2,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-03,2023-07-09,27,weekday,Bank,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,daily_mean,0,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-03,2023-07-09,27,weekday,Bank,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,daily_variance,0,week
74C3A10F-F03D-4684-8085-5DB2224261D0,District 11,Nisqually salmon 2023,1,2023-07-03,2023-07-09,27,weekday,Bank,Chinook|Coho|Pink_Adult|Jack|NA_AD|NA|UM|UNK_Kept,PE,catch,days_open,4,week
