analysis_id,project_name,fishery_name,section_num,min_event_date,max_event_date,period,day_type,angler_final,est_cg,model_type,estimate_category,estimate_type,estimate_value,estimate_time_period
32521F0C-57B8-4578-96E1-13FA05E98364,District 11,Puyallup Carbon salmon 2024,1,2024-08-16,2024-08-18,33,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,1,week
32521F0C-57B8-4578-96E1-13FA05E98364,District 11,Puyallup Carbon salmon 2024,1,2024-08-16,2024-08-18,33,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,203.32,week
32521F0C-57B8-4578-96E1-13FA05E98364,District 11,Puyallup Carbon salmon 2024,1,2024-08-16,2024-08-18,33,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_variance,0,week
32521F0C-57B8-4578-96E1-13FA05E98364,District 11,Puyallup Carbon salmon 2024,1,2024-08-16,2024-08-18,33,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,days_open,1,week
32521F0C-57B8-4578-96E1-13FA05E98364,District 11,Puyallup Carbon salmon 2024,1,2024-08-16,2024-08-18,33,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,degrees_freedom,22.5,week
32521F0C-57B8-4578-96E1-13FA05E98364,District 11,Puyallup Carbon salmon 2024,1,2024-08-16,2024-08-18,33,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,total_catch,203.32,week
32521F0C-57B8-4578-96E1-13FA05E98364,District 11,Puyallup Carbon salmon 2024,1,2024-08-16,2024-08-18,33,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,1,week
32521F0C-57B8-4578-96E1-13FA05E98364,District 11,Puyallup Carbon salmon 2024,1,2024-08-16,2024-08-18,33,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,167.899,week
32521F0C-57B8-4578-96E1-13FA05E98364,District 11,Puyallup Carbon salmon 2024,1,2024-08-16,2024-08-18,33,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_variance,0,week
32521F0C-57B8-4578-96E1-13FA05E98364,District 11,Puyallup Carbon salmon 2024,1,2024-08-16,2024-08-18,33,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,days_open,1,week
32521F0C-57B8-4578-96E1-13FA05E98364,District 11,Puyallup Carbon salmon 2024,1,2024-08-16,2024-08-18,33,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM|UNK_Kept,PE,catch,degrees_freedom,22.5,week
