analysis_id,project_name,fishery_name,section_num,min_event_date,max_event_date,period,day_type,angler_final,est_cg,model_type,estimate_category,estimate_type,estimate_value,estimate_time_period
733251A2-C3F4-4CA5-ACC9-8F9985EB1A8E,District 11,Puyallup Carbon salmon 2025,1,2025-08-16,2025-08-17,32,weekend,Bank,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,1,week
733251A2-C3F4-4CA5-ACC9-8F9985EB1A8E,District 11,Puyallup Carbon salmon 2025,1,2025-08-16,2025-08-17,32,weekend,Bank,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,2152.43,week
733251A2-C3F4-4CA5-ACC9-8F9985EB1A8E,District 11,Puyallup Carbon salmon 2025,1,2025-08-16,2025-08-17,32,weekend,Bank,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_variance,0,week
733251A2-C3F4-4CA5-ACC9-8F9985EB1A8E,District 11,Puyallup Carbon salmon 2025,1,2025-08-16,2025-08-17,32,weekend,Bank,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept,PE,catch,days_open,1,week
733251A2-C3F4-4CA5-ACC9-8F9985EB1A8E,District 11,Puyallup Carbon salmon 2025,1,2025-08-16,2025-08-17,32,weekend,Bank,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept,PE,catch,degrees_freedom,22.5,week
733251A2-C3F4-4CA5-ACC9-8F9985EB1A8E,District 11,Puyallup Carbon salmon 2025,1,2025-08-16,2025-08-17,32,weekend,Bank,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept,PE,catch,total_catch,2152.43,week
733251A2-C3F4-4CA5-ACC9-8F9985EB1A8E,District 11,Puyallup Carbon salmon 2025,1,2025-08-18,2025-08-24,33,weekday,Bank,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,3,week
733251A2-C3F4-4CA5-ACC9-8F9985EB1A8E,District 11,Puyallup Carbon salmon 2025,1,2025-08-18,2025-08-24,33,weekday,Bank,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_mean,4163.364333333333,week
733251A2-C3F4-4CA5-ACC9-8F9985EB1A8E,District 11,Puyallup Carbon salmon 2025,1,2025-08-18,2025-08-24,33,weekday,Bank,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept,PE,catch,daily_variance,1846473.1122503337,week
733251A2-C3F4-4CA5-ACC9-8F9985EB1A8E,District 11,Puyallup Carbon salmon 2025,1,2025-08-18,2025-08-24,33,weekday,Bank,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept,PE,catch,days_open,3,week
733251A2-C3F4-4CA5-ACC9-8F9985EB1A8E,District 11,Puyallup Carbon salmon 2025,1,2025-08-18,2025-08-24,33,weekday,Bank,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept,PE,catch,degrees_freedom,22.5,week
733251A2-C3F4-4CA5-ACC9-8F9985EB1A8E,District 11,Puyallup Carbon salmon 2025,1,2025-08-18,2025-08-24,33,weekday,Bank,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept,PE,catch,total_catch,12490.092999999999,week
733251A2-C3F4-4CA5-ACC9-8F9985EB1A8E,District 11,Puyallup Carbon salmon 2025,1,2025-08-18,2025-08-24,33,weekend,Bank,Chinook|Chum|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept,PE,catch,number_observations,1,week
