analysis_id,project_name,fishery_name,section_num,min_event_date,max_event_date,period,day_type,angler_final,est_cg,model_type,estimate_category,estimate_type,estimate_value,estimate_time_period
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-16,2022-08-21,33,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,number_observations,3,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-16,2022-08-21,33,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,daily_mean,99.86033333333333,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-16,2022-08-21,33,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,daily_variance,4982.310158333334,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-16,2022-08-21,33,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,days_open,4,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-16,2022-08-21,33,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,degrees_freedom,12.5,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-16,2022-08-21,33,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,total_catch,399.4413333333333,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-22,2022-08-28,34,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,number_observations,3,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-22,2022-08-28,34,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,daily_mean,209.86433333333332,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-22,2022-08-28,34,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,daily_variance,13806.146146333334,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-22,2022-08-28,34,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,days_open,3,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-22,2022-08-28,34,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,degrees_freedom,12.5,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-22,2022-08-28,34,weekday,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,total_catch,629.593,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-22,2022-08-28,34,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,number_observations,1,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-22,2022-08-28,34,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,daily_mean,320.833,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-22,2022-08-28,34,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,daily_variance,0,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-22,2022-08-28,34,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,days_open,1,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-22,2022-08-28,34,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,degrees_freedom,12.5,week
F2F6589E-058A-4214-ACD7-EA0467160577,District 11,Puyallup_Carbon salmon 2022,1,2022-08-22,2022-08-28,34,weekend,Bank,Chinook|Coho_Adult|Jack_AD|UM_Kept,PE,catch,total_catch,320.833,week
