"","crc_area_id","catch_area_code","catch_area_description","catch_area_region","obsolete_flag","obsolete_date"
"1","002FC0EC-71D8-4ECB-8033-0469F5A2BB70","778","Minter Creek (Pierce/Kitsap Co.)","Puget Sound",NA,NA
"2","00D3F3AD-E589-4421-A3D4-465FD2C29239","854","Sultan River","Puget Sound",NA,NA
"3","0191DABB-DD94-47DC-A7DA-3734240C7061","373","Mosquito Creek (Jefferson Co.)","Coastal Region",NA,NA
"4","01924445-ED5E-46EB-82E9-C75BDF75FA0A","592","Grande Ronde River","Columbia River",NA,NA
"5","01C9AD6B-B3FE-4DBC-BE9A-C14095CA6E6C","598","Hamilton Creek","Columbia River",NA,NA
"6","02F7917A-B36D-4B71-B982-FCDB002B6522","375","Naselle River","Coastal Region",NA,NA
"7","06598610-91C3-4F87-A0EC-19697E2073EF","734","Dosewallips River","Puget Sound",NA,NA
"8","06A6BFCA-030A-4B2B-8EE5-9A10B66AE2A6","378","Nemah River, North (above Nemah Hatchery)","Coastal Region",NA,NA
"9","074B5785-2FAD-4655-936C-C5F6645EE29B","852","Snoqualmie River","Puget Sound",NA,NA
"10","095DE666-23FA-49F5-ADD5-5C864B666AF1","388","Ozette River","Coastal Region",NA,NA
"11","0E061411-B81F-42F5-9E52-D3ABC73DB5FA","412","Quinault R, Upper (above L. Quinault)","Coastal Region",NA,NA
"12","0E0C6683-B522-4E0E-B6E2-D48F086D596F","537","Columbia R. Priest Rapids to Wanapum Dam","Columbia River",NA,NA
"13","0E615F2B-AF50-44B1-BA33-4FBCE316BC70","603","Kalama River Modrow Bridge to upper salmon hatchery","Columbia River",NA,NA
"14","10AB8E01-9302-4AA5-91B8-CFCD67B849D5","668","Washougal River WDFW Co. Line Access Site upstream","Columbia River",NA,NA
"15","114F5031-6E00-4E1B-845B-A1971C1B53B1","816","Samish River","Puget Sound",NA,NA
"16","1181BCB5-1C51-4E46-AD3E-9DEB6A311088","312","Cedar River (Pacific Co.)","Coastal Region",NA,NA
"17","11BFB399-B69B-48FE-A04B-34F375067340","339","Copalis River","Coastal Region",NA,NA
"18","11C26508-AD5C-49F8-ABE7-14EF0EB82412","834","Skokomish River (Mason Co.)","Puget Sound",NA,NA
"19","124A1701-A925-492B-A1BB-2AD3F8EBBBD4","627","Okanogan River","Columbia River",NA,NA
"20","124F8840-23FD-4AE3-B675-81B00F8E5521","501","Abernathy Creek","Columbia River",NA,NA
"21","136E6618-776E-4981-91EB-ECB52AC77A9D","762","Lake Washington","Puget Sound",NA,NA
"22","16D82491-8C3D-4E0C-92DB-4D025F8CEDA7","624","Mill Creek (Cowlitz Co.)","Columbia River",NA,NA
"23","173E02A0-B4F5-45FC-9F4A-F0417F87DA74","878","Tahuya River","Puget Sound",NA,NA
"24","1795AEDE-4A61-4023-9216-EDAB3EC38D15","577","Toutle River, So. Fork","Columbia River",NA,NA
"25","1B1977DE-DA0C-49E2-8665-7CB109E0AB7D","573","Toutle River (below forks)","Columbia River",NA,NA
"26","1B43B1E5-DC1F-4E83-AB3A-FD4203E98ABC","333","Skookumchuck River","Coastal Region",NA,NA
"27","1CB1B37E-C672-43CE-AEB5-BE033A5FCAD2","790","Nooksack River, North Fork","Puget Sound",NA,NA
"28","1E39D105-750F-466F-80CB-C9BB81856382","305","Bear River (Pacific Co.)","Coastal",NA,NA
"29","215A88F8-D727-466B-809E-28A7B472C1E6","629","Similkameen River","Columbia River",NA,NA
"30","2375DF42-B28A-4A15-A1D0-BA57DEEB6F7A","607","Klickitat River below #5 fishway","Columbia River",NA,NA
"31","24B32254-B31C-4F3B-B06C-1628CC6EFDED","549","Roosevelt Lake (Lake Roosevelt)","Columbia River",NA,NA
"32","26AD17ED-7CD5-4120-ABF2-75980AD9B0B6","842","Raging River","Puget Sound",NA,NA
"33","27A7C152-F29C-46E3-AB1B-897B2AFCBF3A","589","Germany Creek","Columbia River",NA,NA
"34","284E24E0-34B6-4D10-B01A-5BDB61E95FCC","830","Skagit River","Puget Sound",NA,NA
