data_source,catch_area_code,species,species_additional
Creel,746,Chinook,NA
Creel,746,Coho,NA
Creel,746,Pink,NA
Creel,746,Chum,NA
Creel,746,Steelhead,Summer
Creel,746,Steelhead,Summer
Creel,762,Coho,NA
Creel,763,Coho,NA
Creel,763,Chinook,NA
Creel,534,Chinook,NA
Creel,534,Sockeye,NA
Creel,535,Chinook,NA
Creel,535,Sockeye,NA
Creel,536,Chinook,NA
Creel,536,Sockeye,NA
Creel,534,Chinook,NA
Creel,535,Chinook,NA
Creel,536,Chinook,NA
Creel,690,Chinook,NA
Creel,1,Chinook,NA
Creel,1,Coho,NA
Creel,1,Pink,NA
Creel,2,Chinook,NA
Creel,2,Coho,NA
Creel,2,Pink,NA
Creel,3,Chinook,NA
Creel,3,Coho,NA
Creel,3,Pink,NA
Creel,4,Chinook,NA
Creel,4,Coho,NA
Creel,4,Pink,NA
Creel,5,Chinook,NA
Creel,5,Coho,NA
Creel,5,Pink,NA
Creel,21,Chinook,NA
Creel,21,Coho,NA
Creel,21,Pink,NA
Creel,22,Chinook,NA
Creel,22,Coho,NA
Creel,22,Pink,NA
Creel,519,Chinook,NA
Creel,519,Coho,NA
Creel,521,Chinook,NA
Creel,521,Coho,NA
Creel,521,Pink,NA
Creel,640,Steelhead,NA
Creel,642,Steelhead,NA
Creel,644,Steelhead,NA
Creel,646,Steelhead,NA
Creel,648,Steelhead,NA
Creel,650,Steelhead,NA
Creel,592,Steelhead,NA
Creel,657,Steelhead,NA
Creel,659,Steelhead,NA
Creel,653,Steelhead,NA
Creel,640,Chinook,Spring
Creel,644,Chinook,Spring
Creel,644,Chinook,Fall
Creel,648,Chinook,Fall
Creel,650,Chinook,Fall
Creel,826,Chinook,Spring
Creel,830,Chinook,Spring
Creel,830,Sockeye,NA
Creel,830,Pink,NA
Creel,830,Coho,NA
Creel,830,Steelhead,Winter
Creel,826,Pink,NA
Creel,826,Coho,NA
Creel,375,Steelhead,Winter
Creel,424,Steelhead,Winter
Creel,422,Steelhead,Winter
Creel,519,Chinook,NA
Creel,519,Coho,NA
Creel,519,Sockeye,NA
Creel,519,Steelhead,NA
Creel,521,Chinook,NA
Creel,521,Coho,NA
Creel,521,Sockeye,NA
Creel,521,Steelhead,NA
Creel,523,Chinook,NA
Creel,523,Coho,NA
Creel,523,Sockeye,NA
Creel,523,Steelhead,NA
Creel,525,Chinook,NA
Creel,525,Coho,NA
Creel,525,Sockeye,NA
Creel,525,Steelhead,NA
Creel,527,Chinook,NA
Creel,527,Coho,NA
Creel,527,Sockeye,NA
Creel,527,Steelhead,NA
Creel,529,Chinook,NA
Creel,529,Coho,NA
Creel,529,Sockeye,NA
Creel,529,Steelhead,NA
Creel,531,Chinook,NA
Creel,531,Coho,NA
Creel,531,Sockeye,NA
Creel,531,Steelhead,NA
Creel,537,Chinook,Summer
Creel,537,Sockeye,NA
Creel,537,Chinook,Fall
Creel,537,Coho,NA
Creel,539,Chinook,Summer
Creel,539,Sockeye,NA
Creel,539,Chinook,Fall
Creel,539,Coho,NA
Creel,541,Chinook,Summer
Creel,541,Sockeye,NA
Creel,541,Coho,NA
Creel,543,Chinook,Summer
Creel,543,Sockeye,NA
Creel,543,Coho,NA
Creel,545,Chinook,Summer
Creel,545,Sockeye,NA
Creel,545,Chinook,Summer
Creel,545,Sockeye,NA
Creel,670,Sockeye,NA
Creel,586,Chinook,Summer
Creel,552,Chinook,Summer
Creel,627,Chinook,Summer
Creel,629,Chinook,Summer
Creel,674,Chinook,Summer
Creel,674,Sockeye,NA
Creel,674,Chinook,Spring
Creel,672,Chinook,Spring
Creel,672,Coho,NA
Creel,786,Chinook,NA
Creel,786,Coho,NA
Creel,786,Pink,NA
Creel,804,Chinook,NA
Creel,804,Coho,NA
Creel,804,Pink,NA
Creel,802,Chinook,NA
Creel,802,Coho,NA
Creel,802,Pink,NA
Creel,358,Chinook,NA
Creel,358,Chum,NA
Creel,358,Coho,NA
Creel,317,Coho,NA
Creel,317,Chum,NA
Creel,329,Coho,NA
Creel,329,Chum,NA
Creel,5,Chinook,NA
Creel,5,Coho,NA
Creel,5,Coho,NA
Creel,5,Chinook,NA
Creel,6,Chinook,NA
Creel,6,Coho,NA
Creel,6,Coho,NA
Creel,7,Chinook,NA
Creel,7,Chinook,NA
Creel,7,Chinook,NA
Creel,7,Coho,NA
Creel,81,Coho,NA
Creel,82,Coho,NA
Creel,9,Chinook,NA
Creel,9,Chinook,NA
Creel,9,Chinook,NA
Creel,9,Coho,NA
Creel,9,Coho,NA
Creel,10,Coho,NA
Creel,10,Chinook,NA
Creel,10,Chinook,NA
Creel,10,Chinook,NA
Creel,10,Chinook,NA
Creel,11,Chinook,NA
Creel,11,Chinook,NA
Creel,11,Chinook,NA
Creel,11,Coho,NA
Creel,11,Chinook,NA
Creel,12,Chinook,NA
Creel,12,Coho,NA
Creel,13,Chinook,NA
Creel,618,Steelhead,NA
Creel,561,Chinook,NA
Creel,561,Coho,NA
Creel,561,Steelhead,Winter
Creel,350,Steelhead,NA
Creel,348,Steelhead,NA
Creel,406,Chinook,NA
Creel,406,Coho,NA
Creel,406,Steelhead,NA
Creel,402,Chinook,NA
Creel,402,Coho,NA
Creel,402,Steelhead,NA
Creel,398,Chinook,NA
Creel,398,Coho,NA
Creel,398,Steelhead,NA
Creel,400,Chinook,NA
Creel,400,Coho,NA
Creel,400,Steelhead,NA
Creel,404,Chinook,NA
Creel,404,Coho,NA
Creel,404,Steelhead,NA
Creel,844,Chinook,NA
Creel,844,Steelhead,NA
Creel,850,Coho,NA
Creel,850,Pink,NA
Creel,844,Coho,NA
Creel,844,Pink,NA
Creel,876,Coho,NA
Creel,876,Pink,NA
Creel,872,Gamefish,NA
Creel,860,Coho,NA
