water_body,river_label,note
Cowlitz River,Cowlitz R. below Mayfield Dam,vw_interview water body -> crosswalk river_label
Blue Creek (Cowlitz),Blue Creek,
North Fork Lewis River,Lewis River,Lewis River CRC 611|615 covers mainstem + North Fork
Mainstem Lewis River,Lewis River,
East Fork Lewis River,Lewis River,
Kalama River,Kalama River (mouth to Modrow Bridge),interviews not split by reach - same share applied to all three Kalama reaches
Kalama River,Kalama River (Modrow Bridge to upper salmon hatchery),
Kalama River,Kalama River (upper salmon hatchery upstream),
Wind River,Wind River,
Klickitat River,Klickitat River,
Washougal River,Washougal River,
Little White Salmon - Drano Lake,Drano Lake,has P1 design split; used for the interview-vs-design check
