river_label,p_boat,basis,source,date,notes
Samish,0,,Evan Booher,2026-09-25,small terminal hatchery system fishery
Minter Creek,0,,Evan Booher,2026-09-25,small terminal hatchery system fishery
Big Quilcene River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Tilton River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Naselle (Lower),0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Dungeness,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Willapa,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
"Nooksack River, South Fork",0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Cowlitz R. above Cowlitz Falls Dam,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Nemah,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Toutle River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
"Nooksack River, Middle Fork",0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Washougal River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Green River (Cowlitz Co),0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Wishkah River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Cispus River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
North River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Hoquiam River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Wynoochee River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Grays River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Copalis River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Johns River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Chambers Creek,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Big White Salmon River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Coal Creek (Cowlitz Co),0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Elk River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Whatcom Creek,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Salmon River (Jefferson Co),0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Methow River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Little Quilcene River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Queets River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Deschutes River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Joe Creek,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Duckabush River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Elochoman River (Foster Rd. Bridge to West Fork),0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Quinault River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Clearwater River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Smith Creek (Pacific Co),0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Quigg Lake,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Cook Creek,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
McAllister Creek,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Salmon Creek (Clark Co),0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Chinook River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Newaukum River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Cloquallum Creek,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Abernathy Creek,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Little Washougal River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Cedar Creek (Clark Co),0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Blue Creek,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Suiattle River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Elochoman River (mouth to Foster Rd. Bridge),0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Deep River (Wahkiakum Co),0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Coweeman River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Moclips River,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Mill Creek (Lewis Co),0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Olequa Creek,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Skamokawa Creek,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Hoh South Fork,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Bear River (Pacific Co),0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
Germany Creek,0,,Evan Booher,2026-09-25,uncreeled; assume bank until outside professional judgement
