fishery_name,month,combined_type,n,total,prop
Baker summer sockeye 2022,2022-07-01,Guided-Bank,0,345,0
Baker summer sockeye 2022,2022-07-01,Guided-Boat,5,345,0.014492753623188406
Baker summer sockeye 2022,2022-07-01,Unguided-Bank,1,345,0.002898550724637681
Baker summer sockeye 2022,2022-07-01,Unguided-Boat,339,345,0.9826086956521739
Baker summer sockeye 2022,2022-08-01,Guided-Bank,0,221,0
Baker summer sockeye 2022,2022-08-01,Guided-Boat,4,221,0.01809954751131222
Baker summer sockeye 2022,2022-08-01,Unguided-Bank,3,221,0.013574660633484163
Baker summer sockeye 2022,2022-08-01,Unguided-Boat,214,221,0.9683257918552036
Baker summer sockeye 2023,2023-07-01,Guided-Bank,0,336,0
Baker summer sockeye 2023,2023-07-01,Guided-Boat,3,336,0.008928571428571428
Baker summer sockeye 2023,2023-07-01,Unguided-Bank,8,336,0.023809523809523808
Baker summer sockeye 2023,2023-07-01,Unguided-Boat,325,336,0.9672619047619048
Baker summer sockeye 2023,2023-08-01,Guided-Bank,0,148,0
Baker summer sockeye 2023,2023-08-01,Guided-Boat,6,148,0.04054054054054054
Baker summer sockeye 2023,2023-08-01,Unguided-Bank,1,148,0.006756756756756757
Baker summer sockeye 2023,2023-08-01,Unguided-Boat,141,148,0.9527027027027027
Cascade fall salmon 2021,2021-09-01,Guided-Bank,0,13,0
Cascade fall salmon 2021,2021-09-01,Guided-Boat,0,13,0
Cascade fall salmon 2021,2021-09-01,Unguided-Bank,13,13,1
Cascade fall salmon 2021,2021-09-01,Unguided-Boat,0,13,0
Cascade fall salmon 2021,2021-10-01,Guided-Bank,0,59,0
Cascade fall salmon 2021,2021-10-01,Guided-Boat,0,59,0
Cascade fall salmon 2021,2021-10-01,Unguided-Bank,59,59,1
Cascade fall salmon 2021,2021-10-01,Unguided-Boat,0,59,0
Cascade fall salmon 2021,2021-11-01,Guided-Bank,0,34,0
Cascade fall salmon 2021,2021-11-01,Guided-Boat,0,34,0
Cascade fall salmon 2021,2021-11-01,Unguided-Bank,34,34,1
Cascade fall salmon 2021,2021-11-01,Unguided-Boat,0,34,0
Cascade fall salmon 2022,2022-09-01,Guided-Bank,0,19,0
Cascade fall salmon 2022,2022-09-01,Guided-Boat,0,19,0
Cascade fall salmon 2022,2022-09-01,Unguided-Bank,19,19,1
Cascade fall salmon 2022,2022-09-01,Unguided-Boat,0,19,0
Cascade fall salmon 2022,2022-10-01,Guided-Bank,0,121,0
Cascade fall salmon 2022,2022-10-01,Guided-Boat,0,121,0
Cascade fall salmon 2022,2022-10-01,Unguided-Bank,121,121,1
Cascade fall salmon 2022,2022-10-01,Unguided-Boat,0,121,0
Cascade fall salmon 2022,2022-11-01,Guided-Bank,0,42,0
Cascade fall salmon 2022,2022-11-01,Guided-Boat,0,42,0
Cascade fall salmon 2022,2022-11-01,Unguided-Bank,42,42,1
Cascade fall salmon 2022,2022-11-01,Unguided-Boat,0,42,0
Cascade fall salmon 2023,2023-09-01,Guided-Bank,0,42,0
Cascade fall salmon 2023,2023-09-01,Guided-Boat,0,42,0
Cascade fall salmon 2023,2023-09-01,Unguided-Bank,42,42,1
Cascade fall salmon 2023,2023-09-01,Unguided-Boat,0,42,0
Cascade fall salmon 2023,2023-10-01,Guided-Bank,1,158,0.006329113924050633
Cascade fall salmon 2023,2023-10-01,Guided-Boat,0,158,0
Cascade fall salmon 2023,2023-10-01,Unguided-Bank,157,158,0.9936708860759493
Cascade fall salmon 2023,2023-10-01,Unguided-Boat,0,158,0
Cascade fall salmon 2023,2023-11-01,Guided-Bank,0,73,0
Cascade fall salmon 2023,2023-11-01,Guided-Boat,0,73,0
Cascade fall salmon 2023,2023-11-01,Unguided-Bank,73,73,1
Cascade fall salmon 2023,2023-11-01,Unguided-Boat,0,73,0
Cascade fall salmon 2024,2024-09-01,Guided-Bank,0,30,0
Cascade fall salmon 2024,2024-09-01,Guided-Boat,0,30,0
Cascade fall salmon 2024,2024-09-01,Unguided-Bank,30,30,1
Cascade fall salmon 2024,2024-09-01,Unguided-Boat,0,30,0
Cascade fall salmon 2024,2024-10-01,Guided-Bank,0,135,0
Cascade fall salmon 2024,2024-10-01,Guided-Boat,0,135,0
Cascade fall salmon 2024,2024-10-01,Unguided-Bank,135,135,1
Cascade fall salmon 2024,2024-10-01,Unguided-Boat,0,135,0
Cascade fall salmon 2024,2024-11-01,Guided-Bank,0,35,0
Cascade fall salmon 2024,2024-11-01,Guided-Boat,0,35,0
Cascade fall salmon 2024,2024-11-01,Unguided-Bank,35,35,1
Cascade fall salmon 2024,2024-11-01,Unguided-Boat,0,35,0
Cascade spring Chinook 2022,2022-06-01,Guided-Bank,0,303,0
Cascade spring Chinook 2022,2022-06-01,Guided-Boat,0,303,0
Cascade spring Chinook 2022,2022-06-01,Unguided-Bank,303,303,1
Cascade spring Chinook 2022,2022-06-01,Unguided-Boat,0,303,0
Cascade spring Chinook 2022,2022-07-01,Guided-Bank,0,106,0
Cascade spring Chinook 2022,2022-07-01,Guided-Boat,0,106,0
Cascade spring Chinook 2022,2022-07-01,Unguided-Bank,106,106,1
Cascade spring Chinook 2022,2022-07-01,Unguided-Boat,0,106,0
Cascade spring Chinook 2023,2023-06-01,Guided-Bank,0,120,0
Cascade spring Chinook 2023,2023-06-01,Guided-Boat,0,120,0
Cascade spring Chinook 2023,2023-06-01,Unguided-Bank,120,120,1
Cascade spring Chinook 2023,2023-06-01,Unguided-Boat,0,120,0
Cascade spring Chinook 2023,2023-07-01,Guided-Bank,0,38,0
Cascade spring Chinook 2023,2023-07-01,Guided-Boat,0,38,0
Cascade spring Chinook 2023,2023-07-01,Unguided-Bank,38,38,1
Cascade spring Chinook 2023,2023-07-01,Unguided-Boat,0,38,0
Cascade spring Chinook 2024,2024-05-01,Guided-Bank,0,12,0
Cascade spring Chinook 2024,2024-05-01,Guided-Boat,0,12,0
Cascade spring Chinook 2024,2024-05-01,Unguided-Bank,12,12,1
Cascade spring Chinook 2024,2024-05-01,Unguided-Boat,0,12,0
Cascade spring Chinook 2024,2024-06-01,Guided-Bank,0,134,0
Cascade spring Chinook 2024,2024-06-01,Guided-Boat,0,134,0
Cascade spring Chinook 2024,2024-06-01,Unguided-Bank,134,134,1
Cascade spring Chinook 2024,2024-06-01,Unguided-Boat,0,134,0
Cascade spring Chinook 2024,2024-07-01,Guided-Bank,0,8,0
Cascade spring Chinook 2024,2024-07-01,Guided-Boat,0,8,0
Cascade spring Chinook 2024,2024-07-01,Unguided-Bank,8,8,1
Cascade spring Chinook 2024,2024-07-01,Unguided-Boat,0,8,0
Cascade winter gamefish 2021-22,2021-12-01,Guided-Bank,0,10,0
Cascade winter gamefish 2021-22,2021-12-01,Guided-Boat,0,10,0
Cascade winter gamefish 2021-22,2021-12-01,Unguided-Bank,10,10,1
Cascade winter gamefish 2021-22,2021-12-01,Unguided-Boat,0,10,0
Cascade winter gamefish 2021-22,2022-01-01,Guided-Bank,0,5,0
Cascade winter gamefish 2021-22,2022-01-01,Guided-Boat,0,5,0
Cascade winter gamefish 2021-22,2022-01-01,Unguided-Bank,5,5,1
Cascade winter gamefish 2021-22,2022-01-01,Unguided-Boat,0,5,0
Cascade winter gamefish 2023,2023-01-01,Guided-Bank,0,7,0
Cascade winter gamefish 2023,2023-01-01,Guided-Boat,0,7,0
Cascade winter gamefish 2023,2023-01-01,Unguided-Bank,7,7,1
Cascade winter gamefish 2023,2023-01-01,Unguided-Boat,0,7,0
Chehalis salmon 2022,2022-09-01,Guided-Bank,0,268,0
Chehalis salmon 2022,2022-09-01,Guided-Boat,12,268,0.04477611940298507
Chehalis salmon 2022,2022-09-01,Unguided-Bank,37,268,0.13805970149253732
Chehalis salmon 2022,2022-09-01,Unguided-Boat,219,268,0.8171641791044776
Chehalis salmon 2022,2022-10-01,Guided-Bank,0,531,0
Chehalis salmon 2022,2022-10-01,Guided-Boat,68,531,0.128060263653484
Chehalis salmon 2022,2022-10-01,Unguided-Bank,39,531,0.07344632768361582
Chehalis salmon 2022,2022-10-01,Unguided-Boat,424,531,0.7984934086629002
Chehalis salmon 2022,2022-11-01,Guided-Bank,0,72,0
Chehalis salmon 2022,2022-11-01,Guided-Boat,10,72,0.1388888888888889
Chehalis salmon 2022,2022-11-01,Unguided-Bank,6,72,0.08333333333333333
Chehalis salmon 2022,2022-11-01,Unguided-Boat,56,72,0.7777777777777778
Chehalis salmon 2022,2022-12-01,Guided-Bank,0,12,0
Chehalis salmon 2022,2022-12-01,Guided-Boat,0,12,0
Chehalis salmon 2022,2022-12-01,Unguided-Bank,12,12,1
Chehalis salmon 2022,2022-12-01,Unguided-Boat,0,12,0
Chehalis salmon 2024,2024-09-01,Guided-Bank,0,419,0
Chehalis salmon 2024,2024-09-01,Guided-Boat,8,419,0.01909307875894988
Chehalis salmon 2024,2024-09-01,Unguided-Bank,88,419,0.2100238663484487
Chehalis salmon 2024,2024-09-01,Unguided-Boat,323,419,0.7708830548926014
Chehalis salmon 2024,2024-10-01,Guided-Bank,0,570,0
Chehalis salmon 2024,2024-10-01,Guided-Boat,32,570,0.056140350877192984
Chehalis salmon 2024,2024-10-01,Unguided-Bank,211,570,0.3701754385964912
Chehalis salmon 2024,2024-10-01,Unguided-Boat,327,570,0.5736842105263158
Chehalis salmon 2024,2024-11-01,Guided-Bank,0,299,0
Chehalis salmon 2024,2024-11-01,Guided-Boat,12,299,0.04013377926421405
Chehalis salmon 2024,2024-11-01,Unguided-Bank,137,299,0.45819397993311034
Chehalis salmon 2024,2024-11-01,Unguided-Boat,150,299,0.5016722408026756
Chehalis salmon 2024,2024-12-01,Guided-Bank,0,53,0
Chehalis salmon 2024,2024-12-01,Guided-Boat,2,53,0.03773584905660377
Chehalis salmon 2024,2024-12-01,Unguided-Bank,12,53,0.22641509433962265
Chehalis salmon 2024,2024-12-01,Unguided-Boat,39,53,0.7358490566037735
Chehalis salmon 2025,2025-09-01,Guided-Bank,0,443,0
Chehalis salmon 2025,2025-09-01,Guided-Boat,8,443,0.01805869074492099
Chehalis salmon 2025,2025-09-01,Unguided-Bank,66,443,0.1489841986455982
Chehalis salmon 2025,2025-09-01,Unguided-Boat,369,443,0.8329571106094809
Chehalis salmon 2025,2025-10-01,Guided-Bank,1,600,0.0016666666666666668
