fishery_name,month,combined_type,hours,total_hours,prop
Baker summer sockeye 2022,2022-07-01,Guided-Bank,0,4812.75,0
Baker summer sockeye 2022,2022-07-01,Guided-Boat,162.05,4812.75,0.03367097813100618
Baker summer sockeye 2022,2022-07-01,Unguided-Bank,11.166666666666668,4812.75,0.0023202257891364953
Baker summer sockeye 2022,2022-07-01,Unguided-Boat,4639.533333333334,4812.75,0.9640087960798575
Baker summer sockeye 2022,2022-08-01,Guided-Bank,0,2386.383333333333,0
Baker summer sockeye 2022,2022-08-01,Guided-Boat,82.68333333333334,2386.383333333333,0.03464796798502616
Baker summer sockeye 2022,2022-08-01,Unguided-Bank,18.566666666666666,2386.383333333333,0.0077802532423541905
Baker summer sockeye 2022,2022-08-01,Unguided-Boat,2285.133333333333,2386.383333333333,0.9575717787726197
Baker summer sockeye 2023,2023-07-01,Guided-Bank,0,4250.166666666667,0
Baker summer sockeye 2023,2023-07-01,Guided-Boat,100.25,4250.166666666667,0.0235873103015568
Baker summer sockeye 2023,2023-07-01,Unguided-Bank,87.51666666666667,4250.166666666667,0.02059134935884867
Baker summer sockeye 2023,2023-07-01,Unguided-Boat,4062.4,4250.166666666667,0.9558213403395944
Baker summer sockeye 2023,2023-08-01,Guided-Bank,0,1661.4666666666667,0
Baker summer sockeye 2023,2023-08-01,Guided-Boat,106.73333333333333,1661.4666666666667,0.06424043014204317
Baker summer sockeye 2023,2023-08-01,Unguided-Bank,17.166666666666668,1661.4666666666667,0.010332236578123747
Baker summer sockeye 2023,2023-08-01,Unguided-Boat,1537.5666666666666,1661.4666666666667,0.9254273332798331
Cascade fall salmon 2021,2021-09-01,Guided-Bank,0,47.583333333333336,0
Cascade fall salmon 2021,2021-09-01,Guided-Boat,0,47.583333333333336,0
Cascade fall salmon 2021,2021-09-01,Unguided-Bank,47.583333333333336,47.583333333333336,1
Cascade fall salmon 2021,2021-09-01,Unguided-Boat,0,47.583333333333336,0
Cascade fall salmon 2021,2021-10-01,Guided-Bank,0,334.46666666666664,0
Cascade fall salmon 2021,2021-10-01,Guided-Boat,0,334.46666666666664,0
Cascade fall salmon 2021,2021-10-01,Unguided-Bank,334.46666666666664,334.46666666666664,1
Cascade fall salmon 2021,2021-10-01,Unguided-Boat,0,334.46666666666664,0
Cascade fall salmon 2021,2021-11-01,Guided-Bank,0,113.73333333333333,0
Cascade fall salmon 2021,2021-11-01,Guided-Boat,0,113.73333333333333,0
Cascade fall salmon 2021,2021-11-01,Unguided-Bank,113.73333333333333,113.73333333333333,1
Cascade fall salmon 2021,2021-11-01,Unguided-Boat,0,113.73333333333333,0
Cascade fall salmon 2022,2022-09-01,Guided-Bank,0,131.46666666666667,0
Cascade fall salmon 2022,2022-09-01,Guided-Boat,0,131.46666666666667,0
Cascade fall salmon 2022,2022-09-01,Unguided-Bank,131.46666666666667,131.46666666666667,1
Cascade fall salmon 2022,2022-09-01,Unguided-Boat,0,131.46666666666667,0
Cascade fall salmon 2022,2022-10-01,Guided-Bank,0,751.1166666666667,0
Cascade fall salmon 2022,2022-10-01,Guided-Boat,0,751.1166666666667,0
Cascade fall salmon 2022,2022-10-01,Unguided-Bank,751.1166666666667,751.1166666666667,1
Cascade fall salmon 2022,2022-10-01,Unguided-Boat,0,751.1166666666667,0
Cascade fall salmon 2022,2022-11-01,Guided-Bank,0,287.15,0
Cascade fall salmon 2022,2022-11-01,Guided-Boat,0,287.15,0
Cascade fall salmon 2022,2022-11-01,Unguided-Bank,287.15,287.15,1
Cascade fall salmon 2022,2022-11-01,Unguided-Boat,0,287.15,0
Cascade fall salmon 2023,2023-09-01,Guided-Bank,0,379.3666666666667,0
Cascade fall salmon 2023,2023-09-01,Guided-Boat,0,379.3666666666667,0
Cascade fall salmon 2023,2023-09-01,Unguided-Bank,379.3666666666667,379.3666666666667,1
