fishery_name,total_interviews,Guided-Bank_n,Guided-Boat_n,Unguided-Bank_n,Unguided-Boat_n,Guided-Bank_prop,Guided-Boat_prop,Unguided-Bank_prop,Unguided-Boat_prop,hrs_Guided-Bank,hrs_Guided-Boat,hrs_Unguided-Bank,hrs_Unguided-Boat
Baker summer sockeye 2022,566,0,9,4,553,0,0.015901060070671377,0.007067137809187279,0.9770318021201413,0,0.03399483271134489,0.004130126774519155,0.961875040514136
Baker summer sockeye 2023,484,0,9,9,466,0,0.01859504132231405,0.01859504132231405,0.9628099173553719,0,0.03501288420008007,0.01770802203564723,0.9472790937642727
Cascade fall salmon 2021,106,0,0,106,0,0,0,1,0,0,0,1,0
Cascade fall salmon 2022,182,0,0,182,0,0,0,1,0,0,0,1,0
Cascade fall salmon 2023,273,1,0,272,0,0.003663003663003663,0,0.99633699633699635,0,0.0032223009685802034,0,0.9967776990314198,0
Cascade fall salmon 2024,200,0,0,200,0,0,0,1,0,0,0,1,0
Cascade spring Chinook 2022,409,0,0,409,0,0,0,1,0,0,0,1,0
Cascade spring Chinook 2023,158,0,0,158,0,0,0,1,0,0,0,1,0
Cascade spring Chinook 2024,154,0,0,154,0,0,0,1,0,0,0,1,0
Cascade winter gamefish 2021-22,15,0,0,15,0,0,0,1,0,0,0,1,0
Cascade winter gamefish 2023,7,0,0,7,0,0,0,1,0,0,0,1,0
Chehalis salmon 2022,883,0,90,94,699,0,0.10192525481313704,0.10645526613816535,0.7916194790486977,0,0.1975158733836956,0.05162348797330491,0.7508606386429996
Chehalis salmon 2024,1341,0,54,448,839,0,0.040268456375838924,0.3340790454884415,0.6256524981357197,0,0.10094582402256885,0.1339823231847811,0.7650718527926501
Chehalis salmon 2025,1355,1,77,338,939,7.380073800738007e-4,0.05682656826568266,0.24944649446494466,0.6929889298892989,0.0010503598532857355,0.13967685328993712,0.09404501982379163,0.7652277670329855
Chehalis winter steelhead 2024-25,377,0,14,159,204,0,0.03713527851458886,0.4217506631299735,0.5411140583554377,0,0.08762274738318765,0.2033190778824692,0.7090581747343432
Chehalis winter steelhead 2025-26,57,0,3,11,43,0,0.05263157894736842,0.19298245614035087,0.7543859649122807,0,0.1308850052863984,0.09434666334971079,0.7747683313638908
Drano Lake salmon and steelhead 2023,979,0,118,101,760,0,0.1205311542390194,0.10316649642492338,0.7763023493360572,0,0.22074064475615437,0.033625800213805665,0.7456335550300399
Drano Lake salmon and steelhead 2024,1010,1,119,155,735,9.900990099009901e-4,0.11782178217821782,0.15346534653465346,0.7277227722772277,0.003389005739325682,0.23480474312596256,0.05446122342613166,0.7073450277085801
Drano Lake salmon and steelhead 2025,966,0,122,249,595,0,0.12629399585921325,0.2577639751552795,0.6159420289855072,0,0.23963151821203482,0.11111659055716101,0.6492518912308041
Drano Lake salmon and steelhead 2026,70,0,0,16,54,0,0,0.22857142857142856,0.7714285714285715,0,0,0.06945729263028061,0.9305427073697194
Drano Lake spring Chinook 2026,833,0,145,174,514,0,0.17406962785114047,0.20888355342136855,0.617046818727491,0,0.39720252882266605,0.07411690877879025,0.5286805623985437
Hoh fall salmon 2023,62,2,10,40,10,0.03225806451612903,0.16129032258064516,0.6451612903225806,0.16129032258064516,0.04205658206135875,0.23290704995983239,0.4522439585730725,0.2727924094057364
Hoh fall salmon 2025,214,0,50,113,51,0,0.2336448598130841,0.5280373831775701,0.2383177570093458,0,0.40075570520014964,0.23147025813692482,0.3677740366629256
Hoh winter steelhead 2022-23,666,175,6,480,5,0.2627627627627628,0.009009009009009009,0.7207207207207207,0.0075075075075075074,0.3897011019825506,0.014180245753908301,0.5850016542463231,0.011116998017218044
Hoh winter steelhead 2023-24,756,105,115,436,100,0.1388888888888889,0.15211640211640212,0.5767195767195767,0.13227513227513227,0.16491957171989213,0.1994068003203975,0.45743124804104807,0.1782423799186624
Hoh winter steelhead 2024-25,553,73,115,265,100,0.13200723327305605,0.20795660036166366,0.47920433996383366,0.18083182640144665,0.16716700189126715,0.2218846627240251,0.3292756146618234,0.28167272072288435
Hoh winter steelhead 2025-26,771,66,183,395,127,0.08560311284046693,0.23735408560311283,0.5123216601815823,0.16472114137483787,0.11058794882011777,0.2663567538849781,0.3844069597556116,0.23864833753929252
Humptulips salmon 2020,845,0,153,442,250,0,0.18106508875739644,0.5230769230769231,0.2958579881656805,0,0.2797034101210393,0.3253935507964378,0.394903039082523
Humptulips salmon 2021,723,1,94,384,244,0.0013831258644536654,0.13001383125864455,0.5311203319502075,0.33748271092669435,0.002546076548535131,0.211621833262609,0.2731170189030872,0.5127150712857687
Humptulips salmon 2022,669,1,50,450,168,0.0014947683109118087,0.07473841554559044,0.672645739910314,0.25112107623318386,0.002471789360558839,0.14435727506119767,0.4145393754851036,0.43863156009313986
Humptulips salmon 2023,868,4,69,563,232,0.004608294930875576,0.07949308755760369,0.6486175115207373,0.2672811059907834,0.005652305877367296,0.14485059854120494,0.37918745001021265,0.470309645571215
Humptulips salmon 2024,901,3,64,644,190,0.003329633740288568,0.07103218645948946,0.7147613762486127,0.21087680355160932,0.004436223016464247,0.15373396054272584,0.45573193494655606,0.3860978814942538
Humptulips salmon 2025,910,2,40,691,177,0.002197802197802198,0.04395604395604396,0.7593406593406593,0.1945054945054945,0.0028987345212105847,0.0964440680115587,0.5265415379598344,0.37411565950739634
Humptulips winter steelhead 2024-25,365,1,13,307,44,0.0027397260273972603,0.03561643835616438,0.8410958904109589,0.12054794520547946,0.0010936808062373354,0.09372777412471987,0.6439632845314618,0.26121526053758104
Humptulips winter steelhead 2025-26,535,1,16,454,64,0.001869158878504673,0.029906542056074768,0.8485981308411215,0.11962616822429907,1.727170667187848e-4,0.08093158131564952,0.6528250603373437,0.26607064128028796
Lower Chehalis salmon 2023,743,0,9,227,507,0,0.012113055181695828,0.30551816958277256,0.6823687752355316,0,0.04128191046668969,0.12043741896765502,0.8382806705656554
Lower Cowlitz salmon and steelhead 2022-23,309,0,119,26,164,0,0.3851132686084142,0.08414239482200647,0.5307443365695793,0,0.6534105140887909,0.01912177989171573,0.3274677060194933
Lower Cowlitz salmon and steelhead 2023-24,1816,4,259,1341,212,0.0022026431718061676,0.14262114537444934,0.7384361233480177,0.11674008810572688,0.00485601061385177,0.39727176990988433,0.42772107614590765,0.17015114333035614
Naselle winter steelhead 2022,166,0,2,162,2,0,0.012048192771084338,0.9759036144578314,0.012048192771084338,0,0.0321808730093242,0.9480567703605908,0.01976235663008499
Naselle winter steelhead 2022-23,201,0,0,201,0,0,0,1,0,0,0,1,0
Naselle winter steelhead 2023-24,311,2,3,270,36,0.006430868167202572,0.00964630225080386,0.8681672025723473,0.1157556270096463,0.0125653203114532,0.029902187020798287,0.726011999583141,0.23152049308460748
Nooksack fall salmon 2023,27,0,0,23,4,0,0,0.8518518518518519,0.14814814814814814,0,0,0.6766646670665867,0.3233353329334133
Nooksack fall salmon 2024,58,0,0,55,3,0,0,0.9482758620689655,0.05172413793103448,0,0,0.7865621500559911,0.21343784994400897
Nooksack spring Chinook 2022,160,0,0,156,4,0,0,0.975,0.025,0,0,0.943112006684032,0.05688799331596796
Nooksack spring Chinook 2026,236,0,2,212,22,0,0.00847457627118644,0.8983050847457628,0.09322033898305085,0,0.028458110152512577,0.7450014310831256,0.22654045876436193
Nooksack winter gamefish 2021-22,254,0,0,208,46,0,0,0.8188976377952756,0.18110236220472442,0,0,0.5830176064185425,0.4169823935814576
Nooksack winter gamefish 2022-23,293,2,1,248,42,0.006825938566552901,0.0034129692832764505,0.8464163822525598,0.14334470989761092,0.01852041528935239,0.005977931933516458,0.6737743842823223,0.30172726849480885
Post Quillayute winter steelhead 2023-24,339,45,118,78,98,0.13274336283185842,0.3480825958702065,0.23008849557522124,0.2890855457227139,0.1455061900423388,0.3582650016971256,0.14533469103381746,0.3508941172267181
Pre Quillayute winter steelhead 2023-24,125,15,40,45,25,0.12,0.32,0.36,0.2,0.1399944076801193,0.37280967471339355,0.24093578152670334,0.24626013607978375
Puyallup Carbon salmon 2024,1,0,0,0,1,0,0,0,1,0,0,0,1
Queets winter steelhead 2024-25,59,2,5,36,16,0.03389830508474576,0.0847457627118644,0.6101694915254238,0.2711864406779661,0.03303899728924555,0.12107141898601681,0.38299471268686763,0.46289487103787
Queets winter steelhead 2025-26,40,3,2,27,8,0.075,0.05,0.675,0.2,0.10567727490804414,0.07695506157044618,0.5167439628978091,0.3006237006237007
Quillayute fall salmon 2022,379,4,47,228,100,0.010554089709762533,0.12401055408970976,0.6015831134564644,0.2638522427440633,0.016551838288539917,0.19278753646576874,0.4152111393871682,0.37544948585852317
Quillayute fall salmon 2023,317,0,31,220,66,0,0.09779179810725552,0.694006309148265,0.2082018927444795,0,0.19281954408456084,0.5292110625291845,0.27796939338625465
Quillayute fall salmon 2024,662,6,96,420,140,0.00906344410876133,0.14501510574018128,0.6344410876132931,0.21148036253776434,0.011520193737084905,0.22747053155475716,0.4411100088966707,0.3198992658114872
Quillayute fall salmon 2025,606,3,65,401,137,0.0049504950495049506,0.10726072607260725,0.6617161716171617,0.22607260726072606,0.005639453571983556,0.1803297215590433,0.5009083588794553,0.3131224659895178
Quillayute spring chinook 2025,140,2,49,56,33,0.014285714285714285,0.35,0.4,0.2357142857142857,0.01127760335177932,0.46617244022555204,0.18067266598763032,0.3418772904350383
Quillayute spring chinook 2026,133,2,27,68,36,0.015037593984962405,0.20300751879699247,0.5112781954887218,0.2706766917293233,0.019023278803148847,0.3460958879338405,0.1872310159009536,0.4476498173620571
Quillayute winter steelhead 2022-23,248,47,65,98,38,0.18951612903225806,0.2620967741935484,0.3951612903225806,0.1532258064516129,0.23014174697922868,0.2949871017220944,0.2799167645434117,0.19495438675526525
Quillayute winter steelhead 2024-25,751,75,191,350,135,0.09986684420772303,0.25432756324900135,0.46604527296937415,0.17976031957390146,0.1330049261083744,0.3320801420283479,0.3023879515877089,0.23252698027556878
Quillayute winter steelhead 2025-26,1074,72,214,583,205,0.0670391061452514,0.19925512104283055,0.542830540037244,0.1908752327746741,0.10064228881618084,0.2685513954987111,0.35482041939321834,0.27598589629188974
Quinault winter steelhead 2024-25,46,1,9,27,9,0.021739130434782608,0.1956521739130435,0.5869565217391305,0.1956521739130435,0.013159993619397034,0.293986281703621,0.44105918009251877,0.2517945445844632
Quinault winter steelhead 2025-26,20,0,0,16,4,0,0,0.8,0.2,0,0,0.65576171875,0.34423828125
Satsop salmon 2022,327,0,5,229,93,0,0.01529051987767584,0.7003058103975535,0.28440366972477066,0,0.03169518289818489,0.49403168386319,0.4742731332386251
Satsop salmon 2023,367,0,8,262,97,0,0.021798365122615803,0.7138964577656676,0.26430517711171664,0,0.053710283450444415,0.490725710328857,0.4555640062206986
Satsop salmon 2024,475,0,9,341,125,0,0.018947368421052633,0.7178947368421053,0.2631578947368421,0,0.054101035360851465,0.5413953736600541,0.40450359097909455
Satsop salmon 2025,330,0,19,210,101,0,0.05757575757575758,0.6363636363636364,0.30606060606060603,0,0.11593296579719686,0.4249376011410077,0.45912943306179543
Satsop winter steelhead 2024-25,342,0,11,181,150,0,0.03216374269005848,0.5292397660818714,0.43859649122807015,0,0.08492973343105212,0.30271597541338785,0.6123542911555601
Satsop winter steelhead 2025-26,161,0,11,88,62,0,0.06832298136645963,0.546583850931677,0.38509316770186336,0,0.20051826258637706,0.22533316880552814,0.5741485686080947
Skagit fall salmon 2021,891,0,11,558,322,0,0.012345679012345678,0.6262626262626263,0.3613916947250281,0,0.04025505437903343,0.39383447176489744,0.5659104738560691
