fishery_name,week,combined_type,n,total,prop
Baker summer sockeye 2022,2022-07-10,Guided-Bank,0,104,0
Baker summer sockeye 2022,2022-07-10,Guided-Boat,2,104,0.019230769230769232
Baker summer sockeye 2022,2022-07-10,Unguided-Bank,1,104,0.009615384615384616
Baker summer sockeye 2022,2022-07-10,Unguided-Boat,101,104,0.9711538461538461
Baker summer sockeye 2022,2022-07-17,Guided-Bank,0,138,0
Baker summer sockeye 2022,2022-07-17,Guided-Boat,2,138,0.014492753623188406
Baker summer sockeye 2022,2022-07-17,Unguided-Bank,0,138,0
Baker summer sockeye 2022,2022-07-17,Unguided-Boat,136,138,0.9855072463768116
Baker summer sockeye 2022,2022-07-24,Guided-Bank,0,71,0
Baker summer sockeye 2022,2022-07-24,Guided-Boat,1,71,0.014084507042253521
Baker summer sockeye 2022,2022-07-24,Unguided-Bank,0,71,0
Baker summer sockeye 2022,2022-07-24,Unguided-Boat,70,71,0.9859154929577465
Baker summer sockeye 2022,2022-07-31,Guided-Bank,0,96,0
Baker summer sockeye 2022,2022-07-31,Guided-Boat,1,96,0.010416666666666666
Baker summer sockeye 2022,2022-07-31,Unguided-Bank,0,96,0
Baker summer sockeye 2022,2022-07-31,Unguided-Boat,95,96,0.9895833333333334
Baker summer sockeye 2022,2022-08-07,Guided-Bank,0,73,0
Baker summer sockeye 2022,2022-08-07,Guided-Boat,0,73,0
Baker summer sockeye 2022,2022-08-07,Unguided-Bank,0,73,0
Baker summer sockeye 2022,2022-08-07,Unguided-Boat,73,73,1
Baker summer sockeye 2022,2022-08-14,Guided-Bank,0,46,0
Baker summer sockeye 2022,2022-08-14,Guided-Boat,3,46,0.06521739130434782
Baker summer sockeye 2022,2022-08-14,Unguided-Bank,0,46,0
Baker summer sockeye 2022,2022-08-14,Unguided-Boat,43,46,0.9347826086956522
Baker summer sockeye 2022,2022-08-21,Guided-Bank,0,30,0
Baker summer sockeye 2022,2022-08-21,Guided-Boat,0,30,0
Baker summer sockeye 2022,2022-08-21,Unguided-Bank,2,30,0.06666666666666667
Baker summer sockeye 2022,2022-08-21,Unguided-Boat,28,30,0.9333333333333333
Baker summer sockeye 2022,2022-08-28,Guided-Bank,0,8,0
Baker summer sockeye 2022,2022-08-28,Guided-Boat,0,8,0
Baker summer sockeye 2022,2022-08-28,Unguided-Bank,1,8,0.125
Baker summer sockeye 2022,2022-08-28,Unguided-Boat,7,8,0.875
Baker summer sockeye 2023,2023-07-16,Guided-Bank,0,201,0
Baker summer sockeye 2023,2023-07-16,Guided-Boat,2,201,0.009950248756218905
Baker summer sockeye 2023,2023-07-16,Unguided-Bank,6,201,0.029850746268656716
Baker summer sockeye 2023,2023-07-16,Unguided-Boat,193,201,0.9601990049751243
Baker summer sockeye 2023,2023-07-23,Guided-Bank,0,104,0
Baker summer sockeye 2023,2023-07-23,Guided-Boat,1,104,0.009615384615384616
Baker summer sockeye 2023,2023-07-23,Unguided-Bank,2,104,0.019230769230769232
Baker summer sockeye 2023,2023-07-23,Unguided-Boat,101,104,0.9711538461538461
Baker summer sockeye 2023,2023-07-30,Guided-Bank,0,89,0
Baker summer sockeye 2023,2023-07-30,Guided-Boat,2,89,0.02247191011235955
Baker summer sockeye 2023,2023-07-30,Unguided-Bank,0,89,0
Baker summer sockeye 2023,2023-07-30,Unguided-Boat,87,89,0.9775280898876404
Baker summer sockeye 2023,2023-08-06,Guided-Bank,0,73,0
Baker summer sockeye 2023,2023-08-06,Guided-Boat,4,73,0.0547945205479452
Baker summer sockeye 2023,2023-08-06,Unguided-Bank,0,73,0
Baker summer sockeye 2023,2023-08-06,Unguided-Boat,69,73,0.9452054794520548
Baker summer sockeye 2023,2023-08-13,Guided-Bank,0,17,0
Baker summer sockeye 2023,2023-08-13,Guided-Boat,0,17,0
Baker summer sockeye 2023,2023-08-13,Unguided-Bank,1,17,0.058823529411764705
Baker summer sockeye 2023,2023-08-13,Unguided-Boat,16,17,0.9411764705882353
Cascade fall salmon 2021,2021-09-19,Guided-Bank,0,7,0
Cascade fall salmon 2021,2021-09-19,Guided-Boat,0,7,0
Cascade fall salmon 2021,2021-09-19,Unguided-Bank,7,7,1
Cascade fall salmon 2021,2021-09-19,Unguided-Boat,0,7,0
Cascade fall salmon 2021,2021-09-26,Guided-Bank,0,14,0
Cascade fall salmon 2021,2021-09-26,Guided-Boat,0,14,0
Cascade fall salmon 2021,2021-09-26,Unguided-Bank,14,14,1
Cascade fall salmon 2021,2021-09-26,Unguided-Boat,0,14,0
Cascade fall salmon 2021,2021-10-03,Guided-Bank,0,10,0
Cascade fall salmon 2021,2021-10-03,Guided-Boat,0,10,0
Cascade fall salmon 2021,2021-10-03,Unguided-Bank,10,10,1
Cascade fall salmon 2021,2021-10-03,Unguided-Boat,0,10,0
Cascade fall salmon 2021,2021-10-10,Guided-Bank,0,13,0
Cascade fall salmon 2021,2021-10-10,Guided-Boat,0,13,0
Cascade fall salmon 2021,2021-10-10,Unguided-Bank,13,13,1
Cascade fall salmon 2021,2021-10-10,Unguided-Boat,0,13,0
Cascade fall salmon 2021,2021-10-17,Guided-Bank,0,17,0
Cascade fall salmon 2021,2021-10-17,Guided-Boat,0,17,0
Cascade fall salmon 2021,2021-10-17,Unguided-Bank,17,17,1
Cascade fall salmon 2021,2021-10-17,Unguided-Boat,0,17,0
Cascade fall salmon 2021,2021-10-24,Guided-Bank,0,6,0
Cascade fall salmon 2021,2021-10-24,Guided-Boat,0,6,0
Cascade fall salmon 2021,2021-10-24,Unguided-Bank,6,6,1
Cascade fall salmon 2021,2021-10-24,Unguided-Boat,0,6,0
Cascade fall salmon 2021,2021-10-31,Guided-Bank,0,16,0
Cascade fall salmon 2021,2021-10-31,Guided-Boat,0,16,0
Cascade fall salmon 2021,2021-10-31,Unguided-Bank,16,16,1
Cascade fall salmon 2021,2021-10-31,Unguided-Boat,0,16,0
Cascade fall salmon 2021,2021-11-07,Guided-Bank,0,5,0
Cascade fall salmon 2021,2021-11-07,Guided-Boat,0,5,0
Cascade fall salmon 2021,2021-11-07,Unguided-Bank,5,5,1
Cascade fall salmon 2021,2021-11-07,Unguided-Boat,0,5,0
Cascade fall salmon 2021,2021-11-14,Guided-Bank,0,10,0
Cascade fall salmon 2021,2021-11-14,Guided-Boat,0,10,0
Cascade fall salmon 2021,2021-11-14,Unguided-Bank,10,10,1
Cascade fall salmon 2021,2021-11-14,Unguided-Boat,0,10,0
Cascade fall salmon 2021,2021-11-21,Guided-Bank,0,7,0
Cascade fall salmon 2021,2021-11-21,Guided-Boat,0,7,0
Cascade fall salmon 2021,2021-11-21,Unguided-Bank,7,7,1
Cascade fall salmon 2021,2021-11-21,Unguided-Boat,0,7,0
Cascade fall salmon 2021,2021-11-28,Guided-Bank,0,1,0
Cascade fall salmon 2021,2021-11-28,Guided-Boat,0,1,0
Cascade fall salmon 2021,2021-11-28,Unguided-Bank,1,1,1
Cascade fall salmon 2021,2021-11-28,Unguided-Boat,0,1,0
Cascade fall salmon 2022,2022-09-18,Guided-Bank,0,8,0
Cascade fall salmon 2022,2022-09-18,Guided-Boat,0,8,0
Cascade fall salmon 2022,2022-09-18,Unguided-Bank,8,8,1
Cascade fall salmon 2022,2022-09-18,Unguided-Boat,0,8,0
Cascade fall salmon 2022,2022-09-25,Guided-Bank,0,21,0
Cascade fall salmon 2022,2022-09-25,Guided-Boat,0,21,0
Cascade fall salmon 2022,2022-09-25,Unguided-Bank,21,21,1
Cascade fall salmon 2022,2022-09-25,Unguided-Boat,0,21,0
Cascade fall salmon 2022,2022-10-02,Guided-Bank,0,30,0
Cascade fall salmon 2022,2022-10-02,Guided-Boat,0,30,0
Cascade fall salmon 2022,2022-10-02,Unguided-Bank,30,30,1
Cascade fall salmon 2022,2022-10-02,Unguided-Boat,0,30,0
Cascade fall salmon 2022,2022-10-09,Guided-Bank,0,38,0
Cascade fall salmon 2022,2022-10-09,Guided-Boat,0,38,0
Cascade fall salmon 2022,2022-10-09,Unguided-Bank,38,38,1
Cascade fall salmon 2022,2022-10-09,Unguided-Boat,0,38,0
Cascade fall salmon 2022,2022-10-16,Guided-Bank,0,25,0
Cascade fall salmon 2022,2022-10-16,Guided-Boat,0,25,0
Cascade fall salmon 2022,2022-10-16,Unguided-Bank,25,25,1
Cascade fall salmon 2022,2022-10-16,Unguided-Boat,0,25,0
Cascade fall salmon 2022,2022-10-23,Guided-Bank,0,14,0
Cascade fall salmon 2022,2022-10-23,Guided-Boat,0,14,0
Cascade fall salmon 2022,2022-10-23,Unguided-Bank,14,14,1
Cascade fall salmon 2022,2022-10-23,Unguided-Boat,0,14,0
Cascade fall salmon 2022,2022-10-30,Guided-Bank,0,13,0
Cascade fall salmon 2022,2022-10-30,Guided-Boat,0,13,0
Cascade fall salmon 2022,2022-10-30,Unguided-Bank,13,13,1
Cascade fall salmon 2022,2022-10-30,Unguided-Boat,0,13,0
Cascade fall salmon 2022,2022-11-06,Guided-Bank,0,12,0
