fishery_name,guided_status,n,total,prop
Baker summer sockeye 2022,Guided,9,566,0.015901060070671377
Baker summer sockeye 2022,Unguided,557,566,0.9840989399293286
Baker summer sockeye 2023,Guided,9,485,0.018556701030927835
Baker summer sockeye 2023,Unguided,476,485,0.9814432989690721
Cascade fall salmon 2021,Unguided,106,106,1
Cascade fall salmon 2022,Unguided,182,182,1
Cascade fall salmon 2023,Guided,1,273,0.003663003663003663
Cascade fall salmon 2023,Unguided,272,273,0.99633699633699635
Cascade fall salmon 2024,Unguided,200,200,1
Cascade spring Chinook 2022,Unguided,411,411,1
Cascade spring Chinook 2023,Unguided,158,158,1
Cascade spring Chinook 2024,Unguided,154,154,1
Cascade winter gamefish 2021-22,Unguided,15,15,1
Cascade winter gamefish 2023,Unguided,7,7,1
Chehalis salmon 2022,Guided,90,883,0.10192525481313704
Chehalis salmon 2022,Unguided,793,883,0.8980747451868629
Chehalis salmon 2024,Guided,54,1341,0.040268456375838924
Chehalis salmon 2024,Unguided,1287,1341,0.959731543624161
Chehalis salmon 2025,Guided,78,1355,0.057564575645756455
Chehalis salmon 2025,Unguided,1277,1355,0.9424354243542435
Chehalis winter steelhead 2024-25,Guided,14,377,0.03713527851458886
Chehalis winter steelhead 2024-25,Unguided,363,377,0.9628647214854111
Chehalis winter steelhead 2025-26,Guided,3,57,0.05263157894736842
Chehalis winter steelhead 2025-26,Unguided,54,57,0.9473684210526315
Drano Lake salmon and steelhead 2023,Guided,118,979,0.1205311542390194
Drano Lake salmon and steelhead 2023,Unguided,861,979,0.8794688457609806
Drano Lake salmon and steelhead 2024,Guided,120,1010,0.1188118811881188
Drano Lake salmon and steelhead 2024,Unguided,890,1010,0.8811881188118812
Drano Lake salmon and steelhead 2025,Guided,122,966,0.12629399585921325
Drano Lake salmon and steelhead 2025,Unguided,844,966,0.8737060041407867
Drano Lake salmon and steelhead 2026,Unguided,70,70,1
Drano Lake spring Chinook 2026,Guided,145,833,0.17406962785114047
Drano Lake spring Chinook 2026,Unguided,688,833,0.8259303721488596
Hoh fall salmon 2023,Guided,12,62,0.1935483870967742
Hoh fall salmon 2023,Unguided,50,62,0.8064516129032258
Hoh fall salmon 2025,Guided,50,214,0.2336448598130841
Hoh fall salmon 2025,Unguided,164,214,0.7663551401869159
Hoh winter steelhead 2022-23,Guided,181,666,0.27177177177177175
Hoh winter steelhead 2022-23,Unguided,485,666,0.7282282282282282
Hoh winter steelhead 2023-24,Guided,220,756,0.291005291005291
Hoh winter steelhead 2023-24,Unguided,536,756,0.708994708994709
Hoh winter steelhead 2024-25,Guided,188,553,0.3399638336347197
Hoh winter steelhead 2024-25,Unguided,365,553,0.6600361663652803
Hoh winter steelhead 2025-26,Guided,249,771,0.3229571984435798
Hoh winter steelhead 2025-26,Unguided,522,771,0.6770428015564203
Humptulips salmon 2020,Guided,153,845,0.18106508875739644
Humptulips salmon 2020,Unguided,692,845,0.8189349112426035
Humptulips salmon 2021,Guided,95,723,0.1313969571230982
Humptulips salmon 2021,Unguided,628,723,0.8686030428769018
Humptulips salmon 2022,Guided,51,669,0.07623318385650224
Humptulips salmon 2022,Unguided,618,669,0.9237668161434978
