fishery_name,week,guided_status,hours,total_hours,prop
Baker summer sockeye 2022,2022-07-10,Guided,70.55,1403.7,0.05026002707131153
Baker summer sockeye 2022,2022-07-10,Unguided,1333.15,1403.7,0.9497399729286885
Baker summer sockeye 2022,2022-07-17,Guided,77.33333333333334,2054.883333333333,0.0376339289335161
Baker summer sockeye 2022,2022-07-17,Unguided,1977.55,2054.883333333333,0.962366071066484
Baker summer sockeye 2022,2022-07-24,Guided,14.166666666666666,907.4499999999999,0.015611512112696752
Baker summer sockeye 2022,2022-07-24,Unguided,893.2833333333333,907.4499999999999,0.9843884878873033
Baker summer sockeye 2022,2022-07-31,Guided,19.900000000000002,1162.3666666666668,0.017120243182013706
Baker summer sockeye 2022,2022-07-31,Unguided,1142.4666666666667,1162.3666666666668,0.9828797568179862
Baker summer sockeye 2022,2022-08-07,Unguided,818.1166666666667,818.1166666666667,1
Baker summer sockeye 2022,2022-08-14,Guided,62.78333333333333,575.6666666666666,0.10906195715112912
Baker summer sockeye 2022,2022-08-14,Unguided,512.8833333333333,575.6666666666666,0.8909380428488709
Baker summer sockeye 2022,2022-08-21,Unguided,224.05,224.05,1
Baker summer sockeye 2022,2022-08-28,Unguided,52.9,52.9,1
Baker summer sockeye 2023,2023-07-16,Guided,64.25,2671.0833333333335,0.02405391071038592
Baker summer sockeye 2023,2023-07-16,Unguided,2606.8333333333335,2671.0833333333335,0.9759460892896141
Baker summer sockeye 2023,2023-07-23,Guided,36,1319.15,0.027290300572338246
Baker summer sockeye 2023,2023-07-23,Unguided,1283.15,1319.15,0.9727096994276617
Baker summer sockeye 2023,2023-07-30,Guided,27.366666666666667,1011.6166666666667,0.027052407862003063
Baker summer sockeye 2023,2023-07-30,Unguided,984.25,1011.6166666666667,0.972947592137997
Baker summer sockeye 2023,2023-08-06,Guided,79.36666666666667,806.0166666666667,0.09846777361923865
Baker summer sockeye 2023,2023-08-06,Unguided,726.65,806.0166666666667,0.9015322263807614
Baker summer sockeye 2023,2023-08-13,Unguided,131.76666666666668,131.76666666666668,1
Cascade fall salmon 2021,2021-09-19,Unguided,26.55,26.55,1
Cascade fall salmon 2021,2021-09-26,Unguided,69.58333333333333,69.58333333333333,1
Cascade fall salmon 2021,2021-10-03,Unguided,67.78333333333333,67.78333333333333,1
Cascade fall salmon 2021,2021-10-10,Unguided,87.06666666666666,87.06666666666666,1
Cascade fall salmon 2021,2021-10-17,Unguided,81.23333333333333,81.23333333333333,1
Cascade fall salmon 2021,2021-10-24,Unguided,26.366666666666667,26.366666666666667,1
Cascade fall salmon 2021,2021-10-31,Unguided,70.6,70.6,1
Cascade fall salmon 2021,2021-11-07,Unguided,24.583333333333336,24.583333333333336,1
Cascade fall salmon 2021,2021-11-14,Unguided,18.233333333333334,18.233333333333334,1
Cascade fall salmon 2021,2021-11-21,Unguided,21.900000000000002,21.900000000000002,1
Cascade fall salmon 2021,2021-11-28,Unguided,1.8833333333333333,1.8833333333333333,1
Cascade fall salmon 2022,2022-09-18,Unguided,47,47,1
Cascade fall salmon 2022,2022-09-25,Unguided,152.56666666666666,152.56666666666666,1
Cascade fall salmon 2022,2022-10-02,Unguided,232.31666666666666,232.31666666666666,1
Cascade fall salmon 2022,2022-10-09,Unguided,202.75,202.75,1
Cascade fall salmon 2022,2022-10-16,Unguided,157.35,157.35,1
Cascade fall salmon 2022,2022-10-23,Unguided,58.766666666666666,58.766666666666666,1
Cascade fall salmon 2022,2022-10-30,Unguided,131.06666666666666,131.06666666666666,1
Cascade fall salmon 2022,2022-11-06,Unguided,88.63333333333333,88.63333333333333,1
Cascade fall salmon 2022,2022-11-13,Unguided,75.78333333333333,75.78333333333333,1
Cascade fall salmon 2022,2022-11-20,Unguided,6.766666666666667,6.766666666666667,1
Cascade fall salmon 2022,2022-11-27,Unguided,16.733333333333334,16.733333333333334,1
Cascade fall salmon 2023,2023-09-10,Unguided,27.96666666666667,27.96666666666667,1
Cascade fall salmon 2023,2023-09-17,Unguided,34.86666666666667,34.86666666666667,1
Cascade fall salmon 2023,2023-09-24,Unguided,316.53333333333336,316.53333333333336,1
Cascade fall salmon 2023,2023-10-01,Unguided,311.43333333333334,311.43333333333334,1
Cascade fall salmon 2023,2023-10-08,Unguided,414.2833333333333,414.2833333333333,1
Cascade fall salmon 2023,2023-10-15,Guided,5.683333333333334,204.35,0.02781176086779219
Cascade fall salmon 2023,2023-10-15,Unguided,198.66666666666666,204.35,0.9721882391322078
Cascade fall salmon 2023,2023-10-22,Unguided,196.11666666666667,196.11666666666667,1
Cascade fall salmon 2023,2023-10-29,Unguided,133.15,133.15,1
Cascade fall salmon 2023,2023-11-05,Unguided,59.68333333333334,59.68333333333334,1
Cascade fall salmon 2023,2023-11-12,Unguided,43.88333333333333,43.88333333333333,1
Cascade fall salmon 2023,2023-11-19,Unguided,12.066666666666666,12.066666666666666,1
Cascade fall salmon 2023,2023-11-26,Unguided,9.416666666666668,9.416666666666668,1
Cascade fall salmon 2024,2024-09-15,Unguided,78.66666666666666,78.66666666666666,1
Cascade fall salmon 2024,2024-09-22,Unguided,103.13333333333334,103.13333333333334,1
Cascade fall salmon 2024,2024-09-29,Unguided,146.56666666666666,146.56666666666666,1
Cascade fall salmon 2024,2024-10-06,Unguided,116.61666666666666,116.61666666666666,1
Cascade fall salmon 2024,2024-10-13,Unguided,280.1166666666667,280.1166666666667,1
Cascade fall salmon 2024,2024-10-20,Unguided,222.68333333333334,222.68333333333334,1
Cascade fall salmon 2024,2024-10-27,Unguided,263.3333333333333,263.3333333333333,1
Cascade fall salmon 2024,2024-11-03,Unguided,91.55,91.55,1
Cascade fall salmon 2024,2024-11-10,Unguided,17.25,17.25,1
Cascade fall salmon 2024,2024-11-17,Unguided,29.35,29.35,1
Cascade fall salmon 2024,2024-11-24,Unguided,17.083333333333332,17.083333333333332,1
Cascade spring Chinook 2022,2022-05-29,Unguided,278.4166666666667,278.4166666666667,1
Cascade spring Chinook 2022,2022-06-05,Unguided,560.9666666666667,560.9666666666667,1
Cascade spring Chinook 2022,2022-06-12,Unguided,344.95,344.95,1
Cascade spring Chinook 2022,2022-06-19,Unguided,588.35,588.35,1
Cascade spring Chinook 2022,2022-06-26,Unguided,737.0166666666667,737.0166666666667,1
Cascade spring Chinook 2022,2022-07-03,Unguided,223.53333333333333,223.53333333333333,1
Cascade spring Chinook 2022,2022-07-10,Unguided,164.96666666666667,164.96666666666667,1
Cascade spring Chinook 2023,2023-05-28,Unguided,110.45,110.45,1
Cascade spring Chinook 2023,2023-06-04,Unguided,128.61666666666667,128.61666666666667,1
Cascade spring Chinook 2023,2023-06-11,Unguided,257.9,257.9,1
Cascade spring Chinook 2023,2023-06-18,Unguided,59.7,59.7,1
Cascade spring Chinook 2023,2023-06-25,Unguided,127.96666666666667,127.96666666666667,1
Cascade spring Chinook 2023,2023-07-02,Unguided,34.5,34.5,1
Cascade spring Chinook 2023,2023-07-09,Unguided,83.36666666666667,83.36666666666667,1
Cascade spring Chinook 2024,2024-05-26,Unguided,224.71666666666667,224.71666666666667,1
Cascade spring Chinook 2024,2024-06-02,Unguided,346.45,346.45,1
Cascade spring Chinook 2024,2024-06-09,Unguided,297.71666666666664,297.71666666666664,1
Cascade spring Chinook 2024,2024-06-16,Unguided,0.3333333333333333,0.3333333333333333,1
Cascade spring Chinook 2024,2024-06-23,Unguided,106.65,106.65,1
Cascade spring Chinook 2024,2024-06-30,Unguided,90.46666666666667,90.46666666666667,1
Cascade spring Chinook 2024,2024-07-07,Unguided,28.05,28.05,1
Cascade spring Chinook 2024,2024-07-14,Unguided,7.266666666666667,7.266666666666667,1
Cascade winter gamefish 2021-22,2021-11-28,Unguided,5.283333333333333,5.283333333333333,1
Cascade winter gamefish 2021-22,2021-12-05,Unguided,32.483333333333334,32.483333333333334,1
Cascade winter gamefish 2021-22,2021-12-12,Unguided,3.283333333333333,3.283333333333333,1
Cascade winter gamefish 2021-22,2021-12-19,Unguided,5.5,5.5,1
Cascade winter gamefish 2021-22,2021-12-26,Unguided,3.5,3.5,1
Cascade winter gamefish 2021-22,2022-01-02,Unguided,3.1,3.1,1
Cascade winter gamefish 2021-22,2022-01-09,Unguided,8.45,8.45,1
Cascade winter gamefish 2021-22,2022-01-16,Unguided,2,2,1
Cascade winter gamefish 2023,2023-01-08,Unguided,12.4,12.4,1
Cascade winter gamefish 2023,2023-01-15,Unguided,13.166666666666666,13.166666666666666,1
Chehalis salmon 2022,2022-09-11,Guided,23.3,588.25,0.039609009774755635
Chehalis salmon 2022,2022-09-11,Unguided,564.95,588.25,0.9603909902252444
Chehalis salmon 2022,2022-09-18,Guided,57.21666666666667,1022.6666666666667,0.05594850065189048
Chehalis salmon 2022,2022-09-18,Unguided,965.45,1022.6666666666667,0.9440514993481095
Chehalis salmon 2022,2022-09-25,Guided,189.79999999999998,1148.9833333333333,0.16518951536865922
Chehalis salmon 2022,2022-09-25,Unguided,959.1833333333334,1148.9833333333333,0.8348104846313408
Chehalis salmon 2022,2022-10-02,Guided,85.93333333333334,869.9000000000001,0.09878530099245124
Chehalis salmon 2022,2022-10-02,Unguided,783.9666666666667,869.9000000000001,0.9012146990075487
Chehalis salmon 2022,2022-10-09,Guided,263.75,1317.25,0.20022774720060732
Chehalis salmon 2022,2022-10-09,Unguided,1053.5,1317.25,0.7997722527993927
Chehalis salmon 2022,2022-10-16,Guided,513.6666666666666,1529.8666666666668,0.33575910754749866
Chehalis salmon 2022,2022-10-16,Unguided,1016.2,1529.8666666666668,0.6642408924525013
Chehalis salmon 2022,2022-10-23,Guided,347.78333333333336,1528.9666666666667,0.2274629924349779
Chehalis salmon 2022,2022-10-23,Unguided,1181.1833333333334,1528.9666666666667,0.7725370075650222
Chehalis salmon 2022,2022-10-30,Guided,198.43333333333334,399.98333333333335,0.49610400433351387
Chehalis salmon 2022,2022-10-30,Unguided,201.55,399.98333333333335,0.5038959956664861
Chehalis salmon 2022,2022-11-06,Guided,35.25,111.33333333333333,0.3166167664670659
Chehalis salmon 2022,2022-11-06,Unguided,76.08333333333333,111.33333333333333,0.6833832335329341
Chehalis salmon 2022,2022-11-13,Guided,25.333333333333332,154.8166666666667,0.1636344062870061
Chehalis salmon 2022,2022-11-13,Unguided,129.48333333333335,154.8166666666667,0.8363655937129938
Chehalis salmon 2022,2022-11-20,Guided,35.28333333333333,209.08333333333334,0.16875249103228376
Chehalis salmon 2022,2022-11-20,Unguided,173.8,209.08333333333334,0.8312475089677163
Chehalis salmon 2022,2022-11-27,Unguided,33.833333333333336,33.833333333333336,1
Chehalis salmon 2022,2022-12-04,Unguided,59.63333333333333,59.63333333333333,1
Chehalis salmon 2022,2022-12-11,Unguided,15.85,15.85,1
Chehalis salmon 2024,2024-09-15,Guided,16.633333333333333,1749.4,0.009508021797949772
Chehalis salmon 2024,2024-09-15,Unguided,1732.7666666666667,1749.4,0.9904919782020501
Chehalis salmon 2024,2024-09-22,Guided,177.41666666666669,2387.75,0.0743028653195128
Chehalis salmon 2024,2024-09-22,Unguided,2210.3333333333335,2387.75,0.9256971346804873
Chehalis salmon 2024,2024-09-29,Guided,71.81666666666666,1271.8999999999999,0.056464082606074904
Chehalis salmon 2024,2024-09-29,Unguided,1200.0833333333333,1271.8999999999999,0.9435359173939252
Chehalis salmon 2024,2024-10-06,Guided,151.2,1251.4833333333333,0.12081663093129485
Chehalis salmon 2024,2024-10-06,Unguided,1100.2833333333333,1251.4833333333333,0.8791833690687051
Chehalis salmon 2024,2024-10-13,Guided,272.3833333333333,1003.8666666666667,0.27133417452516934
Chehalis salmon 2024,2024-10-13,Unguided,731.4833333333333,1003.8666666666667,0.7286658254748307
Chehalis salmon 2024,2024-10-20,Guided,79.48333333333333,655.5,0.121256038647343
