fishery_name,month,angler_final,n,total,prop
Baker summer sockeye 2022,2022-07-01,Bank,1,347,0.002881844380403458
Baker summer sockeye 2022,2022-07-01,Boat,346,347,0.9971181556195965
Baker summer sockeye 2022,2022-08-01,Bank,3,221,0.013574660633484163
Baker summer sockeye 2022,2022-08-01,Boat,218,221,0.9864253393665159
Baker summer sockeye 2023,2023-07-01,Bank,8,339,0.02359882005899705
Baker summer sockeye 2023,2023-07-01,Boat,331,339,0.976401179941003
Baker summer sockeye 2023,2023-08-01,Bank,1,148,0.006756756756756757
Baker summer sockeye 2023,2023-08-01,Boat,147,148,0.9932432432432432
Cascade fall salmon 2021,2021-09-01,Bank,13,13,1
Cascade fall salmon 2021,2021-10-01,Bank,61,61,1
Cascade fall salmon 2021,2021-11-01,Bank,35,35,1
Cascade fall salmon 2022,2022-09-01,Bank,20,20,1
Cascade fall salmon 2022,2022-10-01,Bank,121,121,1
Cascade fall salmon 2022,2022-11-01,Bank,42,42,1
Cascade fall salmon 2023,2023-09-01,Bank,42,42,1
Cascade fall salmon 2023,2023-10-01,Bank,158,158,1
Cascade fall salmon 2023,2023-11-01,Bank,74,74,1
Cascade fall salmon 2024,2024-09-01,Bank,33,33,1
Cascade fall salmon 2024,2024-10-01,Bank,138,138,1
Cascade fall salmon 2024,2024-11-01,Bank,36,36,1
Cascade spring Chinook 2021,2021-06-01,Bank,156,156,1
Cascade spring Chinook 2021,2021-07-01,Bank,46,46,1
Cascade spring Chinook 2022,2022-06-01,Bank,306,306,1
Cascade spring Chinook 2022,2022-07-01,Bank,106,106,1
Cascade spring Chinook 2023,2023-06-01,Bank,120,120,1
Cascade spring Chinook 2023,2023-07-01,Bank,40,40,1
Cascade spring Chinook 2024,2024-05-01,Bank,12,12,1
Cascade spring Chinook 2024,2024-06-01,Bank,135,135,1
Cascade spring Chinook 2024,2024-07-01,Bank,9,9,1
Cascade winter gamefish 2021-22,2021-12-01,Bank,10,10,1
Cascade winter gamefish 2021-22,2022-01-01,Bank,5,5,1
Cascade winter gamefish 2023,2023-01-01,Bank,7,7,1
Chehalis salmon 2022,2022-09-01,Bank,37,270,0.13703703703703704
Chehalis salmon 2022,2022-09-01,Boat,233,270,0.8629629629629629
Chehalis salmon 2022,2022-10-01,Bank,39,538,0.0724907063197026
Chehalis salmon 2022,2022-10-01,Boat,499,538,0.9275092936802974
Chehalis salmon 2022,2022-11-01,Bank,6,72,0.08333333333333333
Chehalis salmon 2022,2022-11-01,Boat,66,72,0.9166666666666666
Chehalis salmon 2022,2022-12-01,Bank,12,12,1
Chehalis salmon 2024,2024-09-01,Bank,88,421,0.20902612826603326
Chehalis salmon 2024,2024-09-01,Boat,333,421,0.7909738717339667
Chehalis salmon 2024,2024-10-01,Bank,214,577,0.3708838821490468
Chehalis salmon 2024,2024-10-01,Boat,363,577,0.6291161178509532
Chehalis salmon 2024,2024-11-01,Bank,139,310,0.4483870967741935
Chehalis salmon 2024,2024-11-01,Boat,171,310,0.5516129032258065
Chehalis salmon 2024,2024-12-01,Bank,12,53,0.22641509433962265
Chehalis salmon 2024,2024-12-01,Boat,41,53,0.7735849056603774
Chehalis salmon 2025,2025-09-01,Bank,66,446,0.14798206278026907
Chehalis salmon 2025,2025-09-01,Boat,380,446,0.852017937219731
Chehalis salmon 2025,2025-10-01,Bank,188,602,0.3122923588039867
Chehalis salmon 2025,2025-10-01,Boat,414,602,0.6877076411960132
Chehalis salmon 2025,2025-11-01,Bank,83,295,0.28135593220338984
Chehalis salmon 2025,2025-11-01,Boat,212,295,0.7186440677966102
Chehalis salmon 2025,2025-12-01,Bank,2,18,0.1111111111111111
Chehalis salmon 2025,2025-12-01,Boat,16,18,0.8888888888888888
Chehalis winter steelhead 2024-25,2024-11-01,Bank,139,288,0.4826388888888889
Chehalis winter steelhead 2024-25,2024-11-01,Boat,149,288,0.5173611111111112
Chehalis winter steelhead 2024-25,2024-12-01,Bank,12,53,0.22641509433962265
Chehalis winter steelhead 2024-25,2024-12-01,Boat,41,53,0.7735849056603774
Chehalis winter steelhead 2024-25,2025-01-01,Bank,6,29,0.20689655172413793
Chehalis winter steelhead 2024-25,2025-01-01,Boat,23,29,0.7931034482758621
Chehalis winter steelhead 2024-25,2025-02-01,Bank,6,22,0.2727272727272727
Chehalis winter steelhead 2024-25,2025-02-01,Boat,16,22,0.7272727272727273
Chehalis winter steelhead 2025-26,2025-12-01,Bank,2,18,0.1111111111111111
Chehalis winter steelhead 2025-26,2025-12-01,Boat,16,18,0.8888888888888888
Chehalis winter steelhead 2025-26,2026-01-01,Bank,9,28,0.32142857142857145
Chehalis winter steelhead 2025-26,2026-01-01,Boat,19,28,0.6785714285714286
Chehalis winter steelhead 2025-26,2026-02-01,Boat,11,11,1
Drano Lake salmon and steelhead 2022,2022-07-01,Bank,4,9,0.4444444444444444
Drano Lake salmon and steelhead 2022,2022-07-01,Boat,5,9,0.5555555555555556
Drano Lake salmon and steelhead 2022,2022-08-01,Bank,65,284,0.22887323943661972
Drano Lake salmon and steelhead 2022,2022-08-01,Boat,219,284,0.7711267605633803
Drano Lake salmon and steelhead 2022,2022-09-01,Bank,33,251,0.13147410358565736
Drano Lake salmon and steelhead 2022,2022-09-01,Boat,218,251,0.8685258964143426
Drano Lake salmon and steelhead 2022,2022-10-01,Bank,175,387,0.45219638242894056
Drano Lake salmon and steelhead 2022,2022-10-01,Boat,212,387,0.5478036175710594
Drano Lake salmon and steelhead 2023,2023-07-01,Boat,25,25,1
Drano Lake salmon and steelhead 2023,2023-08-01,Bank,42,380,0.11052631578947368
Drano Lake salmon and steelhead 2023,2023-08-01,Boat,338,380,0.8894736842105263
Drano Lake salmon and steelhead 2023,2023-09-01,Bank,30,391,0.07672634271099744
Drano Lake salmon and steelhead 2023,2023-09-01,Boat,361,391,0.9232736572890026
Drano Lake salmon and steelhead 2023,2023-10-01,Bank,31,201,0.15422885572139303
Drano Lake salmon and steelhead 2023,2023-10-01,Boat,170,201,0.845771144278607
Drano Lake salmon and steelhead 2024,2024-07-01,Bank,10,50,0.2
Drano Lake salmon and steelhead 2024,2024-07-01,Boat,40,50,0.8
