fishery_name,year,month,crc_area,angler_final,total_effort_hrs,n_completed_angler_trips,mean_trip_length,mean_group_size,sd,total_trips_est
Cascade fall salmon 2022,2022,9,826,bank,1225.0751827697263,4,6.5291675,1.25,3.3852980023662615,187.63114635514043
Cascade fall salmon 2022,2022,10,826,bank,3413.4268641304348,42,4.689285,1.7619047619047619,1.9878585591992475,727.9205388732898
Cascade fall salmon 2022,2022,11,826,bank,1211.998625,27,4.467901851851852,1.8888888888888888,2.1766776399190033,271.26796093285975
Cascade fall salmon 2023,2023,9,826,bank,2627.3412567640694,18,5.853703888888889,2.0555555555555554,2.2601809973751554,448.83398727276136
Cascade fall salmon 2023,2023,10,826,bank,7783.637783639972,43,4.680232093023256,2.13953488372093,1.8409979048325655,1663.0879898548005
Cascade fall salmon 2023,2023,11,826,bank,700.5827392977394,10,2.596666,1.5,1.6266280793865844,269.80086745763197
Cascade fall salmon 2024,2024,9,826,bank,5227.692977665165,6,5.300001666666667,1.6666666666666667,2.3419370472616605,986.3568554220892
Cascade fall salmon 2024,2024,10,826,bank,6572.923580142642,20,4.8275,2,1.66882483777941,1361.5584837167567
Cascade fall salmon 2024,2024,11,826,bank,1286.5457665477977,7,5.033334285714286,2.142857142857143,1.8399126036024749,255.60507081742983
Cascade spring Chinook 2022,2022,6,826,bank,8691.183376674548,101,5.281353168316832,1.5940594059405941,2.955978917337176,1645.635711092661
Cascade spring Chinook 2022,2022,7,826,bank,988.5865075847124,6,3.9833333333333334,1.6666666666666667,1.2293158982892343,248.18071320118304
Cascade spring Chinook 2023,2023,6,826,bank,6215.249129629629,18,3.7175916666666664,1.7222222222222223,2.142095598139272,1671.8482520169994
Cascade spring Chinook 2023,2023,7,826,bank,471.53454166666666,2,1.558335,2,0.7896049293475821,302.5886870709229
Cascade spring Chinook 2024,2024,5,826,bank,1562.8717736425747,4,6.3458325,1.5,4.375379618451219,246.28317460988367
Cascade spring Chinook 2024,2024,6,826,bank,3726.9991868932043,53,4.464465094339623,1.7547169811320755,2.3748234684827083,834.8142740814724
Cascade spring Chinook 2024,2024,7,826,bank,518.0042685859403,6,4.791665,1.6666666666666667,1.345309377886737,108.10527626324884
Cascade winter gamefish 2023,2023,1,826,bank,161.08031746031745,2,3.041665,2,1.2138689980595103,52.9579416077436
Chehalis salmon 2022,2022,9,317,bank,5046.82786854328,24,2.1618045833333333,1.2916666666666667,1.4258019335065875,2334.5439765704755
Chehalis salmon 2022,2022,9,317,boat,27611.284297839506,220,4.759090681818182,2.109090909090909,1.835495766460152,5801.798314818154
Chehalis salmon 2022,2022,10,317,bank,10808.328805540157,39,3.4435905128205127,1.6923076923076923,2.4105147356124985,3138.6800391337674
Chehalis salmon 2022,2022,10,317,boat,27156.618167989418,479,4.849721670146137,2.325678496868476,2.0036202297062187,5599.624064028215
Chehalis salmon 2022,2022,11,317,bank,1197.3585463883578,6,1.6055566666666667,1.1666666666666667,1.3576395174223042,745.7591321732801
Chehalis salmon 2022,2022,11,317,boat,3523.0913668430335,64,5.32994796875,2.078125,1.9379441836607931,660.9992044011046
Chehalis salmon 2022,2022,12,317,bank,152.27007204683383,2,2.825,1,0.3181980515339462,53.90091045905622
Chehalis salmon 2022,2022,12,317,boat,254.76635361552027,10,3.984998,1.7,1.9008848738697108,63.93136298073933
Chehalis salmon 2024,2024,9,315,bank,463.6421135597053,NA,NA,NA,NA,NA
Chehalis salmon 2024,2024,9,315,boat,31.522730417198808,NA,NA,NA,NA,NA
Chehalis salmon 2024,2024,9,317,bank,5582.095564646292,70,3.354999857142857,1.4428571428571428,2.291521997332646,1663.813950025037
Chehalis salmon 2024,2024,9,317,boat,37262.20813378033,284,5.327405985915493,2.1795774647887325,1.9417209044150725,6994.4374865166155
Chehalis salmon 2024,2024,10,315,bank,738.5915102095939,26,1.9391026923076924,1.5,1.433038569991911,380.89344785067004
Chehalis salmon 2024,2024,10,315,boat,465.80446732652194,NA,NA,NA,NA,NA
Chehalis salmon 2024,2024,10,317,bank,11041.521160695112,136,2.6683819852941175,1.4485294117647058,2.037093556039828,4137.908748277688
Chehalis salmon 2024,2024,10,317,boat,25448.866398822192,308,5.10335512987013,2.301948051948052,1.9423048653535842,4986.693214796873
Chehalis salmon 2024,2024,11,315,bank,376.21955929967714,5,3.33,2,1.831795620272633,112.97884663653969
Chehalis salmon 2024,2024,11,315,boat,588.1192342486164,24,3.52361,2.3333333333333335,1.8598019772358656,166.9081522213345
Chehalis salmon 2024,2024,11,317,bank,2513.2602768361116,98,3.4719389795918367,1.336734693877551,2.4331883546234634,723.8780092648898
Chehalis salmon 2024,2024,11,317,boat,9192.318093869733,119,4.650280336134454,2.495798319327731,1.989744127253268,1976.7234294332561
Chehalis salmon 2024,2024,12,315,bank,533.5675182492769,NA,NA,NA,NA,NA
Chehalis salmon 2024,2024,12,315,boat,737.1443288810842,8,4.5729175,2.625,1.093267751739187,161.19781930924498
Chehalis salmon 2024,2024,12,317,bank,407.16183251084425,3,0.7000000000000001,1.6666666666666667,0.3464101615137755,581.6597607297774
Chehalis salmon 2024,2024,12,317,boat,1819.7123950794664,33,5.5575754545454545,1.878787878787879,2.0204173875295717,327.4291838163262
Chehalis salmon 2025,2025,9,315,bank,513.2737581819116,NA,NA,NA,NA,NA
Chehalis salmon 2025,2025,9,315,boat,77.393450913242,NA,NA,NA,NA,NA
Chehalis salmon 2025,2025,9,317,bank,8256.572549870943,51,3.1248370588235295,1.392156862745098,2.20942752380004,2642.2409855122055
Chehalis salmon 2025,2025,9,317,boat,52746.50918493151,315,4.886349333333333,2.092063492063492,2.076473405307402,10794.666035256485
Chehalis salmon 2025,2025,10,315,bank,1627.0942653698453,49,2.007482857142857,1.6122448979591837,1.2614480426891022,810.5146500157921
Chehalis salmon 2025,2025,10,315,boat,911.7192429604262,11,3.9121227272727275,1.7272727272727273,1.9805322879069198,233.04975495899546
Chehalis salmon 2025,2025,10,317,bank,8373.974396050144,81,2.81893024691358,1.4814814814814814,2.0631679961214835,2970.621357239587
Chehalis salmon 2025,2025,10,317,boat,22564.68154680365,352,4.873626789772727,2.397727272727273,2.33678879348106,4629.95681043027
Chehalis salmon 2025,2025,11,315,bank,941.9197371713351,10,2.078332,1.8,2.534223254511462,453.2094666161783
Chehalis salmon 2025,2025,11,315,boat,1441.7669988584476,61,3.930327868852459,2.098360655737705,1.797597784898979,366.83122807243086
Chehalis salmon 2025,2025,11,317,bank,1454.7859659619214,45,2.732963333333333,1.2222222222222223,1.7994616244234627,532.3108247440525
Chehalis salmon 2025,2025,11,317,boat,5413.378616438356,113,4.799557610619469,2.353982300884956,2.181934819266441,1127.8911632315344
Chehalis salmon 2025,2025,12,315,bank,91.21587043153143,1,3.28333,1,NA,27.781511584742148
Chehalis salmon 2025,2025,12,315,boat,205.0296404109589,2,4.066665,2,1.2492243371188378,50.417145353983884
Chehalis salmon 2025,2025,12,317,bank,246.90814484658665,1,7.56667,3,NA,32.63101798368194
Chehalis salmon 2025,2025,12,317,boat,1131.7386038812786,13,5.476923076923077,1.7692307692307692,1.8060918681478368,206.63766643899748
Chehalis winter steelhead 2024-25,2024,11,315,bank,726.3212448525763,5,3.33,2,1.831795620272633,218.11448794371663
Chehalis winter steelhead 2024-25,2024,11,315,boat,1115.1079812206572,24,3.52361,2.3333333333333335,1.8598019772358656,316.46748114026724
Chehalis winter steelhead 2024-25,2024,11,317,bank,4636.218617357815,98,3.4719389795918367,1.336734693877551,2.4331883546234634,1335.3398906517796
Chehalis winter steelhead 2024-25,2024,11,317,boat,11144.730985915492,119,4.650280336134454,2.495798319327731,1.989744127253268,2396.5718581128704
Chehalis winter steelhead 2024-25,2024,12,315,bank,916.7220925448685,NA,NA,NA,NA,NA
Chehalis winter steelhead 2024-25,2024,12,315,boat,1061.010641627543,8,4.5729175,2.625,1.093267751739187,232.02050805148858
Chehalis winter steelhead 2024-25,2024,12,317,bank,600.55264974747,3,0.7000000000000001,1.6666666666666667,0.3464101615137755,857.9323567821
Chehalis winter steelhead 2024-25,2024,12,317,boat,1848.4045383411578,33,5.5575754545454545,1.878787878787879,2.0204173875295717,332.5918925364075
Chehalis winter steelhead 2024-25,2025,1,315,bank,261.19294436088455,NA,NA,NA,NA,NA
Chehalis winter steelhead 2024-25,2025,1,315,boat,745.8103286384977,8,3.9395837499999997,2.375,1.7782406506186108,189.31196186361
Chehalis winter steelhead 2024-25,2025,1,317,bank,582.1130679383774,1,2.06667,1,NA,281.66715921670004
Chehalis winter steelhead 2024-25,2025,1,317,boat,2084.529577464789,15,4.971110666666667,2,1.8175901778197052,419.32874104823566
Chehalis winter steelhead 2024-25,2025,2,315,bank,129.1066073697145,4,3.3499974999999997,2.25,2.8308801732956366,38.53931454268683
Chehalis winter steelhead 2024-25,2025,2,315,boat,967.8753260302556,8,4.06666625,2.125,1.641356509258098,238.00215373716875
Chehalis winter steelhead 2024-25,2025,2,317,bank,394.17576498549886,NA,NA,NA,NA,NA
Chehalis winter steelhead 2024-25,2025,2,317,boat,1179.9643192488263,7,6.0119042857142855,2.142857142857143,2.007224761553932,196.27130825297772
Chehalis winter steelhead 2025-26,2025,12,315,bank,61.4750998729613,1,3.28333,1,NA,18.723399680495504
Chehalis winter steelhead 2025-26,2025,12,315,boat,210.34222222222223,2,4.066665,2,1.2492243371188378,51.723518465922865
Chehalis winter steelhead 2025-26,2025,12,317,bank,179.71843471831556,1,7.56667,3,NA,23.75132452166086
Chehalis winter steelhead 2025-26,2025,12,317,boat,1161.0634074074073,13,5.476923076923077,1.7692307692307692,1.8060918681478368,211.99191427382436
Chehalis winter steelhead 2025-26,2026,1,315,bank,187.7770371407323,3,2.8666666666666667,1,1.6127991884401893,65.50361760723219
Chehalis winter steelhead 2025-26,2026,1,315,boat,636.0242962962963,10,4.783334,3,1.7563816270275658,132.96673330699807
Chehalis winter steelhead 2025-26,2026,1,317,bank,270.41406982498177,3,1.1166666666666667,3,0.1040832999733066,242.16185357461052
Chehalis winter steelhead 2025-26,2026,1,317,boat,1175.9745185185186,10,5.388334,1.7,1.450417646964717,218.24454803999132
Chehalis winter steelhead 2025-26,2026,2,315,bank,60.25199890613607,NA,NA,NA,NA,NA
Chehalis winter steelhead 2025-26,2026,2,315,boat,328.9349135802469,5,4.153332,2.4,1.9452720418157456,79.19783768315341
Chehalis winter steelhead 2025-26,2026,2,317,bank,30.555578247927038,NA,NA,NA,NA,NA
Chehalis winter steelhead 2025-26,2026,2,317,boat,854.7974320987654,6,5.025001666666666,1.6666666666666667,1.4584915457062708,170.10888529033963
Drano Lake salmon and steelhead 2022,2022,7,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2022,2022,8,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2022,2022,9,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2022,2022,10,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2023,2023,7,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2023,2023,8,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2023,2023,9,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2023,2023,10,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2024,2024,7,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2024,2024,8,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2024,2024,9,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2024,2024,10,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2025,2025,7,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2025,2025,8,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2025,2025,9,618,NA,0,NA,NA,NA,NA,NA
Drano Lake salmon and steelhead 2025,2025,10,618,NA,0,NA,NA,NA,NA,NA
Hoh fall salmon 2023,2023,9,348,bank,347.24399497621715,NA,NA,NA,NA,NA
Hoh fall salmon 2023,2023,9,348,boat,373.7958417508417,1,7.71667,3,NA,48.44004496121276
Hoh fall salmon 2023,2023,9,350,bank,2451.287843603584,11,4.415151818181818,2.272727272727273,2.766780758328416,555.1989930468658
Hoh fall salmon 2023,2023,9,350,boat,2122.02589365881,18,7.72037,2.6666666666666665,1.0396009202347511,274.86064704914537
Hoh fall salmon 2023,2023,10,348,bank,0,NA,NA,NA,NA,NA
Hoh fall salmon 2023,2023,10,348,boat,0,NA,NA,NA,NA,NA
Hoh fall salmon 2023,2023,10,350,bank,0,NA,NA,NA,NA,NA
Hoh fall salmon 2023,2023,10,350,boat,0,NA,NA,NA,NA,NA
Hoh fall salmon 2025,2025,9,350,bank,743.0929984220386,11,3.7742418181818183,1.8181818181818181,2.242659492882583,196.88537041858436
Hoh fall salmon 2025,2025,9,350,boat,2471.9784692028984,24,7.474305,2.7916666666666665,1.9675511210263823,330.7302109296983
Hoh fall salmon 2025,2025,10,348,bank,119.08972065880435,2,4.033335,1.5,1.3670707532713882,29.526364821866853
Hoh fall salmon 2025,2025,10,348,boat,981.8830585748791,11,5.540909090909091,2.4545454545454546,2.3762290718760877,177.2061303416517
Hoh fall salmon 2025,2025,10,350,bank,712.1118295498304,13,3.505129230769231,1.8461538461538463,1.7833128940844039,203.16278877784808
Hoh fall salmon 2025,2025,10,350,boat,3459.9529347826087,45,7.17,2.6222222222222222,2.0074215105996505,482.55968407009885
Hoh fall salmon 2025,2025,11,348,bank,138.4463722524789,5,4.53,2,2.9011809903727137,30.56211308001742
Hoh fall salmon 2025,2025,11,348,boat,1044.679806763285,15,5.5711113333333335,3.1333333333333333,1.4730317539534707,187.51730925079667
Hoh fall salmon 2025,2025,11,350,bank,193.54594375900663,4,2.8208325,1.5,1.5342601818330335,68.61305793910367
